"","date","PIH"
"1","2014-04-01",7.95
"2","2014-04-02",8.16
"3","2014-04-03",8.39
"4","2014-04-04",8.69
"5","2014-04-07",8.94
"6","2014-04-08",8.9
"7","2014-04-09",8.89
"8","2014-04-10",8.83
"9","2014-04-11",8.89
"10","2014-04-14",9.55
"11","2014-04-15",9.49
"12","2014-04-16",9.24
"13","2014-04-17",8.95
"14","2014-04-21",9.31
"15","2014-04-22",9.26
"16","2014-04-23",9.035
"17","2014-04-24",9.06
"18","2014-04-25",9.01
"19","2014-04-28",9.49
"20","2014-04-29",9.09
"21","2014-04-30",9.05
"22","2014-05-01",9.1
"23","2014-05-02",9.1
"24","2014-05-05",9.02
"25","2014-05-06",9.05
"26","2014-05-07",9
"27","2014-05-08",9.05
"28","2014-05-09",9.26
"29","2014-05-12",9.1
"30","2014-05-13",9.11
"31","2014-05-14",9.11
"32","2014-05-15",9.19
"33","2014-05-16",9.38
"34","2014-05-19",9.5
"35","2014-05-20",9.57
"36","2014-05-21",8.9
"37","2014-05-22",8.9
"38","2014-05-23",8.99
"39","2014-05-27",8.77
"40","2014-05-28",9
"41","2014-05-29",8.801
"42","2014-05-30",8.81
"43","2014-06-02",8.69
"44","2014-06-03",8.21
"45","2014-06-04",8.07
"46","2014-06-05",8.05
"47","2014-06-06",8.02
"48","2014-06-09",8.26
"49","2014-06-10",8.41
"50","2014-06-11",8.65
"51","2014-06-12",8.53
"52","2014-06-13",8.54
"53","2014-06-16",8.51
"54","2014-06-17",8.63
"55","2014-06-18",8.5
"56","2014-06-19",8.7
"57","2014-06-20",8.28
"58","2014-06-23",8.45
"59","2014-06-24",8.49
"60","2014-06-25",8.57
"61","2014-06-26",8.67
"62","2014-06-27",8.8
"63","2014-06-30",8.91
"64","2014-07-01",8.97
"65","2014-07-02",8.9
"66","2014-07-03",8.99
"67","2014-07-07",8.83
"68","2014-07-08",8.79
"69","2014-07-09",8.89
"70","2014-07-10",8.78
"71","2014-07-11",8.73
"72","2014-07-14",8.82
"73","2014-07-15",8.84
"74","2014-07-16",8.64
"75","2014-07-17",8.69
"76","2014-07-18",8.75
"77","2014-07-21",8.71
"78","2014-07-22",8.6
"79","2014-07-23",8.56
"80","2014-07-24",8.74
"81","2014-07-25",8.61
"82","2014-07-28",8.61
"83","2014-07-29",8.71
"84","2014-07-30",8.53
"85","2014-07-31",8.5
"86","2014-08-01",8.48
"87","2014-08-04",8.56
"88","2014-08-05",8.5
"89","2014-08-06",8.5
"90","2014-08-07",8.53
"91","2014-08-08",8.68
"92","2014-08-11",8.61
"93","2014-08-12",8.61
"94","2014-08-13",8.56
"95","2014-08-14",8.7
"96","2014-08-15",8.5
"97","2014-08-18",8.55
"98","2014-08-19",8.55
"99","2014-08-20",8.48
"100","2014-08-21",8.45
"101","2014-08-22",8.4
"102","2014-08-25",8.55
"103","2014-08-26",8.45
"104","2014-08-27",8.37
"105","2014-08-28",8.4
"106","2014-08-29",8.45
"107","2014-09-02",8.38
"108","2014-09-03",8.3
"109","2014-09-04",8.3
"110","2014-09-05",8.28
"111","2014-09-08",8.25
"112","2014-09-09",8.25
"113","2014-09-10",8.18
"114","2014-09-11",8.2
"115","2014-09-12",8.09
"116","2014-09-15",8.01
"117","2014-09-16",8.05
"118","2014-09-17",8.1
"119","2014-09-18",8.04
"120","2014-09-19",7.99
"121","2014-09-22",7.95
"122","2014-09-23",7.84
"123","2014-09-24",7.88
"124","2014-09-25",7.75
"125","2014-09-26",7.75
"126","2014-09-29",7.77
"127","2014-09-30",7.8
"128","2014-10-01",7.7
"129","2014-10-02",7.46
"130","2014-10-03",7.47
"131","2014-10-06",7.52
"132","2014-10-07",7.45
"133","2014-10-08",7.4
"134","2014-10-09",7.39
"135","2014-10-10",7.36
"136","2014-10-13",7.13
"137","2014-10-14",7.44
"138","2014-10-15",7.74
"139","2014-10-16",8.01
"140","2014-10-17",7.8
"141","2014-10-20",7.88
"142","2014-10-21",8.06
"143","2014-10-22",8.03
"144","2014-10-23",8.06
"145","2014-10-24",7.92
"146","2014-10-27",7.66
"147","2014-10-28",7.76
"148","2014-10-29",7.79
"149","2014-10-30",7.68
"150","2014-10-31",7.78
"151","2014-11-03",7.78
"152","2014-11-04",7.76
"153","2014-11-05",7.79
"154","2014-11-06",7.8
"155","2014-11-07",7.78
"156","2014-11-10",7.8
"157","2014-11-11",7.8
"158","2014-11-12",7.69
"159","2014-11-13",7.8
"160","2014-11-14",7.8
"161","2014-11-17",7.73
"162","2014-11-18",7.71
"163","2014-11-19",7.79
"164","2014-11-20",7.76
"165","2014-11-21",7.75
"166","2014-11-24",7.76
"167","2014-11-25",7.7
"168","2014-11-26",7.74
"169","2014-11-28",7.8
"170","2014-12-01",7.79
"171","2014-12-02",7.8
"172","2014-12-03",7.8
"173","2014-12-04",7.77
"174","2014-12-05",7.72
"175","2014-12-08",7.58
"176","2014-12-09",7.45
"177","2014-12-10",7.41
"178","2014-12-11",7.58
"179","2014-12-12",7.54
"180","2014-12-15",7.38
"181","2014-12-16",7.38
"182","2014-12-17",7.37
"183","2014-12-18",7.5
"184","2014-12-19",7.53
"185","2014-12-22",7.65
"186","2014-12-23",7.59
"187","2014-12-24",7.577
"188","2014-12-26",7.56
"189","2014-12-29",7.6
"190","2014-12-30",7.87
"191","2014-12-31",7.86
"192","2015-01-02",7.85
"193","2015-01-05",7.79
"194","2015-01-06",7.65
"195","2015-01-07",7.45
"196","2015-01-08",7.39
"197","2015-01-09",7.57
"198","2015-01-12",7.66
"199","2015-01-13",7.66
"200","2015-01-14",7.7
"201","2015-01-15",7.71
"202","2015-01-16",7.78
"203","2015-01-20",7.75
"204","2015-01-21",7.81
"205","2015-01-22",7.78
"206","2015-01-23",7.65
"207","2015-01-26",7.57
"208","2015-01-27",7.7
"209","2015-01-28",7.74
"210","2015-01-29",7.74
"211","2015-01-30",7.702
"212","2015-02-02",7.67
"213","2015-02-03",7.71
"214","2015-02-04",7.78
"215","2015-02-05",7.8
"216","2015-02-06",7.73
"217","2015-02-09",7.72
"218","2015-02-10",7.72
"219","2015-02-11",7.69
"220","2015-02-12",7.654
"221","2015-02-13",7.64
"222","2015-02-17",7.69
"223","2015-02-18",7.62
"224","2015-02-19",7.64
"225","2015-02-20",7.66
"226","2015-02-23",7.7
"227","2015-02-24",7.62
"228","2015-02-25",7.65
"229","2015-02-26",7.73
"230","2015-02-27",7.72
"231","2015-03-02",7.74
"232","2015-03-03",7.76
"233","2015-03-04",7.75
"234","2015-03-05",7.6
"235","2015-03-06",7.49
"236","2015-03-09",7.52
"237","2015-03-10",7.54
"238","2015-03-11",7.51
"239","2015-03-12",7.5
"240","2015-03-13",7.52
"241","2015-03-16",7.58
"242","2015-03-17",7.53
"243","2015-03-18",7.53
"244","2015-03-19",7.53
"245","2015-03-20",7.5
"246","2015-03-23",7.63
"247","2015-03-24",7.63
"248","2015-03-25",7.64
"249","2015-03-26",7.63
"250","2015-03-27",7.55
"251","2015-03-30",7.6
"252","2015-03-31",7.59
"253","2015-04-01",7.5
"254","2015-04-02",7.56
"255","2015-04-06",7.46
"256","2015-04-07",7.58
"257","2015-04-08",7.62
"258","2015-04-09",7.43
"259","2015-04-10",7.45
"260","2015-04-13",7.52
"261","2015-04-14",7.42
"262","2015-04-15",7.43
"263","2015-04-16",7.41
"264","2015-04-17",7.39
"265","2015-04-20",7.42
"266","2015-04-21",7.57
"267","2015-04-22",7.5
"268","2015-04-23",7.472
"269","2015-04-24",7.46
"270","2015-04-27",7.35
"271","2015-04-28",7.49
"272","2015-04-29",7.49
"273","2015-04-30",7.28
"274","2015-05-01",7.29
"275","2015-05-04",7.27
"276","2015-05-05",7.33
"277","2015-05-06",7.37
"278","2015-05-07",7.44
"279","2015-05-08",7.46
"280","2015-05-11",7.52
"281","2015-05-12",7.48
"282","2015-05-13",7.5
"283","2015-05-14",7.44
"284","2015-05-15",7.6
"285","2015-05-18",7.55
"286","2015-05-19",7.51
"287","2015-05-20",7.55
"288","2015-05-21",7.54
"289","2015-05-22",7.665
"290","2015-05-26",7.468
"291","2015-05-27",7.46
"292","2015-05-28",7.57
"293","2015-05-29",7.95
"294","2015-06-01",7.9
"295","2015-06-02",7.875
"296","2015-06-03",7.95
"297","2015-06-04",7.99
"298","2015-06-05",7.97
"299","2015-06-08",7.94
"300","2015-06-09",7.91
"301","2015-06-10",7.88
"302","2015-06-11",7.85
"303","2015-06-12",7.84
"304","2015-06-15",7.965
"305","2015-06-16",8.14
"306","2015-06-17",8.32
