"","date","TOUR"
"1","2014-05-09",10.07
"2","2014-05-12",11.1
"3","2014-05-13",10.75
"4","2014-05-14",10.53
"5","2014-05-15",10.39
"6","2014-05-16",10.18
"7","2014-05-19",10.165
"8","2014-05-20",10.45
"9","2014-05-21",10.59
"10","2014-05-22",11.43
"11","2014-05-23",15.5
"12","2014-05-27",17.709999
"13","2014-05-28",16.74
"14","2014-05-29",15.9
"15","2014-05-30",16.389999
"16","2014-06-02",17.190001
"17","2014-06-03",15.85
"18","2014-06-04",16.049999
"19","2014-06-05",15.81
"20","2014-06-06",16.299999
"21","2014-06-09",17.969999
"22","2014-06-10",18.67
"23","2014-06-11",18.559999
"24","2014-06-12",17.219999
"25","2014-06-13",16.82
"26","2014-06-16",16.83
"27","2014-06-17",16.940001
"28","2014-06-18",16.860001
"29","2014-06-19",16.629999
"30","2014-06-20",15.005
"31","2014-06-23",14.62
"32","2014-06-24",15.47
"33","2014-06-25",16.709999
"34","2014-06-26",17.42
"35","2014-06-27",16.860001
"36","2014-06-30",17.629999
"37","2014-07-01",18.639999
"38","2014-07-02",16.52
"39","2014-07-03",18.15
"40","2014-07-07",17.389999
"41","2014-07-08",17.09
"42","2014-07-09",17.620001
"43","2014-07-10",17.219999
"44","2014-07-11",17.41
"45","2014-07-14",18.809999
"46","2014-07-15",18.190001
"47","2014-07-16",17.950001
"48","2014-07-17",16.99
"49","2014-07-18",16.92
"50","2014-07-21",18.33
"51","2014-07-22",18.459999
"52","2014-07-23",17.870001
"53","2014-07-24",18.280001
"54","2014-07-25",18.709999
"55","2014-07-28",19.950001
"56","2014-07-29",20.620001
"57","2014-07-30",21.15
"58","2014-07-31",20.620001
"59","2014-08-01",20.74
"60","2014-08-04",22.799999
"61","2014-08-05",22.190001
"62","2014-08-06",22.6
"63","2014-08-07",23.92
"64","2014-08-08",24
"65","2014-08-11",23.139999
"66","2014-08-12",22.08
"67","2014-08-13",21.139999
"68","2014-08-14",21.16
"69","2014-08-15",20.940001
"70","2014-08-18",22.110001
"71","2014-08-19",21.690001
"72","2014-08-20",22.049999
"73","2014-08-21",21.34
"74","2014-08-22",21.290001
"75","2014-08-25",21.139999
"76","2014-08-26",20.200001
"77","2014-08-27",19.75
"78","2014-08-28",18.549999
"79","2014-08-29",18.5
"80","2014-09-02",19.530001
"81","2014-09-03",19.35
"82","2014-09-04",20.059999
"83","2014-09-05",19.799999
"84","2014-09-08",19.77
"85","2014-09-09",19.450001
"86","2014-09-10",18.559999
"87","2014-09-11",17.98
"88","2014-09-12",17.98
"89","2014-09-15",17.34
"90","2014-09-16",17.059999
"91","2014-09-17",17.389999
"92","2014-09-18",18.15
"93","2014-09-19",18.5
"94","2014-09-22",17.530001
"95","2014-09-23",18.02
"96","2014-09-24",18.58
"97","2014-09-25",18.01
"98","2014-09-26",17.1
"99","2014-09-29",17.5
"100","2014-09-30",17.15
"101","2014-10-01",16.51
"102","2014-10-02",16.440001
"103","2014-10-03",16.35
"104","2014-10-06",16.4
"105","2014-10-07",15.99
"106","2014-10-08",16.049999
"107","2014-10-09",15.78
"108","2014-10-10",15.74
"109","2014-10-13",15.96
"110","2014-10-14",15.81
"111","2014-10-15",16.200001
"112","2014-10-16",17.6
"113","2014-10-17",17.030001
"114","2014-10-20",18.110001
"115","2014-10-21",18.040001
"116","2014-10-22",17.74
"117","2014-10-23",18.5
"118","2014-10-24",18.200001
"119","2014-10-27",19.49
"120","2014-10-28",19.15
"121","2014-10-29",18.799999
"122","2014-10-30",19.08
"123","2014-10-31",19.790001
"124","2014-11-03",19.01
"125","2014-11-04",18.120001
"126","2014-11-05",17.08
"127","2014-11-06",17.389999
"128","2014-11-07",16.9
"129","2014-11-10",16.52
"130","2014-11-11",16.129999
"131","2014-11-12",16.9
"132","2014-11-13",16.389999
"133","2014-11-14",16.23
"134","2014-11-17",16.190001
"135","2014-11-18",16.120001
"136","2014-11-19",15.03
"137","2014-11-20",14.54
"138","2014-11-21",14.52
"139","2014-11-24",14.68
"140","2014-11-25",14.52
"141","2014-11-26",12.65
"142","2014-11-28",13.21
"143","2014-12-01",12.74
"144","2014-12-02",12.71
"145","2014-12-03",12.35
"146","2014-12-04",12.49
"147","2014-12-05",11.88
"148","2014-12-08",10.77
"149","2014-12-09",11.3
"150","2014-12-10",11.27
"151","2014-12-11",11.8
"152","2014-12-12",13.3
"153","2014-12-15",13.58
"154","2014-12-16",12.05
"155","2014-12-17",12.41
"156","2014-12-18",12.82
"157","2014-12-19",12.33
"158","2014-12-22",11.95
"159","2014-12-23",11.73
"160","2014-12-24",12.03
"161","2014-12-26",12.11
"162","2014-12-29",12
"163","2014-12-30",12.16
"164","2014-12-31",12
"165","2015-01-02",12.37
"166","2015-01-05",12.6
"167","2015-01-06",12.08
"168","2015-01-07",12.41
"169","2015-01-08",13.7
"170","2015-01-09",13.3
"171","2015-01-12",12.97
"172","2015-01-13",13.35
"173","2015-01-14",13.64
"174","2015-01-15",13.63
"175","2015-01-16",12.85
"176","2015-01-20",12.35
"177","2015-01-21",13.01
"178","2015-01-22",13.19
"179","2015-01-23",13.66
"180","2015-01-26",13.7
"181","2015-01-27",13.39
"182","2015-01-28",13.65
"183","2015-01-29",13.68
"184","2015-01-30",13.59
"185","2015-02-02",13.67
"186","2015-02-03",14.3
"187","2015-02-04",14.5
"188","2015-02-05",14.88
"189","2015-02-06",14.86
"190","2015-02-09",14.85
"191","2015-02-10",14.76
"192","2015-02-11",15.58
"193","2015-02-12",15.07
"194","2015-02-13",15.09
"195","2015-02-17",14.75
"196","2015-02-18",14.7
"197","2015-02-19",15.08
"198","2015-02-20",15.03
"199","2015-02-23",15.26
"200","2015-02-24",15.18
"201","2015-02-25",14.57
"202","2015-02-26",14.89
"203","2015-02-27",15.09
"204","2015-03-02",14.73
"205","2015-03-03",15.07
"206","2015-03-04",14.87
"207","2015-03-05",14.17
"208","2015-03-06",12.63
"209","2015-03-09",12.63
