"","date","ELAN"
"1","2018-09-20",36
"2","2018-09-21",34.099998
"3","2018-09-24",34.900002
"4","2018-09-25",34.580002
"5","2018-09-26",35.5
"6","2018-09-27",36.189999
"7","2018-09-28",34.889999
"8","2018-10-01",33.73
"9","2018-10-02",33.419998
"10","2018-10-03",34.25
"11","2018-10-04",34.02
"12","2018-10-05",34.34
"13","2018-10-08",34.009998
"14","2018-10-09",34.32
"15","2018-10-10",33.529999
"16","2018-10-11",32.389999
"17","2018-10-12",32.580002
"18","2018-10-15",32.459999
"19","2018-10-16",32.610001
"20","2018-10-17",32.93
"21","2018-10-18",31.799999
"22","2018-10-19",31.610001
"23","2018-10-22",31.879999
"24","2018-10-23",32.439999
"25","2018-10-24",31.74
"26","2018-10-25",31.959999
"27","2018-10-26",32.43
"28","2018-10-29",30.91
"29","2018-10-30",30.85
"30","2018-10-31",30.48
"31","2018-11-01",31.879999
"32","2018-11-02",33.099998
"33","2018-11-05",33.240002
"34","2018-11-06",33.810001
"35","2018-11-07",34.459999
"36","2018-11-08",33.82
"37","2018-11-09",34.459999
"38","2018-11-12",34.16
"39","2018-11-13",34.5
"40","2018-11-14",34.009998
"41","2018-11-15",33.09
"42","2018-11-16",34
"43","2018-11-19",33.799999
"44","2018-11-20",33.130001
"45","2018-11-21",33.16
"46","2018-11-23",33.610001
"47","2018-11-26",33
"48","2018-11-27",32.950001
"49","2018-11-28",33.48
"50","2018-11-29",33.48
"51","2018-11-30",33.41
"52","2018-12-03",33.75
"53","2018-12-04",33.07
"54","2018-12-06",32.599998
"55","2018-12-07",33.57
"56","2018-12-10",33.380001
"57","2018-12-11",32.959999
"58","2018-12-12",32.869999
"59","2018-12-13",32.540001
"60","2018-12-14",32.369999
"61","2018-12-17",31.76
"62","2018-12-18",31.1
"63","2018-12-19",31.639999
"64","2018-12-20",31.33
"65","2018-12-21",30
"66","2018-12-24",29.629999
"67","2018-12-26",30.73
"68","2018-12-27",31.190001
"69","2018-12-28",31.32
"70","2018-12-31",31.530001
"71","2019-01-02",31.799999
"72","2019-01-03",31.09
"73","2019-01-04",31.83
"74","2019-01-07",32.650002
"75","2019-01-08",32.509998
"76","2019-01-09",32.549999
"77","2019-01-10",31.59
"78","2019-01-11",31.959999
"79","2019-01-14",31.559999
"80","2019-01-15",31.709999
"81","2019-01-16",31.559999
"82","2019-01-17",31.75
"83","2019-01-18",31.52
"84","2019-01-22",30.98
"85","2019-01-23",30.379999
"86","2019-01-24",30.23
"87","2019-01-25",30.6
"88","2019-01-28",30.5
"89","2019-01-29",30.5
"90","2019-01-30",30.16
"91","2019-01-31",29.18
"92","2019-02-01",29.450001
"93","2019-02-04",29.65
"94","2019-02-05",30.219999
"95","2019-02-06",29.01
"96","2019-02-07",29.5
"97","2019-02-08",29.690001
"98","2019-02-11",29.709999
"99","2019-02-12",29.299999
"100","2019-02-13",29.42
"101","2019-02-14",29.34
"102","2019-02-15",29.6
"103","2019-02-19",29.16
"104","2019-02-20",29.33
"105","2019-02-21",29.040001
"106","2019-02-22",29.190001
"107","2019-02-25",29
"108","2019-02-26",29.049999
"109","2019-02-27",29.719999
"110","2019-02-28",30.24
"111","2019-03-01",31.030001
"112","2019-03-04",31
"113","2019-03-05",30.459999
"114","2019-03-06",29.700001
"115","2019-03-07",29.280001
"116","2019-03-08",29.4
"117","2019-03-11",30.700001
"118","2019-03-12",31.639999
"119","2019-03-13",31.58
"120","2019-03-14",30.309999
