"","date","WVE"
"1","2015-11-11",16
"2","2015-11-12",16
"3","2015-11-13",15.9
"4","2015-11-16",15.89
"5","2015-11-17",15.9
"6","2015-11-18",15.89
"7","2015-11-19",15.79
"8","2015-11-20",16
"9","2015-11-23",16
"10","2015-11-24",16
"11","2015-11-25",16.08
"12","2015-11-27",16.09
"13","2015-11-30",16.25
"14","2015-12-01",16.49
"15","2015-12-02",16.870001
"16","2015-12-03",16.75
"17","2015-12-04",16.4
"18","2015-12-07",14.14
"19","2015-12-08",14.22
"20","2015-12-09",14.16
"21","2015-12-10",14.28
"22","2015-12-11",13.79
"23","2015-12-14",13.08
"24","2015-12-15",13.51
"25","2015-12-16",13.79
"26","2015-12-17",16.049999
"27","2015-12-18",15.32
"28","2015-12-21",17.309999
"29","2015-12-22",19.58
"30","2015-12-23",17.690001
"31","2015-12-24",16.389999
"32","2015-12-28",15.59
"33","2015-12-29",14.65
"34","2015-12-30",15.02
"35","2015-12-31",15.95
"36","2016-01-04",15.07
"37","2016-01-05",14.58
"38","2016-01-06",14.17
"39","2016-01-07",14.06
"40","2016-01-08",13.2
"41","2016-01-11",13.36
"42","2016-01-12",13.23
"43","2016-01-13",13.25
"44","2016-01-14",13.1
"45","2016-01-15",13.98
"46","2016-01-19",15.31
"47","2016-01-20",15.92
"48","2016-01-21",15.2
"49","2016-01-22",15.21
"50","2016-01-25",14.27
"51","2016-01-26",13.47
"52","2016-01-27",13.22
"53","2016-01-28",13.77
"54","2016-01-29",13.53
"55","2016-02-01",12.96
"56","2016-02-02",12.75
"57","2016-02-03",12.59
"58","2016-02-04",12.75
"59","2016-02-05",12.59
"60","2016-02-08",11.04
"61","2016-02-09",11.11
"62","2016-02-10",9.72
"63","2016-02-11",10.08
"64","2016-02-12",9.96
"65","2016-02-16",9.6
"66","2016-02-17",10.12
"67","2016-02-18",13.29
"68","2016-02-19",13.59
"69","2016-02-22",14.29
"70","2016-02-23",15.48
"71","2016-02-24",14.18
"72","2016-02-25",14.7
"73","2016-02-26",14.8
"74","2016-02-29",15.05
"75","2016-03-01",14.1
"76","2016-03-02",14.82
"77","2016-03-03",15.3
"78","2016-03-04",15.12
"79","2016-03-07",14.74
"80","2016-03-08",14.11
"81","2016-03-09",14.15
"82","2016-03-10",14.7
"83","2016-03-11",14.27
"84","2016-03-14",16.950001
"85","2016-03-15",19.450001
"86","2016-03-16",19.799999
"87","2016-03-17",18.969999
"88","2016-03-18",14.59
"89","2016-03-21",13.94
"90","2016-03-22",13.95
"91","2016-03-23",14
"92","2016-03-24",14.51
"93","2016-03-28",14.49
"94","2016-03-29",14.33
"95","2016-03-30",14.35
"96","2016-03-31",13.88
"97","2016-04-01",13.7
"98","2016-04-04",13.72
"99","2016-04-05",12.56
"100","2016-04-06",13.13
"101","2016-04-07",12.97
"102","2016-04-08",13.03
"103","2016-04-11",12.98
"104","2016-04-12",12.76
"105","2016-04-13",12.96
"106","2016-04-14",12.66
"107","2016-04-15",12.87
"108","2016-04-18",12.61
"109","2016-04-19",13.18
"110","2016-04-20",13.25
"111","2016-04-21",14.07
"112","2016-04-22",13.52
"113","2016-04-25",13.85
"114","2016-04-26",13.85
"115","2016-04-27",13.59
"116","2016-04-28",13.4
"117","2016-04-29",13.52
"118","2016-05-02",14.21
"119","2016-05-03",14.6
"120","2016-05-04",14.63
"121","2016-05-05",15.28
"122","2016-05-06",15.2
"123","2016-05-09",15.48
"124","2016-05-10",15.5
"125","2016-05-11",15.65
"126","2016-05-12",15.33
"127","2016-05-13",15.12
"128","2016-05-16",14.74
"129","2016-05-17",14.71
"130","2016-05-18",15.5
"131","2016-05-19",15.33
"132","2016-05-20",15.64
"133","2016-05-23",16.299999
"134","2016-05-24",16.25
"135","2016-05-25",16.280001
"136","2016-05-26",15.08
"137","2016-05-27",15.53
"138","2016-05-31",15.91
"139","2016-06-01",16.27
"140","2016-06-02",16.209999
"141","2016-06-03",15.9
"142","2016-06-06",15.58
"143","2016-06-07",15.25
"144","2016-06-08",15.7
"145","2016-06-09",15.41
"146","2016-06-10",16.040001
"147","2016-06-13",15.63
"148","2016-06-14",16.129999
"149","2016-06-15",17.110001
"150","2016-06-16",18.790001
"151","2016-06-17",19.33
"152","2016-06-20",20.5
"153","2016-06-21",20.280001
"154","2016-06-22",20.02
"155","2016-06-23",20.73
"156","2016-06-24",20.25
"157","2016-06-27",20.01
"158","2016-06-28",20.15
"159","2016-06-29",20.469999
"160","2016-06-30",20.690001
"161","2016-07-01",19.940001
"162","2016-07-05",20.33
"163","2016-07-06",20.49
"164","2016-07-07",21.200001
"165","2016-07-08",22.469999
"166","2016-07-11",21.690001
"167","2016-07-12",23
"168","2016-07-13",22.469999
"169","2016-07-14",22.129999
"170","2016-07-15",22.879999
"171","2016-07-18",26.629999
"172","2016-07-19",23.450001
"173","2016-07-20",22.6
"174","2016-07-21",21.940001
"175","2016-07-22",21.1
"176","2016-07-25",19.6
"177","2016-07-26",19.870001
"178","2016-07-27",19.84
"179","2016-07-28",19.17
"180","2016-07-29",19.309999
"181","2016-08-01",18.360001
"182","2016-08-02",18.24
"183","2016-08-03",18.09
"184","2016-08-04",18.559999
"185","2016-08-05",19.25
"186","2016-08-08",19.49
"187","2016-08-09",19.629999
"188","2016-08-10",19.34
"189","2016-08-11",19.74
"190","2016-08-12",19.76
"191","2016-08-15",20.57
"192","2016-08-16",20.889999
"193","2016-08-17",21.870001
"194","2016-08-18",22.59
"195","2016-08-19",22.43
"196","2016-08-22",22.370001
"197","2016-08-23",22.969999
"198","2016-08-24",23.6
"199","2016-08-25",24.200001
"200","2016-08-26",24.549999
"201","2016-08-29",24.91
"202","2016-08-30",25.049999
"203","2016-08-31",24.940001
"204","2016-09-01",23.280001
"205","2016-09-02",24.99
"206","2016-09-06",25.1
"207","2016-09-07",26.24
"208","2016-09-08",26
"209","2016-09-09",25.9
"210","2016-09-12",25.67
"211","2016-09-13",24.719999
"212","2016-09-14",25.08
"213","2016-09-15",25.469999
"214","2016-09-16",25.700001
"215","2016-09-19",26.1
"216","2016-09-20",27.219999
"217","2016-09-21",29.27
"218","2016-09-22",33.610001
"219","2016-09-23",34.32
"220","2016-09-26",33.310001
"221","2016-09-27",31.959999
"222","2016-09-28",32.169998
"223","2016-09-29",32.169998
"224","2016-09-30",32.470001
"225","2016-10-03",31.17
"226","2016-10-04",31.549999
"227","2016-10-05",32.919998
"228","2016-10-06",29.639999
"229","2016-10-07",30.27
"230","2016-10-10",31.43
"231","2016-10-11",30.6
"232","2016-10-12",29.82
"233","2016-10-13",28.57
"234","2016-10-14",28.77
"235","2016-10-17",29.049999
"236","2016-10-18",29.559999
"237","2016-10-19",30.030001
"238","2016-10-20",30.23
"239","2016-10-21",30.139999
"240","2016-10-24",30.85
"241","2016-10-25",30.700001
"242","2016-10-26",31.25
"243","2016-10-27",31.200001
"244","2016-10-28",31.35
"245","2016-10-31",31.85
"246","2016-11-01",31.9
"247","2016-11-02",32.5
"248","2016-11-03",32.349998
"249","2016-11-04",34.049999
"250","2016-11-07",33.849998
"251","2016-11-08",31.6
"252","2016-11-09",36.450001
"253","2016-11-10",36.419998
"254","2016-11-11",36.5
"255","2016-11-14",37.349998
"256","2016-11-15",37.900002
"257","2016-11-16",36.599998
"258","2016-11-17",37.75
"259","2016-11-18",37.950001
"260","2016-11-21",37.950001
"261","2016-11-22",37.549999
"262","2016-11-23",38.900002
"263","2016-11-25",39.549999
"264","2016-11-28",37.75
"265","2016-11-29",37.150002
"266","2016-11-30",35.599998
"267","2016-12-01",35.799999
"268","2016-12-02",35.849998
"269","2016-12-05",36.200001
"270","2016-12-06",37
"271","2016-12-07",34.299999
"272","2016-12-08",33.700001
"273","2016-12-09",33.25
"274","2016-12-12",32.049999
"275","2016-12-13",31.75
"276","2016-12-14",29.6
"277","2016-12-15",29.549999
"278","2016-12-16",29.200001
"279","2016-12-19",28.6
"280","2016-12-20",28.6
"281","2016-12-21",28.85
"282","2016-12-22",27.200001
"283","2016-12-23",28.75
"284","2016-12-27",29.15
"285","2016-12-28",27.9
"286","2016-12-29",27.299999
"287","2016-12-30",26.15
"288","2017-01-03",26.200001
"289","2017-01-04",27.799999
"290","2017-01-05",27.15
"291","2017-01-06",27.25
"292","2017-01-09",27.4
"293","2017-01-10",27.65
"294","2017-01-11",27.1
"295","2017-01-12",27.35
"296","2017-01-13",28.049999
"297","2017-01-17",27.5
"298","2017-01-18",27.75
"299","2017-01-19",27.299999
"300","2017-01-20",27.35
"301","2017-01-23",27.5
"302","2017-01-24",28.6
"303","2017-01-25",29.049999
"304","2017-01-26",29.15
"305","2017-01-27",30.15
"306","2017-01-30",28.950001
"307","2017-01-31",28.75
"308","2017-02-01",28.799999
"309","2017-02-02",27.950001
"310","2017-02-03",28.4
"311","2017-02-06",28.85
"312","2017-02-07",29.049999
"313","2017-02-08",28.6
"314","2017-02-09",29.200001
"315","2017-02-10",30.049999
"316","2017-02-13",30.049999
"317","2017-02-14",29.5
"318","2017-02-15",30.25
"319","2017-02-16",30
"320","2017-02-17",30
"321","2017-02-21",29.85
"322","2017-02-22",28.1
"323","2017-02-23",27.950001
"324","2017-02-24",28.049999
"325","2017-02-27",30.700001
"326","2017-02-28",30.1
"327","2017-03-01",30.6
"328","2017-03-02",28.25
"329","2017-03-03",27.85
"330","2017-03-06",27
"331","2017-03-07",27
"332","2017-03-08",27
"333","2017-03-09",27
"334","2017-03-10",26.35
"335","2017-03-13",26.4
"336","2017-03-14",26.450001
"337","2017-03-15",27
"338","2017-03-16",26.15
"339","2017-03-17",26.450001
"340","2017-03-20",26.299999
"341","2017-03-21",25.799999
"342","2017-03-22",25.6
"343","2017-03-23",26
"344","2017-03-24",25.35
"345","2017-03-27",26.9
"346","2017-03-28",26.75
