"","date","CBMG"
"1","2007-06-04",25
"2","2007-06-05",14
"3","2007-06-06",20
"4","2007-06-07",18
"5","2007-06-08",14
"6","2007-06-11",12
"7","2007-06-12",10
"8","2007-06-13",7
"9","2007-06-14",9
"10","2007-06-15",7
"11","2007-06-18",6
"12","2007-06-19",8
"13","2007-06-20",8
"14","2007-06-21",9
"15","2007-06-22",9
"16","2007-06-25",8
"17","2007-06-26",8
"18","2007-06-27",8
"19","2007-06-28",7
"20","2007-06-29",7
"21","2007-07-02",8
"22","2007-07-03",8
"23","2007-07-05",8
"24","2007-07-06",7
"25","2007-07-09",7
"26","2007-07-10",7
"27","2007-07-11",9
"28","2007-07-12",8
"29","2007-07-13",8
"30","2007-07-16",8
"31","2007-07-17",7
"32","2007-07-18",8
"33","2007-07-19",7
"34","2007-07-20",8
"35","2007-07-23",8
"36","2007-07-24",7
"37","2007-07-25",7
"38","2007-07-26",7
"39","2007-07-27",8
"40","2007-07-30",8
"41","2007-07-31",10
"42","2007-08-01",10
"43","2007-08-02",25
"44","2007-08-03",22
"45","2007-08-06",15
"46","2007-08-07",16
"47","2007-08-08",20
"48","2007-08-09",19
"49","2007-08-10",18
"50","2007-08-13",18
"51","2007-08-14",15
"52","2007-08-15",15
"53","2007-08-16",13
"54","2007-08-17",13
"55","2007-08-20",18
"56","2007-08-21",16
"57","2007-08-22",14
"58","2007-08-23",14
"59","2007-08-24",13
"60","2007-08-27",14
"61","2007-08-28",13
"62","2007-08-29",13
"63","2007-08-30",13
"64","2007-08-31",12
"65","2007-09-04",12
"66","2007-09-05",12
"67","2007-09-06",12
"68","2007-09-07",12
"69","2007-09-10",11
"70","2007-09-11",11
"71","2007-09-12",11
"72","2007-09-13",10
"73","2007-09-14",10
"74","2007-09-17",9
"75","2007-09-18",10
"76","2007-09-19",10
"77","2007-09-20",9
"78","2007-09-21",9
"79","2007-09-24",8
"80","2007-09-25",8
"81","2007-09-26",8
"82","2007-09-27",8
"83","2007-09-28",9
"84","2007-10-01",8
"85","2007-10-02",7
"86","2007-10-03",7
"87","2007-10-04",9
"88","2007-10-05",8
"89","2007-10-08",13
"90","2007-10-09",10
"91","2007-10-10",10
"92","2007-10-11",9
"93","2007-10-12",9
"94","2007-10-15",8
"95","2007-10-16",8
"96","2007-10-17",8
"97","2007-10-18",10
"98","2007-10-19",10
"99","2007-10-22",9
"100","2007-10-23",10
"101","2007-10-24",10
"102","2007-10-25",10
"103","2007-10-26",11
"104","2007-10-29",9
"105","2007-10-30",9
"106","2007-10-31",10
"107","2007-11-01",10
"108","2007-11-02",10
"109","2007-11-05",10
"110","2007-11-06",12
"111","2007-11-07",11
"112","2007-11-08",12
"113","2007-11-09",11
"114","2007-11-12",11
"115","2007-11-13",11
"116","2007-11-14",12
"117","2007-11-15",11
"118","2007-11-16",11
"119","2007-11-19",11
"120","2007-11-20",11
"121","2007-11-21",11
"122","2007-11-23",10
"123","2007-11-26",10
"124","2007-11-27",10
"125","2007-11-28",10
"126","2007-11-29",10
"127","2007-11-30",10
"128","2007-12-03",9
"129","2007-12-04",9
"130","2007-12-05",9
"131","2007-12-06",10
"132","2007-12-07",9
"133","2007-12-10",9
"134","2007-12-11",9
"135","2007-12-12",8
"136","2007-12-13",8
"137","2007-12-14",8
"138","2007-12-17",8
"139","2007-12-18",9
"140","2007-12-19",9
"141","2007-12-20",10
"142","2007-12-21",10
"143","2007-12-24",11
"144","2007-12-26",10
"145","2007-12-27",9
"146","2007-12-28",11
"147","2007-12-31",10
"148","2008-01-02",10
"149","2008-01-03",10
"150","2008-01-04",10
"151","2008-01-07",9
"152","2008-01-08",9
"153","2008-01-09",9
"154","2008-01-10",9
"155","2008-01-11",9
"156","2008-01-14",9
"157","2008-01-15",8
"158","2008-01-16",9
"159","2008-01-17",9
"160","2008-01-18",9
"161","2008-01-22",9
"162","2008-01-23",8
"163","2008-01-24",9
"164","2008-01-25",9
"165","2008-01-28",8
"166","2008-01-29",8
"167","2008-01-30",8
"168","2008-01-31",8
"169","2008-02-01",7
"170","2008-02-04",7
"171","2008-02-05",7
"172","2008-02-06",7
"173","2008-02-07",7
"174","2008-02-08",9
"175","2008-02-11",7
"176","2008-02-12",8
"177","2008-02-13",7
"178","2008-02-14",7
"179","2008-02-15",8
"180","2008-02-19",8
"181","2008-02-20",7
"182","2008-02-21",7
"183","2008-02-22",7
"184","2008-02-25",7
"185","2008-02-26",7
"186","2008-02-27",7
"187","2008-02-28",6
"188","2008-02-29",7
"189","2008-03-03",6
"190","2008-03-04",7
"191","2008-03-05",7
"192","2008-03-06",7
"193","2008-03-07",7
"194","2008-03-10",7
"195","2008-03-11",6
"196","2008-03-12",7
"197","2008-03-13",6
"198","2008-03-14",7
"199","2008-03-17",7
"200","2008-03-18",7
"201","2008-03-19",7
"202","2008-03-20",7
"203","2008-03-24",7
"204","2008-03-25",8
"205","2008-03-26",8
"206","2008-03-27",7
"207","2008-03-28",8
"208","2008-03-31",8
"209","2008-04-01",8
"210","2008-04-02",8
"211","2008-04-03",8
"212","2008-04-04",9
"213","2008-04-07",9
"214","2008-04-08",9
"215","2008-04-09",8
"216","2008-04-10",8
"217","2008-04-11",8
"218","2008-04-14",8
"219","2008-04-15",7
"220","2008-04-16",6
"221","2008-04-17",7
"222","2008-04-18",7
"223","2008-04-21",7
"224","2008-04-22",6
"225","2008-04-23",6
"226","2008-04-24",6
"227","2008-04-25",6
"228","2008-04-28",6
"229","2008-04-29",6
"230","2008-04-30",5
"231","2008-05-01",5
"232","2008-05-02",4
"233","2008-05-05",5
"234","2008-05-06",6
"235","2008-05-07",7
"236","2008-05-08",7
"237","2008-05-09",6
"238","2008-05-12",6
"239","2008-05-13",5
"240","2008-05-14",6
"241","2008-05-15",8
"242","2008-05-16",7
"243","2008-05-19",7
"244","2008-05-20",6
"245","2008-05-21",6
"246","2008-05-22",7
"247","2008-05-23",7
"248","2008-05-27",6
"249","2008-05-28",6
"250","2008-05-29",6
"251","2008-05-30",5
"252","2008-06-02",6
"253","2008-06-03",5
"254","2008-06-04",5
"255","2008-06-05",5
"256","2008-06-06",5
"257","2008-06-09",5
"258","2008-06-10",5
"259","2008-06-11",4
"260","2008-06-12",4
"261","2008-06-13",5
"262","2008-06-16",5
"263","2008-06-17",5
"264","2008-06-18",4
"265","2008-06-19",6
"266","2008-06-20",5
"267","2008-06-23",5
"268","2008-06-24",4
"269","2008-06-25",4
"270","2008-06-26",4
"271","2008-06-27",4
"272","2008-06-30",4
"273","2008-07-01",4
"274","2008-07-02",4
"275","2008-07-03",4
"276","2008-07-07",4
"277","2008-07-08",4
"278","2008-07-09",4
