"","date","TWO"
"1","2009-10-30",14.778618
"2","2009-11-02",14.717612
"3","2009-11-03",14.504093
"4","2009-11-04",14.26007
"5","2009-11-05",14.290573
"6","2009-11-06",14.061802
"7","2009-11-09",13.756774
"8","2009-11-10",13.390739
"9","2009-11-11",13.650014
"10","2009-11-12",13.756774
"11","2009-11-13",13.863533
"12","2009-11-16",13.833031
"13","2009-11-17",13.848282
"14","2009-11-18",13.802527
"15","2009-11-19",14.107556
"16","2009-11-20",14.077053
"17","2009-11-23",13.878785
"18","2009-11-24",13.955042
"19","2009-11-25",13.985545
"20","2009-11-27",13.802527
"21","2009-11-30",13.802527
"22","2009-12-01",14.321075
"23","2009-12-02",14.488841
"24","2009-12-03",14.183813
"25","2009-12-04",14.336328
"26","2009-12-07",14.47359
"27","2009-12-08",15.098898
"28","2009-12-09",14.946383
"29","2009-12-10",14.79387
"30","2009-12-11",14.809121
"31","2009-12-14",14.870127
"32","2009-12-15",14.641356
"33","2009-12-16",14.946383
"34","2009-12-17",14.641356
"35","2009-12-18",14.549847
"36","2009-12-21",14.488841
"37","2009-12-22",14.870127
"38","2009-12-23",14.946383
"39","2009-12-24",15.007389
"40","2009-12-28",14.946383
"41","2009-12-29",14.641356
"42","2009-12-30",14.931132
"43","2009-12-31",14.946383
"44","2010-01-04",14.961635
"45","2010-01-05",14.946383
"46","2010-01-06",14.79387
"47","2010-01-07",14.946383
"48","2010-01-08",14.946383
"49","2010-01-11",14.870127
"50","2010-01-12",14.519344
"51","2010-01-13",14.778618
"52","2010-01-14",14.931132
"53","2010-01-15",14.79387
"54","2010-01-19",14.717612
"55","2010-01-20",14.748116
"56","2010-01-21",14.336328
"57","2010-01-22",14.275322
"58","2010-01-25",14.107556
"59","2010-01-26",14.016047
"60","2010-01-27",14.107556
"61","2010-01-28",14.107556
"62","2010-01-29",14.488841
"63","2010-02-01",13.726271
"64","2010-02-02",14.031299
"65","2010-02-03",14.031299
"66","2010-02-04",13.756774
"67","2010-02-05",13.909287
"68","2010-02-08",13.772025
"69","2010-02-09",13.665265
"70","2010-02-10",13.589008
"71","2010-02-11",13.802527
"72","2010-02-12",13.955042
"73","2010-02-16",13.894036
"74","2010-02-17",13.726271
