"","date","FEIM"
"1","2007-01-03",11.77
"2","2007-01-04",11.84
"3","2007-01-05",12.21
"4","2007-01-08",12.04
"5","2007-01-09",11.81
"6","2007-01-10",11.86
"7","2007-01-11",12.14
"8","2007-01-12",12.07
"9","2007-01-16",12.01
"10","2007-01-17",12.03
"11","2007-01-18",11.96
"12","2007-01-19",11.98
"13","2007-01-22",12
"14","2007-01-23",11.95
"15","2007-01-24",12
"16","2007-01-25",11.97
"17","2007-01-26",12.66
"18","2007-01-29",12
"19","2007-01-30",11.99
"20","2007-01-31",12.08
"21","2007-02-01",11.98
"22","2007-02-02",11.95
"23","2007-02-05",12.16
"24","2007-02-06",11.92
"25","2007-02-07",11.99
"26","2007-02-08",11.91
"27","2007-02-09",11.71
"28","2007-02-12",11.85
"29","2007-02-13",11.85
"30","2007-02-14",11.72
"31","2007-02-15",11.91
"32","2007-02-16",11.68
"33","2007-02-20",11.77
"34","2007-02-21",11.59
"35","2007-02-22",11.5
"36","2007-02-23",11.49
"37","2007-02-26",11.37
"38","2007-02-27",11.29
"39","2007-02-28",11.25
"40","2007-03-01",11.3
"41","2007-03-02",11.2
"42","2007-03-05",11.11
"43","2007-03-06",11.2
"44","2007-03-07",11.19
"45","2007-03-08",11.2
"46","2007-03-09",11.26
"47","2007-03-12",11.28
"48","2007-03-13",11.2
"49","2007-03-14",11.13
"50","2007-03-15",11.19
"51","2007-03-16",10.95
"52","2007-03-19",11.21
"53","2007-03-20",11.26
"54","2007-03-21",11.34
"55","2007-03-22",11.58
"56","2007-03-23",11.16
"57","2007-03-26",11.33
"58","2007-03-27",11.06
"59","2007-03-28",10.94
"60","2007-03-29",10.83
"61","2007-03-30",10.96
"62","2007-04-02",11.48
"63","2007-04-03",11.48
"64","2007-04-04",11.4
"65","2007-04-05",11.05
"66","2007-04-09",11.03
"67","2007-04-10",10.7
"68","2007-04-11",10.69
"69","2007-04-12",10.7
"70","2007-04-13",10.7
"71","2007-04-16",10.6
"72","2007-04-17",10.52
"73","2007-04-18",10.51
"74","2007-04-19",10.49
"75","2007-04-20",10.31
"76","2007-04-23",10.36
"77","2007-04-24",10.65
"78","2007-04-25",10.6
"79","2007-04-26",10.52
"80","2007-04-27",10.91
"81","2007-04-30",10.83
"82","2007-05-01",10.74
"83","2007-05-02",10.8
"84","2007-05-03",10.75
"85","2007-05-04",10.76
"86","2007-05-07",10.59
"87","2007-05-08",10.5
"88","2007-05-09",10.64
"89","2007-05-10",10.47
"90","2007-05-11",10.77
"91","2007-05-14",10.46
"92","2007-05-15",10.46
"93","2007-05-16",10.65
"94","2007-05-17",10.52
"95","2007-05-18",10.53
"96","2007-05-21",10.53
"97","2007-05-22",10.55
"98","2007-05-23",10.48
"99","2007-05-24",10.46
"100","2007-05-25",10.49
"101","2007-05-29",10.45
"102","2007-05-30",10.43
"103","2007-05-31",10.54
"104","2007-06-01",10.57
"105","2007-06-04",10.53
"106","2007-06-05",10.81
"107","2007-06-06",10.71
"108","2007-06-07",10.5
"109","2007-06-08",10.65
"110","2007-06-11",10.49
"111","2007-06-12",10.21
"112","2007-06-13",10.2
"113","2007-06-14",10.25
"114","2007-06-15",10.39
"115","2007-06-18",10.41
"116","2007-06-19",10.4
"117","2007-06-20",10.4
"118","2007-06-21",9.95
"119","2007-06-22",10.65
"120","2007-06-25",10.62
"121","2007-06-26",9.97
"122","2007-06-27",10.21
"123","2007-06-28",10.52
"124","2007-06-29",10.54
"125","2007-07-02",10.59
"126","2007-07-03",10.29
"127","2007-07-05",10.28
"128","2007-07-06",10.25
"129","2007-07-09",10.25
"130","2007-07-10",10.25
"131","2007-07-11",10.31
"132","2007-07-12",11
"133","2007-07-13",11
"134","2007-07-16",11
"135","2007-07-17",11.26
"136","2007-07-18",11.38
"137","2007-07-19",11.45
"138","2007-07-20",11.2
"139","2007-07-23",11.11
"140","2007-07-24",11.16
"141","2007-07-25",11
"142","2007-07-26",10.64
"143","2007-07-27",11
"144","2007-07-30",10.75
"145","2007-07-31",10.98
"146","2007-08-01",11.08
"147","2007-08-02",11.05
"148","2007-08-03",11.08
"149","2007-08-06",11.03
"150","2007-08-07",11.49
"151","2007-08-08",10.66
"152","2007-08-09",10.64
"153","2007-08-10",10.59
"154","2007-08-13",10.39
"155","2007-08-14",10.22
"156","2007-08-15",10.11
"157","2007-08-16",10.01
"158","2007-08-17",10.07
"159","2007-08-20",10.09
"160","2007-08-21",10.07
"161","2007-08-22",10.91
"162","2007-08-23",10.72
"163","2007-08-24",10.4
"164","2007-08-27",10.21
"165","2007-08-28",10.6
"166","2007-08-29",9.91
"167","2007-08-30",9.66
"168","2007-08-31",9.87
"169","2007-09-04",9.85
"170","2007-09-05",9.97
"171","2007-09-06",9.96
"172","2007-09-07",9.94
"173","2007-09-10",9.86
"174","2007-09-11",10.41
"175","2007-09-12",10.1
"176","2007-09-13",10.05
"177","2007-09-14",10.09
"178","2007-09-17",10.08
"179","2007-09-18",10.15
"180","2007-09-19",10.46
"181","2007-09-20",10.54
"182","2007-09-21",10.5
"183","2007-09-24",10.5
"184","2007-09-25",10.44
"185","2007-09-26",10.19
"186","2007-09-27",10.1
"187","2007-09-28",10.08
"188","2007-10-01",9.96
"189","2007-10-02",10.04
"190","2007-10-03",10
"191","2007-10-04",9.97
"192","2007-10-05",10.41
"193","2007-10-08",10.18
"194","2007-10-09",10.18
"195","2007-10-10",10.51
"196","2007-10-11",10.26
"197","2007-10-12",10.32
"198","2007-10-15",10.35
"199","2007-10-16",10.34
"200","2007-10-17",10.33
"201","2007-10-18",10.37
"202","2007-10-19",10.34
"203","2007-10-22",10.2
"204","2007-10-23",10.2
"205","2007-10-24",10.21
"206","2007-10-25",10
"207","2007-10-26",10.04
"208","2007-10-29",9.95
"209","2007-10-30",9.91
"210","2007-10-31",9.97
"211","2007-11-01",9.98
"212","2007-11-02",10.05
"213","2007-11-05",10.02
"214","2007-11-06",9.9
"215","2007-11-07",9.69
"216","2007-11-08",9.57
"217","2007-11-09",9.65
"218","2007-11-12",9.63
"219","2007-11-13",9.6
"220","2007-11-14",9.55
"221","2007-11-15",9.96
"222","2007-11-16",9.55
"223","2007-11-19",9.38
"224","2007-11-20",9.46
"225","2007-11-21",9.4
"226","2007-11-23",9.37
"227","2007-11-26",9.19
"228","2007-11-27",9.28
"229","2007-11-28",9.32
"230","2007-11-29",9.32
"231","2007-11-30",9.59
"232","2007-12-03",9.42
"233","2007-12-04",9.23
"234","2007-12-05",9.18
"235","2007-12-06",9.04
"236","2007-12-07",9.89
"237","2007-12-10",10.05
"238","2007-12-11",9.85
"239","2007-12-12",9.89
"240","2007-12-13",9.95
"241","2007-12-14",9.66
"242","2007-12-17",9.25
"243","2007-12-18",9.28
"244","2007-12-19",9.48
"245","2007-12-20",9.6
"246","2007-12-21",9.46
"247","2007-12-24",9.85
"248","2007-12-26",9.5
"249","2007-12-27",9.28
"250","2007-12-28",9.45
"251","2007-12-31",9.65
"252","2008-01-02",9.53
"253","2008-01-03",9.32
"254","2008-01-04",9.46
"255","2008-01-07",9.4
"256","2008-01-08",9.62
"257","2008-01-09",9.58
"258","2008-01-10",9.58
"259","2008-01-11",9.96
"260","2008-01-14",9.99
"261","2008-01-15",9.76
"262","2008-01-16",9.65
"263","2008-01-17",9.4
"264","2008-01-18",9.1
"265","2008-01-22",9
"266","2008-01-23",8.94
"267","2008-01-24",9.05
"268","2008-01-25",8.97
"269","2008-01-28",8.98
"270","2008-01-29",9.06
"271","2008-01-30",9.08
"272","2008-01-31",9
"273","2008-02-01",9.13
"274","2008-02-04",8.91
"275","2008-02-05",8.76
"276","2008-02-06",8.79
"277","2008-02-07",8.89
"278","2008-02-08",8.63
"279","2008-02-11",8.68
"280","2008-02-12",8.93
"281","2008-02-13",8.86
"282","2008-02-14",8.64
"283","2008-02-15",9.02
"284","2008-02-19",9.04
"285","2008-02-20",8.76
"286","2008-02-21",8.61
"287","2008-02-22",8.67
"288","2008-02-25",8.84
"289","2008-02-26",8.86
"290","2008-02-27",8.71
"291","2008-02-28",8.67
"292","2008-02-29",8.62
"293","2008-03-03",8.73
"294","2008-03-04",8.65
"295","2008-03-05",8.76
"296","2008-03-06",8.63
"297","2008-03-07",8.58
"298","2008-03-10",8.1
"299","2008-03-11",8
"300","2008-03-12",7.65
"301","2008-03-13",7.73
"302","2008-03-14",7.62
"303","2008-03-17",7.77
"304","2008-03-18",7.5
"305","2008-03-19",7.68
"306","2008-03-20",7.75
"307","2008-03-24",7.65
"308","2008-03-25",7.57
"309","2008-03-26",7.57
"310","2008-03-27",7.34
"311","2008-03-28",7.36
"312","2008-03-31",7.78
"313","2008-04-01",7.96
"314","2008-04-02",7.94
"315","2008-04-03",7.67
"316","2008-04-04",7.99
"317","2008-04-07",7.49
"318","2008-04-08",7.26
"319","2008-04-09",6.94
"320","2008-04-10",6.98
"321","2008-04-11",6.73
"322","2008-04-14",6.99
"323","2008-04-15",6.96
"324","2008-04-16",6.81
"325","2008-04-17",7.14
"326","2008-04-18",7.04
"327","2008-04-21",6.81
"328","2008-04-22",6.56
"329","2008-04-23",6.63
"330","2008-04-24",6.85
"331","2008-04-25",6.82
"332","2008-04-28",6.74
"333","2008-04-29",6.75
"334","2008-04-30",6.63
"335","2008-05-01",6.82
"336","2008-05-02",6.72
"337","2008-05-05",6.86
"338","2008-05-06",7.19
"339","2008-05-07",7.32
"340","2008-05-08",7.47
"341","2008-05-09",7.38
"342","2008-05-12",7.32
"343","2008-05-13",6.98
"344","2008-05-14",6.75
"345","2008-05-15",7.47
"346","2008-05-16",7.25
"347","2008-05-19",7.15
"348","2008-05-20",7.28
"349","2008-05-21",7.25
"350","2008-05-22",6.84
"351","2008-05-23",6.98
"352","2008-05-27",6.88
"353","2008-05-28",6.81
"354","2008-05-29",6.8
"355","2008-05-30",6.84
"356","2008-06-02",6.65
"357","2008-06-03",6.76
"358","2008-06-04",6.71
"359","2008-06-05",6.85
"360","2008-06-06",6.77
"361","2008-06-09",6.71
"362","2008-06-10",7.35
"363","2008-06-11",7.13
"364","2008-06-12",6.92
"365","2008-06-13",7
"366","2008-06-16",6.96
"367","2008-06-17",6.96
"368","2008-06-18",7.28
"369","2008-06-19",7.02
"370","2008-06-20",6.91
"371","2008-06-23",7
"372","2008-06-24",6.98
"373","2008-06-25",6.96
"374","2008-06-26",6.77
"375","2008-06-27",6.73
"376","2008-06-30",6.57
"377","2008-07-01",6.34
"378","2008-07-02",6.96
"379","2008-07-03",6.64
"380","2008-07-07",6.32
"381","2008-07-08",6.19
"382","2008-07-09",6.04
"383","2008-07-10",6.19
"384","2008-07-11",6.03
"385","2008-07-14",6.08
"386","2008-07-15",5.9
"387","2008-07-16",5.92
"388","2008-07-17",6.04
"389","2008-07-18",6.19
"390","2008-07-21",6.33
