"","date","CRK"
"1","2007-01-03",147.600006
"2","2007-01-04",144.300003
"3","2007-01-05",143.949997
"4","2007-01-08",145.699997
"5","2007-01-09",144.699997
"6","2007-01-10",142.850006
"7","2007-01-11",142.25
"8","2007-01-12",144.449997
"9","2007-01-16",142.399994
"10","2007-01-17",142.350006
"11","2007-01-18",142.449997
"12","2007-01-19",147.75
"13","2007-01-22",148.199997
"14","2007-01-23",152.5
"15","2007-01-24",155.25
"16","2007-01-25",151.25
"17","2007-01-26",153.399994
"18","2007-01-29",154.050003
"19","2007-01-30",158.050003
"20","2007-01-31",159.75
"21","2007-02-01",160.399994
"22","2007-02-02",152.300003
"23","2007-02-05",149.800003
"24","2007-02-06",146.300003
"25","2007-02-07",148
"26","2007-02-08",150.949997
"27","2007-02-09",148.5
"28","2007-02-12",145.800003
"29","2007-02-13",143
"30","2007-02-14",140.350006
"31","2007-02-15",139.800003
"32","2007-02-16",140.100006
"33","2007-02-20",137.850006
"34","2007-02-21",139
"35","2007-02-22",139.25
"36","2007-02-23",137.800003
"37","2007-02-26",138.300003
"38","2007-02-27",133.449997
"39","2007-02-28",134.149994
"40","2007-03-01",136.25
"41","2007-03-02",133.300003
"42","2007-03-05",128.600006
"43","2007-03-06",132.149994
"44","2007-03-07",135.050003
"45","2007-03-08",132.600006
"46","2007-03-09",132.300003
"47","2007-03-12",131.050003
"48","2007-03-13",128.399994
"49","2007-03-14",129.300003
"50","2007-03-15",129.350006
"51","2007-03-16",126.449997
"52","2007-03-19",128.449997
"53","2007-03-20",127.800003
"54","2007-03-21",130.5
"55","2007-03-22",133.25
"56","2007-03-23",133.899994
"57","2007-03-26",133.5
"58","2007-03-27",132.949997
"59","2007-03-28",133.25
"60","2007-03-29",137.899994
"61","2007-03-30",136.899994
"62","2007-04-02",138.050003
"63","2007-04-03",136.600006
"64","2007-04-04",137.449997
"65","2007-04-05",138.75
"66","2007-04-09",139.600006
"67","2007-04-10",141.449997
"68","2007-04-11",140.899994
"69","2007-04-12",143.649994
"70","2007-04-13",144.949997
"71","2007-04-16",144.199997
"72","2007-04-17",143.350006
"73","2007-04-18",140.600006
"74","2007-04-19",137.600006
"75","2007-04-20",139.600006
"76","2007-04-23",140.100006
"77","2007-04-24",140.699997
