"","date","CRSA"
"1","2019-04-18",9.7
"2","2019-04-22",9.7
"3","2019-04-23",9.7
"4","2019-04-24",9.7
"5","2019-04-25",9.7
"6","2019-04-26",9.7
"7","2019-04-29",9.7
"8","2019-04-30",9.7
"9","2019-05-01",9.7
"10","2019-05-02",9.7
"11","2019-05-03",9.7
"12","2019-05-06",9.7
"13","2019-05-07",9.697
"14","2019-05-08",9.69
"15","2019-05-09",9.69
"16","2019-05-10",9.69
"17","2019-05-13",9.7
"18","2019-05-14",9.7
"19","2019-05-15",9.7
"20","2019-05-16",9.7
"21","2019-05-17",9.69
"22","2019-05-20",9.69
"23","2019-05-21",9.7
"24","2019-05-22",9.7
"25","2019-05-23",9.7
"26","2019-05-24",9.7
"27","2019-05-28",9.7
"28","2019-05-29",9.7
"29","2019-05-30",9.7
"30","2019-05-31",9.7
"31","2019-06-03",9.7
"32","2019-06-04",9.7
"33","2019-06-05",9.7
"34","2019-06-06",9.7
"35","2019-06-07",9.72
"36","2019-06-10",9.7
"37","2019-06-11",9.71
"38","2019-06-12",9.71
"39","2019-06-13",9.71
"40","2019-06-14",9.77
"41","2019-06-17",9.77
"42","2019-06-18",9.78
"43","2019-06-19",9.78
"44","2019-06-20",9.78
"45","2019-06-21",9.8
"46","2019-06-24",9.82
"47","2019-06-25",9.82
"48","2019-06-26",9.8
"49","2019-06-27",9.83
"50","2019-06-28",9.75
"51","2019-07-01",9.75
"52","2019-07-02",9.77
"53","2019-07-03",9.8
"54","2019-07-05",9.8
"55","2019-07-08",9.76
"56","2019-07-09",9.76
"57","2019-07-10",9.8
"58","2019-07-11",9.8
"59","2019-07-12",9.8
"60","2019-07-15",9.8
"61","2019-07-16",9.78
"62","2019-07-17",9.78
"63","2019-07-18",9.78
"64","2019-07-19",9.78
"65","2019-07-22",9.78
"66","2019-07-23",9.8
"67","2019-07-24",9.8
"68","2019-07-25",9.8
"69","2019-07-26",9.8
"70","2019-07-29",9.8
"71","2019-07-30",9.8
"72","2019-07-31",9.8
"73","2019-08-01",9.8
"74","2019-08-02",9.8
"75","2019-08-05",9.8
"76","2019-08-06",9.77
"77","2019-08-07",9.77
"78","2019-08-08",9.77
"79","2019-08-09",9.8
"80","2019-08-12",9.8
"81","2019-08-13",9.8
"82","2019-08-14",9.85
"83","2019-08-15",9.85
"84","2019-08-16",9.77
"85","2019-08-19",9.81
"86","2019-08-20",9.85
"87","2019-08-21",9.85
"88","2019-08-22",9.85
"89","2019-08-23",9.85
"90","2019-08-26",9.85
"91","2019-08-27",9.85
"92","2019-08-28",9.85
"93","2019-08-29",9.85
"94","2019-08-30",9.85
"95","2019-09-03",9.85
"96","2019-09-04",9.85
"97","2019-09-05",9.85
"98","2019-09-06",9.85
"99","2019-09-09",9.85
"100","2019-09-10",9.85
"101","2019-09-11",9.83
"102","2019-09-12",9.85
"103","2019-09-13",9.84
"104","2019-09-16",9.84
"105","2019-09-17",9.83
"106","2019-09-18",9.83
"107","2019-09-19",9.83
"108","2019-09-20",9.83
"109","2019-09-23",9.85
"110","2019-09-24",9.85
"111","2019-09-25",9.85
"112","2019-09-26",9.85
"113","2019-09-27",9.9
"114","2019-09-30",9.9
"115","2019-10-01",9.9
"116","2019-10-02",9.876
"117","2019-10-03",9.876
"118","2019-10-04",9.876
"119","2019-10-07",9.83
"120","2019-10-08",9.83
"121","2019-10-09",9.83
"122","2019-10-10",9.83
"123","2019-10-11",9.83
"124","2019-10-14",9.83
