"","date","NBTB"
"1","2007-01-03",25.5
"2","2007-01-04",25.75
"3","2007-01-05",24.85
"4","2007-01-08",24.379999
"5","2007-01-09",24.280001
"6","2007-01-10",24.26
"7","2007-01-11",24.49
"8","2007-01-12",24.780001
"9","2007-01-16",24.43
"10","2007-01-17",24.370001
"11","2007-01-18",23.74
"12","2007-01-19",24.15
"13","2007-01-22",24
"14","2007-01-23",24.219999
"15","2007-01-24",24.540001
"16","2007-01-25",23.790001
"17","2007-01-26",24.280001
"18","2007-01-29",24.58
"19","2007-01-30",24.719999
"20","2007-01-31",24.799999
"21","2007-02-01",24.52
"22","2007-02-02",24.74
"23","2007-02-05",24.559999
"24","2007-02-06",24.780001
"25","2007-02-07",24.870001
"26","2007-02-08",24.76
"27","2007-02-09",24.41
"28","2007-02-12",24.690001
"29","2007-02-13",24.969999
"30","2007-02-14",24.700001
"31","2007-02-15",24.35
"32","2007-02-16",24.299999
"33","2007-02-20",24.639999
"34","2007-02-21",24.51
"35","2007-02-22",24.549999
"36","2007-02-23",24.17
"37","2007-02-26",24.02
"38","2007-02-27",22.51
"39","2007-02-28",22.43
"40","2007-03-01",22.42
"41","2007-03-02",22.43
"42","2007-03-05",21.969999
"43","2007-03-06",22.950001
"44","2007-03-07",22.51
"45","2007-03-08",22.74
"46","2007-03-09",22.629999
"47","2007-03-12",22.91
"48","2007-03-13",22.190001
"49","2007-03-14",22.719999
"50","2007-03-15",23.120001
"51","2007-03-16",22.48
"52","2007-03-19",22.82
"53","2007-03-20",23.08
"54","2007-03-21",23.790001
"55","2007-03-22",23.65
"56","2007-03-23",23.5
"57","2007-03-26",23.610001
"58","2007-03-27",23.219999
"59","2007-03-28",23.09
"60","2007-03-29",23.280001
"61","2007-03-30",23.43
"62","2007-04-02",23.15
"63","2007-04-03",23.35
"64","2007-04-04",23.129999
"65","2007-04-05",22.809999
"66","2007-04-09",22.530001
"67","2007-04-10",22.620001
"68","2007-04-11",22.1
"69","2007-04-12",22.379999
"70","2007-04-13",22.58
"71","2007-04-16",23.16
"72","2007-04-17",22.93
"73","2007-04-18",22.65
"74","2007-04-19",21.99
"75","2007-04-20",22.41
"76","2007-04-23",22.190001
"77","2007-04-24",22.25
"78","2007-04-25",22.74
"79","2007-04-26",22.93
"80","2007-04-27",22.690001
"81","2007-04-30",21.950001
"82","2007-05-01",22.530001
"83","2007-05-02",22.93
"84","2007-05-03",22.82
"85","2007-05-04",23.02
"86","2007-05-07",22.969999
"87","2007-05-08",22.799999
"88","2007-05-09",22.98
"89","2007-05-10",22.639999
"90","2007-05-11",23.02
"91","2007-05-14",22.73
"92","2007-05-15",22.639999
"93","2007-05-16",22.889999
"94","2007-05-17",22.49
"95","2007-05-18",22.719999
"96","2007-05-21",23.02
"97","2007-05-22",23
"98","2007-05-23",23.02
"99","2007-05-24",22.67
"100","2007-05-25",22.870001
"101","2007-05-29",22.98
"102","2007-05-30",22.780001
"103","2007-05-31",22.6
"104","2007-06-01",22.91
"105","2007-06-04",22.889999
"106","2007-06-05",22.49
"107","2007-06-06",22.469999
"108","2007-06-07",22.299999
"109","2007-06-08",22.6
"110","2007-06-11",22.629999
"111","2007-06-12",22.309999
"112","2007-06-13",22.639999
"113","2007-06-14",22.629999
"114","2007-06-15",23.17
"115","2007-06-18",22.950001
"116","2007-06-19",22.98
"117","2007-06-20",22.51
"118","2007-06-21",22.309999
"119","2007-06-22",22.1
"120","2007-06-25",22.01
"121","2007-06-26",22.4
"122","2007-06-27",22.9
"123","2007-06-28",22.77
"124","2007-06-29",22.559999
"125","2007-07-02",22.700001
"126","2007-07-03",22.76
"127","2007-07-05",22.68
"128","2007-07-06",22.68
"129","2007-07-09",22.549999
"130","2007-07-10",21.74
"131","2007-07-11",21.77
"132","2007-07-12",22.450001
"133","2007-07-13",22.25
"134","2007-07-16",22
"135","2007-07-17",22.049999
"136","2007-07-18",21.85
"137","2007-07-19",21.969999
"138","2007-07-20",21.370001
"139","2007-07-23",21.129999
"140","2007-07-24",19.700001
"141","2007-07-25",19.35
"142","2007-07-26",18.59
"143","2007-07-27",18.290001
"144","2007-07-30",18.4
"145","2007-07-31",18.09
"146","2007-08-01",18.290001
"147","2007-08-02",18.35
"148","2007-08-03",17.1
"149","2007-08-06",18.129999
"150","2007-08-07",18.559999
"151","2007-08-08",20.4
"152","2007-08-09",20.379999
"153","2007-08-10",21.790001
"154","2007-08-13",19.15
"155","2007-08-14",19.34
"156","2007-08-15",19.620001
"157","2007-08-16",21.91
"158","2007-08-17",22.790001
"159","2007-08-20",22.280001
"160","2007-08-21",22.360001
"161","2007-08-22",22.639999
"162","2007-08-23",22.120001
"163","2007-08-24",22.85
"164","2007-08-27",22.33
"165","2007-08-28",21.42
"166","2007-08-29",22.08
"167","2007-08-30",21.790001
"168","2007-08-31",21.940001
"169","2007-09-04",22.18
"170","2007-09-05",21.709999
"171","2007-09-06",21.59
"172","2007-09-07",21.15
"173","2007-09-10",20.99
"174","2007-09-11",21.620001
"175","2007-09-12",21.51
"176","2007-09-13",21.6
"177","2007-09-14",21.549999
"178","2007-09-17",21.700001
"179","2007-09-18",23.370001
"180","2007-09-19",23.370001
"181","2007-09-20",22.99
"182","2007-09-21",23.030001
"183","2007-09-24",22.139999
"184","2007-09-25",22.120001
"185","2007-09-26",22.389999
"186","2007-09-27",22.559999
"187","2007-09-28",21.74
"188","2007-10-01",23.27
"189","2007-10-02",23.18
"190","2007-10-03",22.780001
"191","2007-10-04",22.84
"192","2007-10-05",23.700001
"193","2007-10-08",23.389999
"194","2007-10-09",23.77
"195","2007-10-10",23.700001
"196","2007-10-11",23.559999
"197","2007-10-12",23.370001
"198","2007-10-15",22.41
"199","2007-10-16",21.93
"200","2007-10-17",21.879999
"201","2007-10-18",21.9
"202","2007-10-19",20.719999
"203","2007-10-22",21.280001
"204","2007-10-23",22.110001
"205","2007-10-24",22.33
"206","2007-10-25",23.09
"207","2007-10-26",23.92
"208","2007-10-29",23.879999
"209","2007-10-30",24.1
"210","2007-10-31",24.67
"211","2007-11-01",22.780001
"212","2007-11-02",22.74
"213","2007-11-05",22.450001
