"","date","UROV"
"1","2018-09-27",11.65
"2","2018-09-28",12
"3","2018-10-01",11.95
"4","2018-10-02",12.75
"5","2018-10-03",13
"6","2018-10-04",13.98
"7","2018-10-05",13.48
"8","2018-10-08",13.03
"9","2018-10-09",12.73
"10","2018-10-10",13.52
"11","2018-10-11",13.49
"12","2018-10-12",13.58
"13","2018-10-15",13.65
"14","2018-10-16",14
"15","2018-10-17",12.89
"16","2018-10-18",12.19
"17","2018-10-19",12.68
"18","2018-10-22",12.58
"19","2018-10-23",12.48
"20","2018-10-24",12.43
"21","2018-10-25",11.38
"22","2018-10-26",11.04
"23","2018-10-29",10.13
"24","2018-10-30",9.85
"25","2018-10-31",10.05
"26","2018-11-01",9.4
"27","2018-11-02",9.18
"28","2018-11-05",8.6
"29","2018-11-06",8.44
"30","2018-11-07",8.4
"31","2018-11-08",8.45
"32","2018-11-09",7.7
"33","2018-11-12",7.83
"34","2018-11-13",7.41
"35","2018-11-14",7.23
"36","2018-11-15",7.45
"37","2018-11-16",7.48
"38","2018-11-19",7.81
"39","2018-11-20",7.96
"40","2018-11-21",8.01
"41","2018-11-23",8.3
"42","2018-11-26",8.3
"43","2018-11-27",8.3
"44","2018-11-28",8.1
"45","2018-11-29",8.09
"46","2018-11-30",8.26
"47","2018-12-03",8.1
"48","2018-12-04",7.84
"49","2018-12-06",6.95
"50","2018-12-07",6.8
"51","2018-12-10",6.5
"52","2018-12-11",6.44
"53","2018-12-12",6.19
"54","2018-12-13",6
"55","2018-12-14",6
"56","2018-12-17",5.51
"57","2018-12-18",5.36
"58","2018-12-19",5.47
"59","2018-12-20",5.18
"60","2018-12-21",4.29
"61","2018-12-24",5.21
"62","2018-12-26",5.24
"63","2018-12-27",5.8
"64","2018-12-28",6.26
"65","2018-12-31",6.59
"66","2019-01-02",7
"67","2019-01-03",6.87
"68","2019-01-04",6.88
"69","2019-01-07",7.34
"70","2019-01-08",6.95
"71","2019-01-09",7.23
"72","2019-01-10",7.12
"73","2019-01-11",8.29
"74","2019-01-14",8.88
"75","2019-01-15",9.08
"76","2019-01-16",9.67
"77","2019-01-17",9.06
"78","2019-01-18",8.61
"79","2019-01-22",9.05
"80","2019-01-23",8.49
"81","2019-01-24",9.02
"82","2019-01-25",8.62
"83","2019-01-28",8.86
"84","2019-01-29",9.08
"85","2019-01-30",9.27
"86","2019-01-31",8.78
"87","2019-02-01",8.9
"88","2019-02-04",8.9
