"","date","YTRA"
"1","2016-12-19",10
"2","2016-12-20",10
"3","2016-12-21",9.95
"4","2016-12-22",9.9
"5","2016-12-23",9.85
"6","2016-12-27",9.85
"7","2016-12-28",9.72
"8","2016-12-29",9.35
"9","2016-12-30",9.35
"10","2017-01-03",9.35
"11","2017-01-04",9.69
"12","2017-01-05",9.5
"13","2017-01-06",9.72
"14","2017-01-09",9.72
"15","2017-01-10",9.61
"16","2017-01-11",9.66
"17","2017-01-12",9.61
"18","2017-01-13",9.6
"19","2017-01-17",9.6
"20","2017-01-18",9.53
"21","2017-01-19",9.49
"22","2017-01-20",9.7
"23","2017-01-23",9.91
"24","2017-01-24",9.877
"25","2017-01-25",9.9
"26","2017-01-26",9.796
"27","2017-01-27",9.84
"28","2017-01-30",9.8
"29","2017-01-31",9.76
"30","2017-02-01",9.8
"31","2017-02-02",9.715
"32","2017-02-03",9.84
"33","2017-02-06",9.33
"34","2017-02-07",9.35
"35","2017-02-08",9.25
"36","2017-02-09",9.3
"37","2017-02-10",9.27
"38","2017-02-13",9.23
"39","2017-02-14",9.14
"40","2017-02-15",9.08
"41","2017-02-16",8.79
"42","2017-02-17",8.87
"43","2017-02-21",8.62
"44","2017-02-22",8.5
"45","2017-02-23",8.455
"46","2017-02-24",8.33
"47","2017-02-27",8.39
"48","2017-02-28",8.5
"49","2017-03-01",8.39
"50","2017-03-02",8.15
"51","2017-03-03",8.14
"52","2017-03-06",8
"53","2017-03-07",7.88
"54","2017-03-08",8.19
"55","2017-03-09",8.24
"56","2017-03-10",8.38
"57","2017-03-13",8.43
"58","2017-03-14",8.44
"59","2017-03-15",8.45
"60","2017-03-16",8.55
"61","2017-03-17",8.7
"62","2017-03-20",8.96
"63","2017-03-21",9.15
"64","2017-03-22",9.3
"65","2017-03-23",9.49
"66","2017-03-24",9.36
"67","2017-03-27",9.39
"68","2017-03-28",9.378
"69","2017-03-29",9.4
"70","2017-03-30",9.48
"71","2017-03-31",9.5
"72","2017-04-03",9.72
"73","2017-04-04",9.64
"74","2017-04-05",9.55
"75","2017-04-06",9.63
"76","2017-04-07",9.52
"77","2017-04-10",9.5
"78","2017-04-11",9.48
"79","2017-04-12",9.45
"80","2017-04-13",9.403
"81","2017-04-17",9.65
"82","2017-04-18",9.33
"83","2017-04-19",9.28
"84","2017-04-20",9.34
"85","2017-04-21",9.24
"86","2017-04-24",9.24
"87","2017-04-25",9.2
"88","2017-04-26",9.2
"89","2017-04-27",9.16
"90","2017-04-28",9.13
"91","2017-05-01",9.113
"92","2017-05-02",9.27
"93","2017-05-03",9.53
"94","2017-05-04",9.46
"95","2017-05-05",9.35
"96","2017-05-08",9.45
"97","2017-05-09",9.405
"98","2017-05-10",9.5
"99","2017-05-11",9.4
"100","2017-05-12",9.26
"101","2017-05-15",9.32
"102","2017-05-16",9.361
"103","2017-05-17",9.34
"104","2017-05-18",9.23
"105","2017-05-19",9.1
"106","2017-05-22",9.21
"107","2017-05-23",9.34
"108","2017-05-24",9.21
"109","2017-05-25",9.14
"110","2017-05-26",9.09
"111","2017-05-30",9.19
"112","2017-05-31",9.16
"113","2017-06-01",9.15
"114","2017-06-02",9.28
"115","2017-06-05",9.33
"116","2017-06-06",9.4
"117","2017-06-07",9.92
"118","2017-06-08",10.41
"119","2017-06-09",10.79
"120","2017-06-12",10.43
"121","2017-06-13",10.55
"122","2017-06-14",10.32
"123","2017-06-15",10.66
"124","2017-06-16",10.78
"125","2017-06-19",10.6
"126","2017-06-20",10.6
"127","2017-06-21",10.77
"128","2017-06-22",10.51
"129","2017-06-23",10.27
"130","2017-06-26",10.42
"131","2017-06-27",10.5
"132","2017-06-28",10.84
"133","2017-06-29",10.85
"134","2017-06-30",11.245
"135","2017-07-03",11.42
"136","2017-07-05",11.38
"137","2017-07-06",11.28
"138","2017-07-07",11.46
"139","2017-07-10",12.12
"140","2017-07-11",12.27
"141","2017-07-12",12.23
"142","2017-07-13",11.93
"143","2017-07-14",11.99
"144","2017-07-17",11.67
"145","2017-07-18",11.38
"146","2017-07-19",11.37
"147","2017-07-20",11.35
"148","2017-07-21",11.03
"149","2017-07-24",11.49
"150","2017-07-25",11.48
"151","2017-07-26",11.5
"152","2017-07-27",10.84
"153","2017-07-28",10.97
"154","2017-07-31",10.98
"155","2017-08-01",10.79
"156","2017-08-02",10.64
"157","2017-08-03",10.39
"158","2017-08-04",10.3
"159","2017-08-07",10.66
"160","2017-08-08",10.79
"161","2017-08-09",10.22
"162","2017-08-10",9.71
"163","2017-08-11",9.5
"164","2017-08-14",9.74
"165","2017-08-15",9.98
"166","2017-08-16",9.97
"167","2017-08-17",9.86
"168","2017-08-18",9.86
"169","2017-08-21",9.51
"170","2017-08-22",9.73
"171","2017-08-23",9.59
"172","2017-08-24",9.71
"173","2017-08-25",9.8
"174","2017-08-28",10.06
"175","2017-08-29",10.13
"176","2017-08-30",10.15
"177","2017-08-31",10.27
"178","2017-09-01",10.38
"179","2017-09-05",10.34
"180","2017-09-06",10.55
"181","2017-09-07",10.75
"182","2017-09-08",10.77
"183","2017-09-11",10.99
"184","2017-09-12",11
"185","2017-09-13",11
"186","2017-09-14",11.28
"187","2017-09-15",11.4
"188","2017-09-18",11.75
"189","2017-09-19",11.98
"190","2017-09-20",11.83
"191","2017-09-21",11.64
"192","2017-09-22",11.45
"193","2017-09-25",11.28
"194","2017-09-26",11.29
"195","2017-09-27",10.94
"196","2017-09-28",10.93
"197","2017-09-29",10.83
"198","2017-10-02",11.25
"199","2017-10-03",11.37
"200","2017-10-04",11.29
"201","2017-10-05",11.1
"202","2017-10-06",11.13
"203","2017-10-09",10.77
"204","2017-10-10",10.58
"205","2017-10-11",10.4
"206","2017-10-12",10.35
"207","2017-10-13",10.21
"208","2017-10-16",10.05
"209","2017-10-17",10
"210","2017-10-18",9.841
"211","2017-10-19",9.31
"212","2017-10-20",9.55
"213","2017-10-23",9.32
"214","2017-10-24",9.23
"215","2017-10-25",8.6
"216","2017-10-26",8.48
"217","2017-10-27",8.57
"218","2017-10-30",8.58
"219","2017-10-31",8.8
"220","2017-11-01",8.55
"221","2017-11-02",8.2
"222","2017-11-03",8.19
"223","2017-11-06",8.36
"224","2017-11-07",8.17
"225","2017-11-08",7.95
"226","2017-11-09",8.12
"227","2017-11-10",8.1
"228","2017-11-13",8.05
"229","2017-11-14",8.87
"230","2017-11-15",8.61
"231","2017-11-16",8.63
"232","2017-11-17",8.36
"233","2017-11-20",8.61
"234","2017-11-21",8.95
"235","2017-11-22",8.87
"236","2017-11-24",9.16
"237","2017-11-27",8.88
"238","2017-11-28",8.78
"239","2017-11-29",8.6
"240","2017-11-30",8.87
"241","2017-12-01",8.89
"242","2017-12-04",8.85
"243","2017-12-05",8.91
"244","2017-12-06",8.44
"245","2017-12-07",8.38
"246","2017-12-08",8.26
"247","2017-12-11",8.18
"248","2017-12-12",8.17
"249","2017-12-13",8.16
"250","2017-12-14",8.07
"251","2017-12-15",8.15
"252","2017-12-18",8.13
"253","2017-12-19",7.9
"254","2017-12-20",7.8
"255","2017-12-21",8.16
"256","2017-12-22",8.12
"257","2017-12-26",8.08
"258","2017-12-27",7.99
"259","2017-12-28",7.71
"260","2017-12-29",7.48
"261","2018-01-02",7.38
"262","2018-01-03",7.28
"263","2018-01-04",7.29
"264","2018-01-05",7.29
"265","2018-01-08",7.23
"266","2018-01-09",7.17
"267","2018-01-10",7.25
