"","date","HVT"
"1","2007-01-03",15.06
"2","2007-01-04",14.94
"3","2007-01-05",14.5
"4","2007-01-08",14.72
"5","2007-01-09",14.74
"6","2007-01-10",14.66
"7","2007-01-11",14.91
"8","2007-01-12",14.87
"9","2007-01-16",14.68
"10","2007-01-17",14.31
"11","2007-01-18",14.45
"12","2007-01-19",14.43
"13","2007-01-22",14.66
"14","2007-01-23",14.64
"15","2007-01-24",15.18
"16","2007-01-25",14.98
"17","2007-01-26",15.08
"18","2007-01-29",15.3
"19","2007-01-30",15.25
"20","2007-01-31",15.31
"21","2007-02-01",15.61
"22","2007-02-02",15.65
"23","2007-02-05",15.41
"24","2007-02-06",15.66
"25","2007-02-07",15.78
"26","2007-02-08",15.48
"27","2007-02-09",15.27
"28","2007-02-12",15.42
"29","2007-02-13",15.35
"30","2007-02-14",15.25
"31","2007-02-15",15.26
"32","2007-02-16",15.31
"33","2007-02-20",15.94
"34","2007-02-21",15.06
"35","2007-02-22",15
"36","2007-02-23",14.83
"37","2007-02-26",14.85
"38","2007-02-27",14.72
"39","2007-02-28",14.61
"40","2007-03-01",14.45
"41","2007-03-02",14.12
"42","2007-03-05",13.79
"43","2007-03-06",14.1
"44","2007-03-07",14.1
"45","2007-03-08",14.18
"46","2007-03-09",14.41
"47","2007-03-12",14.5
"48","2007-03-13",14.1
"49","2007-03-14",14.22
"50","2007-03-15",14.39
"51","2007-03-16",14.15
"52","2007-03-19",14.1
"53","2007-03-20",14.4
"54","2007-03-21",14.8
"55","2007-03-22",14.73
"56","2007-03-23",14.71
"57","2007-03-26",14.74
"58","2007-03-27",14.52
"59","2007-03-28",14.04
"60","2007-03-29",14.34
"61","2007-03-30",14
"62","2007-04-02",14.14
"63","2007-04-03",13.9
"64","2007-04-04",13.81
"65","2007-04-05",13.76
"66","2007-04-09",13.51
"67","2007-04-10",13.41
"68","2007-04-11",13.28
"69","2007-04-12",13.23
"70","2007-04-13",13.21
"71","2007-04-16",13.24
"72","2007-04-17",13.15
"73","2007-04-18",13.16
"74","2007-04-19",13.2
"75","2007-04-20",13.31
"76","2007-04-23",13.19
"77","2007-04-24",13.15
"78","2007-04-25",13.13
"79","2007-04-26",13.18
"80","2007-04-27",13
"81","2007-04-30",12.76
"82","2007-05-01",12.95
"83","2007-05-02",13
"84","2007-05-03",12.94
"85","2007-05-04",12.7
"86","2007-05-07",12.14
"87","2007-05-08",12.16
"88","2007-05-09",12.24
"89","2007-05-10",12.61
"90","2007-05-11",12.25
"91","2007-05-14",12.19
"92","2007-05-15",12.14
"93","2007-05-16",12.16
"94","2007-05-17",12.12
"95","2007-05-18",12.34
"96","2007-05-21",12.45
"97","2007-05-22",12.26
"98","2007-05-23",12.13
"99","2007-05-24",12.06
"100","2007-05-25",12.26
"101","2007-05-29",12.3
"102","2007-05-30",12.18
"103","2007-05-31",12.19
"104","2007-06-01",12.28
"105","2007-06-04",12.22
"106","2007-06-05",12.11
"107","2007-06-06",12.12
"108","2007-06-07",11.71
"109","2007-06-08",11.89
"110","2007-06-11",11.86
"111","2007-06-12",12.01
"112","2007-06-13",12.15
"113","2007-06-14",12.09
"114","2007-06-15",12.35
"115","2007-06-18",12.16
"116","2007-06-19",11.91
"117","2007-06-20",11.79
"118","2007-06-21",11.98
"119","2007-06-22",11.87
"120","2007-06-25",11.75
"121","2007-06-26",11.75
"122","2007-06-27",11.82
"123","2007-06-28",11.85
"124","2007-06-29",11.67
"125","2007-07-02",11.73
"126","2007-07-03",11.75
"127","2007-07-05",11.84
"128","2007-07-06",11.89
"129","2007-07-09",12.44
"130","2007-07-10",12.25
"131","2007-07-11",12.33
"132","2007-07-12",12.48
"133","2007-07-13",12.51
"134","2007-07-16",12.45
"135","2007-07-17",12.18
"136","2007-07-18",12.19
"137","2007-07-19",12.18
"138","2007-07-20",12.01
"139","2007-07-23",12
"140","2007-07-24",11.6
"141","2007-07-25",11.92
"142","2007-07-26",11.4
"143","2007-07-27",11.32
"144","2007-07-30",11.25
"145","2007-07-31",11.15
"146","2007-08-01",10.8
"147","2007-08-02",10.92
"148","2007-08-03",10.16
"149","2007-08-06",10.55
"150","2007-08-07",11.05
"151","2007-08-08",12.85
"152","2007-08-09",13.51
"153","2007-08-10",11.79
"154","2007-08-13",11.03
"155","2007-08-14",10.71
"156","2007-08-15",10.68
"157","2007-08-16",10.99
"158","2007-08-17",11.26
"159","2007-08-20",11.03
"160","2007-08-21",11.18
"161","2007-08-22",11.04
"162","2007-08-23",11.02
"163","2007-08-24",11.03
"164","2007-08-27",11
"165","2007-08-28",10.95
"166","2007-08-29",11.06
"167","2007-08-30",10.86
"168","2007-08-31",10.72
"169","2007-09-04",10.92
"170","2007-09-05",10.68
"171","2007-09-06",10.75
"172","2007-09-07",10.55
"173","2007-09-10",10.69
"174","2007-09-11",10.75
"175","2007-09-12",10.47
"176","2007-09-13",10.39
"177","2007-09-14",10.48
"178","2007-09-17",10.08
"179","2007-09-18",10.99
"180","2007-09-19",11.3
"181","2007-09-20",10.93
"182","2007-09-21",10.75
"183","2007-09-24",10.29
"184","2007-09-25",9.82
"185","2007-09-26",9.39
"186","2007-09-27",9.19
"187","2007-09-28",8.77
"188","2007-10-01",8.89
"189","2007-10-02",9
"190","2007-10-03",9
"191","2007-10-04",8.94
"192","2007-10-05",9
"193","2007-10-08",8.75
"194","2007-10-09",8.74
"195","2007-10-10",8.81
"196","2007-10-11",8.91
"197","2007-10-12",8.93
"198","2007-10-15",8.75
"199","2007-10-16",8.7
"200","2007-10-17",8.37
"201","2007-10-18",8.41
"202","2007-10-19",8.28
"203","2007-10-22",8.56
"204","2007-10-23",8.65
"205","2007-10-24",8.7
"206","2007-10-25",8.66
"207","2007-10-26",8.75
"208","2007-10-29",8.73
"209","2007-10-30",8.57
"210","2007-10-31",8.5
"211","2007-11-01",8.25
"212","2007-11-02",8.07
"213","2007-11-05",8.02
"214","2007-11-06",8.14
"215","2007-11-07",7.95
"216","2007-11-08",8.35
"217","2007-11-09",8.61
"218","2007-11-12",9.79
"219","2007-11-13",10.36
"220","2007-11-14",9.98
"221","2007-11-15",10.15
"222","2007-11-16",9.86
"223","2007-11-19",9.47
"224","2007-11-20",9.16
"225","2007-11-21",8.42
"226","2007-11-23",8.81
"227","2007-11-26",8.51
"228","2007-11-27",8.52
"229","2007-11-28",8.62
"230","2007-11-29",8.48
"231","2007-11-30",8.5
"232","2007-12-03",8.05
