"","date","HLIO"
"1","2007-01-03",9.173333
"2","2007-01-04",9.177778
"3","2007-01-05",8.893333
"4","2007-01-08",8.871111
"5","2007-01-09",8.946667
"6","2007-01-10",8.968889
"7","2007-01-11",9.151111
"8","2007-01-12",9.217778
"9","2007-01-16",9.128889
"10","2007-01-17",9.231112
"11","2007-01-18",9.177778
"12","2007-01-19",9.24
"13","2007-01-22",9.177778
"14","2007-01-23",9.2
"15","2007-01-24",9.306666
"16","2007-01-25",9.524445
"17","2007-01-26",9.444445
"18","2007-01-29",9.346666
"19","2007-01-30",9.333333
"20","2007-01-31",9.44
"21","2007-02-01",9.653334
"22","2007-02-02",9.653334
"23","2007-02-05",9.613334
"24","2007-02-06",9.626667
"25","2007-02-07",9.666667
"26","2007-02-08",9.688889
"27","2007-02-09",9.777778
"28","2007-02-12",9.688889
"29","2007-02-13",9.746667
"30","2007-02-14",9.857778
"31","2007-02-15",9.786667
"32","2007-02-16",9.831111
"33","2007-02-20",10.155556
"34","2007-02-21",10.142222
"35","2007-02-22",10.035556
"36","2007-02-23",10.12
"37","2007-02-26",10.191112
"38","2007-02-27",9.693334
"39","2007-02-28",9.773334
"40","2007-03-01",10.195556
"41","2007-03-02",10.093333
"42","2007-03-05",10.453333
"43","2007-03-06",10.657778
"44","2007-03-07",11.004444
"45","2007-03-08",11.288889
"46","2007-03-09",11.106667
"47","2007-03-12",11.351111
"48","2007-03-13",11.195556
"49","2007-03-14",11.253333
"50","2007-03-15",11.275556
"51","2007-03-16",11.435555
"52","2007-03-19",11.68
"53","2007-03-20",11.888889
"54","2007-03-21",11.902223
"55","2007-03-22",12.2
"56","2007-03-23",11.862223
"57","2007-03-26",12.004444
"58","2007-03-27",11.951111
"59","2007-03-28",11.88
"60","2007-03-29",11.88
"61","2007-03-30",11.88
"62","2007-04-02",11.973333
"63","2007-04-03",11.977777
"64","2007-04-04",11.968889
"65","2007-04-05",12
"66","2007-04-09",12
"67","2007-04-10",11.973333
"68","2007-04-11",11.915556
"69","2007-04-12",11.64
"70","2007-04-13",12
"71","2007-04-16",12
"72","2007-04-17",12.088889
"73","2007-04-18",12.097777
"74","2007-04-19",12.102222
"75","2007-04-20",12.653334
"76","2007-04-23",13.146667
"77","2007-04-24",13.106667
"78","2007-04-25",13.262222
"79","2007-04-26",13.546667
"80","2007-04-27",14.035556
"81","2007-04-30",13.911111
"82","2007-05-01",13.213333
"83","2007-05-02",13.613334
"84","2007-05-03",13.888889
"85","2007-05-04",14.062222
"86","2007-05-07",14.177778
"87","2007-05-08",14.408889
"88","2007-05-09",16.217777
"89","2007-05-10",16.453333
"90","2007-05-11",16.200001
"91","2007-05-14",16.804445
"92","2007-05-15",16.897778
"93","2007-05-16",17.422222
"94","2007-05-17",17.853333
"95","2007-05-18",18.208889
"96","2007-05-21",18.666666
"97","2007-05-22",16.92
"98","2007-05-23",17.404444
"99","2007-05-24",16.56889
"100","2007-05-25",17.471111
"101","2007-05-29",18.266666
"102","2007-05-30",18.200001
"103","2007-05-31",19.191111
"104","2007-06-01",19.035555
"105","2007-06-04",20.48
"106","2007-06-05",19.799999
"107","2007-06-06",19.706667
"108","2007-06-07",19.422222
"109","2007-06-08",19.462223
"110","2007-06-11",19.355556
"111","2007-06-12",19.017778
"112","2007-06-13",19.697779
"113","2007-06-14",19.92
"114","2007-06-15",19.817778
"115","2007-06-18",19.537777
"116","2007-06-19",20.444445
"117","2007-06-20",19.888889
"118","2007-06-21",21.093334
"119","2007-06-22",20.551111
"120","2007-06-25",20.373333
"121","2007-06-26",20.675556
