"","date","MTC"
"1","2019-01-09",7.55
"2","2019-01-10",7.23
"3","2019-01-11",8.9
"4","2019-01-14",7.95
"5","2019-01-15",7.48
"6","2019-01-16",6.77
"7","2019-01-17",6.11
"8","2019-01-18",6.35
"9","2019-01-22",6.23
"10","2019-01-23",6.43
"11","2019-01-24",6.4
"12","2019-01-25",6.62
"13","2019-01-28",6.5
"14","2019-01-29",6.2
"15","2019-01-30",6.131
"16","2019-01-31",6.5
"17","2019-02-01",6.36
"18","2019-02-04",6.6
"19","2019-02-05",6.28
"20","2019-02-06",6.01
"21","2019-02-07",6
"22","2019-02-08",5.71
"23","2019-02-11",5.727
"24","2019-02-12",4.69
"25","2019-02-13",4.55
"26","2019-02-14",4.501
"27","2019-02-15",4.74
"28","2019-02-19",5.2
"29","2019-02-20",4.84
"30","2019-02-21",4.9
"31","2019-02-22",5.08
"32","2019-02-25",5.397
"33","2019-02-26",5.37
"34","2019-02-27",5.19
"35","2019-02-28",5.25
"36","2019-03-01",5.07
"37","2019-03-04",4.82
"38","2019-03-05",5.04
"39","2019-03-06",5.41
"40","2019-03-07",5.95
"41","2019-03-08",5.23
"42","2019-03-11",5.17
"43","2019-03-12",5.18
"44","2019-03-13",5.03
"45","2019-03-14",5.05
"46","2019-03-15",5.015
"47","2019-03-18",4.98
"48","2019-03-19",5.2
"49","2019-03-20",5.307
"50","2019-03-21",4.9
"51","2019-03-22",4.8
"52","2019-03-25",4.712
"53","2019-03-26",4.712
"54","2019-03-27",4.76
"55","2019-03-28",4.7
"56","2019-03-29",4.79
"57","2019-04-01",4.6
"58","2019-04-02",4.572
"59","2019-04-03",4.2
"60","2019-04-04",4.1
"61","2019-04-05",4.1
"62","2019-04-08",4.33
"63","2019-04-09",4.5
"64","2019-04-10",4.16
"65","2019-04-11",4.49
"66","2019-04-12",4.19
"67","2019-04-15",4.02
"68","2019-04-16",4.15
"69","2019-04-17",4.19
"70","2019-04-18",4.045
"71","2019-04-22",4.078
"72","2019-04-23",4.09
"73","2019-04-24",4.09
"74","2019-04-25",3.802
"75","2019-04-26",4.115
"76","2019-04-29",4.071
"77","2019-04-30",3.9
"78","2019-05-01",4.21
"79","2019-05-02",4.27
"80","2019-05-03",4.02
"81","2019-05-06",4.16
"82","2019-05-07",4.27
"83","2019-05-08",4.06
"84","2019-05-09",4.131
"85","2019-05-10",4.196
"86","2019-05-13",4.432
"87","2019-05-14",4.18
"88","2019-05-15",4.07
"89","2019-05-16",4.251
"90","2019-05-17",4.158
"91","2019-05-20",4.13
"92","2019-05-21",4.236
"93","2019-05-22",4.05
"94","2019-05-23",4
"95","2019-05-24",3.972
"96","2019-05-28",3.81
"97","2019-05-29",3.733
"98","2019-05-30",3.733
"99","2019-05-31",4.76
"100","2019-06-03",4.734
"101","2019-06-04",5.085
"102","2019-06-05",5.7
"103","2019-06-06",6.4
"104","2019-06-07",5.362
"105","2019-06-10",5.68
"106","2019-06-11",5.21
"107","2019-06-12",5.56
"108","2019-06-13",7.57
"109","2019-06-14",7.15
"110","2019-06-17",6.85
"111","2019-06-18",7.6
"112","2019-06-19",8.3
"113","2019-06-20",8.906
"114","2019-06-21",9.15
"115","2019-06-24",9.25
"116","2019-06-25",10.331
"117","2019-06-26",10.98
"118","2019-06-27",12.94
"119","2019-06-28",16.83
"120","2019-07-01",19.049999
"121","2019-07-02",18.549999
"122","2019-07-03",18.01
"123","2019-07-05",18.601
"124","2019-07-08",17.205
"125","2019-07-09",14.8
"126","2019-07-10",11.126
"127","2019-07-11",8.76
"128","2019-07-12",11.01
"129","2019-07-15",12.48
"130","2019-07-16",12.5
"131","2019-07-17",13.3
"132","2019-07-18",16.299999
"133","2019-07-19",17.120001
"134","2019-07-22",16.219999
"135","2019-07-23",14.712
"136","2019-07-24",15.15
"137","2019-07-25",13.7
"138","2019-07-26",14.43
"139","2019-07-29",11.04
"140","2019-07-30",12.07
"141","2019-07-31",11.546
"142","2019-08-01",10.3
"143","2019-08-02",9.85
"144","2019-08-05",11.49
"145","2019-08-06",9.08
"146","2019-08-07",7.69
"147","2019-08-08",5.7
"148","2019-08-09",5.309
"149","2019-08-12",2.7
"150","2019-08-13",7.34
"151","2019-08-14",4
"152","2019-08-15",4.04
"153","2019-08-16",5.08
"154","2019-08-19",4.4
"155","2019-08-20",4.08
"156","2019-08-21",4.14
"157","2019-08-22",4.1
"158","2019-08-23",3.95
"159","2019-08-26",3.84
"160","2019-08-27",3.55
"161","2019-08-28",3.47
"162","2019-08-29",4.09
"163","2019-08-30",4.04
"164","2019-09-03",3.78
"165","2019-09-04",3.68
