"","date","SKYS"
"228","2015-10-09",15.135
"229","2015-10-12",17.075001
"230","2015-10-13",16.825001
"231","2015-10-14",16.65
"232","2015-10-15",16.775
"233","2015-10-16",17.5
"234","2015-10-19",17.5
"235","2015-10-20",17.5
"236","2015-10-21",17.975
"237","2015-10-22",17.975
"238","2015-10-23",16.975
"239","2015-10-26",18.25
"240","2015-10-27",19.475
"241","2015-10-28",19.5
"242","2015-10-29",19.5
"243","2015-10-30",19.6
"244","2015-11-02",19.6
"245","2015-11-03",20.85
"246","2015-11-04",20.875
"247","2015-11-05",20.875
"248","2015-11-06",20.950001
"249","2015-11-09",20.9
"250","2015-11-10",20.049999
"251","2015-11-11",20
"252","2015-11-12",20
"253","2015-11-13",18.297501
"254","2015-11-16",19.719999
"255","2015-11-17",18.025
"256","2015-11-18",16.950001
"257","2015-11-19",16.924999
"258","2015-11-20",17.047501
"259","2015-11-23",18.75
"260","2015-11-24",17.299999
"261","2015-11-25",18.5
"262","2015-11-27",17.9
"263","2015-11-30",17.2675
"264","2015-12-01",17.1
"265","2015-12-02",16.424999
"266","2015-12-03",16.5
"267","2015-12-04",16.5
"268","2015-12-07",16.752501
"269","2015-12-08",16.75
"270","2015-12-09",16.75
"271","2015-12-10",15.75
"272","2015-12-11",15.75
"273","2015-12-14",16
"274","2015-12-15",16.125
"275","2015-12-16",15.45
"276","2015-12-17",15.375
"277","2015-12-18",14.825
"278","2015-12-21",14
"279","2015-12-22",13.5
"280","2015-12-23",12.5
"281","2015-12-24",12.5
"282","2015-12-28",13.825
"283","2015-12-29",16.700001
"284","2015-12-30",18.125
"285","2015-12-31",18.625
"286","2016-01-04",17.825001
"287","2016-01-05",16.65
"288","2016-01-06",13.725
"289","2016-01-07",11.55
"290","2016-01-08",11.7
"291","2016-01-11",11.55
"292","2016-01-12",11.3875
"293","2016-01-13",10.25
"294","2016-01-14",10.75
"295","2016-01-15",10.975
"296","2016-01-19",11.6
"297","2016-01-20",11.875
"298","2016-01-21",11.375
"299","2016-01-22",11.25
"300","2016-01-25",10.475
"301","2016-01-26",9.725
"302","2016-01-27",9.25
"303","2016-01-28",8.85
"304","2016-01-29",8.875
"305","2016-02-01",8.35
"306","2016-02-02",8.475
"307","2016-02-03",9.45
"308","2016-02-04",9.275
"309","2016-02-05",9.3875
"310","2016-02-08",9.65
"311","2016-02-09",9.675
"312","2016-02-10",9.4
"313","2016-02-11",9
"314","2016-02-12",9
"315","2016-02-16",9.3
"316","2016-02-17",9.55
"317","2016-02-18",8.75
"318","2016-02-19",8.1275
"319","2016-02-22",7.775
"320","2016-02-23",8.125
"321","2016-02-24",8.075
"322","2016-02-25",6.725
"323","2016-02-26",6.725
"324","2016-02-29",7.45
"325","2016-03-01",8.6
"326","2016-03-02",8.675
"327","2016-03-03",8.45
"328","2016-03-04",8.25
"329","2016-03-07",8
"330","2016-03-08",7.975
"331","2016-03-09",7.6
"332","2016-03-10",7.25
"333","2016-03-11",7.25
"334","2016-03-14",7.1
"335","2016-03-15",7.2
"336","2016-03-16",7.225
"337","2016-03-17",6.75
"338","2016-03-18",6.875
"339","2016-03-21",7
"340","2016-03-22",6.75
"341","2016-03-23",5.775
"342","2016-03-24",6.05
"343","2016-03-28",5.475
"344","2016-03-29",4.75
"345","2016-03-30",3.075
"346","2016-03-31",5.65
"347","2016-04-01",10.65
"348","2016-04-04",14.75
"349","2016-04-05",13.95
"350","2016-04-06",11.15
"351","2016-04-07",12.125
"352","2016-04-08",11.15
"353","2016-04-11",11.175
"354","2016-04-12",10.35
"355","2016-04-13",9.525
"356","2016-04-14",9.2
"357","2016-04-15",9.25
"358","2016-04-18",9.35
"359","2016-04-19",9.675
"360","2016-04-20",9.65
"361","2016-04-21",9.475
"362","2016-04-22",9.375
"363","2016-04-25",8.775
"364","2016-04-26",8.15
"365","2016-04-27",7.975
"366","2016-04-28",8.425
"367","2016-04-29",7.775
"368","2016-05-02",7.6
"369","2016-05-03",7.8
"370","2016-05-04",8.025
"371","2016-05-05",7.725
"372","2016-05-06",7.275
"373","2016-05-09",7.675
"374","2016-05-10",7.475
"375","2016-05-11",7.3
"376","2016-05-12",7
"377","2016-05-13",7.05
"378","2016-05-16",7.125
"379","2016-05-17",7.025
"380","2016-05-18",7.25
"381","2016-05-19",7.25
"382","2016-05-20",7.125
"383","2016-05-23",7.3
"384","2016-05-24",7.5
"385","2016-05-25",7.5
"386","2016-05-26",7.35
"387","2016-05-27",7.5
"388","2016-05-31",7.575
"389","2016-06-01",7.325
"390","2016-06-02",7.55
"391","2016-06-03",8.525
"392","2016-06-06",8.175
"393","2016-06-07",8.125
"394","2016-06-08",8.1775
"395","2016-06-09",8.15
"396","2016-06-10",8.2
"397","2016-06-13",8.3
"398","2016-06-14",8.15
"399","2016-06-15",8.1125
"400","2016-06-16",8.025
"401","2016-06-17",8.825
"402","2016-06-20",8.325
"403","2016-06-21",7.775
"404","2016-06-22",7.85
"405","2016-06-23",7.8
"406","2016-06-24",7.65
"407","2016-06-27",7.025
"408","2016-06-28",7.225
"409","2016-06-29",7.4
"410","2016-06-30",7.275
"411","2016-07-01",7.275
"412","2016-07-05",7.1
"413","2016-07-06",7.025
"414","2016-07-07",6.95
"415","2016-07-08",7
"416","2016-07-11",6.85
"417","2016-07-12",7
"418","2016-07-13",6.925
"419","2016-07-14",7.125
"420","2016-07-15",6.875
"421","2016-07-18",6.975
"422","2016-07-19",7
"423","2016-07-20",6.95
"424","2016-07-21",6.99
"425","2016-07-22",7.075
"426","2016-07-25",6.95
"427","2016-07-26",6.7725
"428","2016-07-27",6.45
"429","2016-07-28",6.375
"430","2016-07-29",6.375
"431","2016-08-01",6.35
"432","2016-08-02",6.97
"433","2016-08-03",6.6
"434","2016-08-04",7.075
"435","2016-08-05",6.775
"436","2016-08-08",6.825
"437","2016-08-09",6.825
"438","2016-08-10",6.875
"439","2016-08-11",6.875
"440","2016-08-12",6.575
"441","2016-08-15",6.575
"442","2016-08-16",6.6
"443","2016-08-17",7.55
"444","2016-08-18",7.6
"445","2016-08-19",7.525
"446","2016-08-22",7.375
"447","2016-08-23",7.55
"448","2016-08-24",7.25
"449","2016-08-25",7.25
"450","2016-08-26",7.275
"451","2016-08-29",7.225
"452","2016-08-30",7.3625
"453","2016-08-31",7.275
"454","2016-09-01",7.2
"455","2016-09-02",7.175
"456","2016-09-06",7.3
"457","2016-09-07",7.675
"458","2016-09-08",8.375
"459","2016-09-09",7.75
"460","2016-09-12",7.35
"461","2016-09-13",7.175
"462","2016-09-14",7.4
"463","2016-09-15",7.425
"464","2016-09-16",7.45
"465","2016-09-19",7.425
"466","2016-09-20",7.375
"467","2016-09-21",7.45
"468","2016-09-22",7.4
"469","2016-09-23",7.275
"470","2016-09-26",7.2
"471","2016-09-27",7.4
"472","2016-09-28",7.45
"473","2016-09-29",7.4
"474","2016-09-30",7.475
"475","2016-10-03",7.625
"476","2016-10-04",7.7
"477","2016-10-05",7.775
"478","2016-10-06",7.675
"479","2016-10-07",7.475
"480","2016-10-10",7.45
"481","2016-10-11",7.425
"482","2016-10-12",7.3
"483","2016-10-13",7.3
"484","2016-10-14",6.975
"485","2016-10-17",6.675
"486","2016-10-18",6.7
"487","2016-10-19",6.975
"488","2016-10-20",6.9
"489","2016-10-21",7.025
"490","2016-10-24",7.025
"491","2016-10-25",6.85
"492","2016-10-26",7
"493","2016-10-27",6.85
"494","2016-10-28",6.575
"495","2016-10-31",6.65
"496","2016-11-01",6.525
"497","2016-11-02",6.6
"498","2016-11-03",5.8
"499","2016-11-04",5.6825
"500","2016-11-07",5.7525
"501","2016-11-08",5.725
"502","2016-11-09",5.6
"503","2016-11-10",5.675
"504","2016-11-11",5.975
"505","2016-11-14",5.625
"506","2016-11-15",6.195
"507","2016-11-16",6.225
"508","2016-11-17",6.2625
"509","2016-11-18",6.2
"510","2016-11-21",6.15
"511","2016-11-22",6.25
"512","2016-11-23",6.375
"513","2016-11-25",6.075
"514","2016-11-28",6.225
"515","2016-11-29",6.575
"516","2016-11-30",6.125
"517","2016-12-01",6.2
"518","2016-12-02",6.225
"519","2016-12-05",6.35
"520","2016-12-06",6.05
"521","2016-12-07",5.925
"522","2016-12-08",5.675
"523","2016-12-09",5.7
"524","2016-12-12",5.525
"525","2016-12-13",5.4225
"526","2016-12-14",5.45
"527","2016-12-15",5.675
"528","2016-12-16",5.7
"529","2016-12-19",5.575
"530","2016-12-20",5.825
"531","2016-12-21",5.675
"532","2016-12-22",5.55
"533","2016-12-23",5.725
"534","2016-12-27",5.8
"535","2016-12-28",5.9
"536","2016-12-29",5.9
"537","2016-12-30",5.575
"538","2017-01-03",5.6
"539","2017-01-04",5.645
"540","2017-01-05",5.65
"541","2017-01-06",5.65
"542","2017-01-09",5.625
"543","2017-01-10",5.525
"544","2017-01-11",5.575
"545","2017-01-12",5.475
"546","2017-01-13",5.505
"547","2017-01-17",5.575
"548","2017-01-18",5.425
"549","2017-01-19",5.15
"550","2017-01-20",5.2
"551","2017-01-23",5.275
"552","2017-01-24",4.925
"553","2017-01-25",4.875
"554","2017-01-26",4.47
"555","2017-01-27",4.475
"556","2017-01-30",4.35
"557","2017-01-31",4.7225
"558","2017-02-01",4.55
"559","2017-02-02",4.85
"560","2017-02-03",4.975
"561","2017-02-06",4.925
"562","2017-02-07",4.6
"563","2017-02-08",4.48
"564","2017-02-09",6.325
"565","2017-02-10",5.75
"566","2017-02-13",5.725
"567","2017-02-14",5.75
"568","2017-02-15",5.775
"569","2017-02-16",5.7
"570","2017-02-17",5.625
"571","2017-02-21",5.675
"572","2017-02-22",5.625
"573","2017-02-23",5.2
"574","2017-02-24",5.225
"575","2017-02-27",5.3
"576","2017-02-28",5.3
"577","2017-03-01",5.325
"578","2017-03-02",5.075
"579","2017-03-03",4.95
"580","2017-03-06",5
"581","2017-03-07",4.9
"582","2017-03-08",4.8
"583","2017-03-09",4.825
"584","2017-03-10",4.9
"585","2017-03-13",5.025
"586","2017-03-14",4.85
"587","2017-03-15",4.925
"588","2017-03-16",4.875
"589","2017-03-17",4.925
"590","2017-03-20",4.9
"591","2017-03-21",4.85
"592","2017-03-22",4.8
"593","2017-03-23",4.8
"594","2017-03-24",4.875
"595","2017-03-27",4.725
"596","2017-03-28",4.875
"597","2017-03-29",5.075
"598","2017-03-30",5.175
"599","2017-03-31",5.1
"600","2017-04-03",5.375
"601","2017-04-04",5.2125
"602","2017-04-05",5.2
"603","2017-04-06",5.125
"604","2017-04-07",5.025
"605","2017-04-10",4.95
"606","2017-04-11",5.375
"607","2017-04-12",5.175
"608","2017-04-13",5.075
"609","2017-04-17",5.05
"610","2017-04-18",4.95
"611","2017-04-19",5
"612","2017-04-20",4.9
"613","2017-04-21",4.975
"614","2017-04-24",4.9
"615","2017-04-25",5
"616","2017-04-26",5.025
"617","2017-04-27",5.125
"618","2017-04-28",5.075
"619","2017-05-01",5.0375
"620","2017-05-02",4.925
"621","2017-05-03",4.925
"622","2017-05-04",4.9
"623","2017-05-05",4.9
"624","2017-05-08",4.925
"625","2017-05-09",4.875
"626","2017-05-10",4.875
"627","2017-05-11",4.9
"628","2017-05-12",4.825
"629","2017-05-15",4.625
"630","2017-05-16",4.625
"631","2017-05-17",4.65
"632","2017-05-18",4.65
"633","2017-05-19",4.8
"634","2017-05-22",4.825
"635","2017-05-23",4.725
"636","2017-05-24",4.75
"637","2017-05-25",4.75
"638","2017-05-26",4.775
"639","2017-05-30",4.55
"640","2017-05-31",4.8
"641","2017-06-01",4.7
"642","2017-06-02",4.725
"643","2017-06-05",4.725
"644","2017-06-06",4.725
"645","2017-06-07",4.675
"646","2017-06-08",4.75
"647","2017-06-09",4.725
"648","2017-06-12",4.65
"649","2017-06-13",4.63
"650","2017-06-14",4.63
"651","2017-06-15",4.15
"652","2017-06-16",3.45
"653","2017-06-19",3.05
"654","2017-06-20",2.6725
"655","2017-06-21",3.51
"656","2017-06-22",3.325
"657","2017-06-23",3.175
"658","2017-06-26",3.2
"659","2017-06-27",3.85
"660","2017-06-28",4.1
"661","2017-06-29",4
"662","2017-06-30",3.75
"663","2017-07-03",3.825
"664","2017-07-05",3.8
"665","2017-07-06",3.675
"666","2017-07-07",3.575
"667","2017-07-10",3.625
"668","2017-07-11",3.6
"669","2017-07-12",3.6
"670","2017-07-13",3.45
"671","2017-07-14",3.45
"672","2017-07-17",3.475
"673","2017-07-18",3.475
"674","2017-07-19",3.55
"675","2017-07-20",3.45
"676","2017-07-21",3.55
"677","2017-07-24",3.525
"678","2017-07-25",3.5
"679","2017-07-26",3.425
"680","2017-07-27",3.4
"681","2017-07-28",3.375
"682","2017-07-31",3.375
"683","2017-08-01",3.375
"684","2017-08-02",3.4
"685","2017-08-03",3.47
"686","2017-08-04",3.45
"687","2017-08-07",3.4625
"688","2017-08-08",3.5
"689","2017-08-09",3.475
"690","2017-08-10",3.375
"691","2017-08-11",3.4
"692","2017-08-14",3.525
"693","2017-08-15",3.375
"694","2017-08-16",3.425
"695","2017-08-17",3.375
"696","2017-08-18",3.375
"697","2017-08-21",3.425
"698","2017-08-22",3.51
"699","2017-08-23",3.6
"700","2017-08-24",3.475
"701","2017-08-25",3.6
"702","2017-08-28",3.475
"703","2017-08-29",3.47
"704","2017-08-30",3.425
"705","2017-08-31",3.5
"706","2017-09-01",3.475
"707","2017-09-05",3.45
"708","2017-09-06",3.45
"709","2017-09-07",3.475
"710","2017-09-08",3.45
"711","2017-09-11",3.45
"712","2017-09-12",3.43
"713","2017-09-13",3.5
"714","2017-09-14",3.425
"715","2017-09-15",3.4
"716","2017-09-18",3.425
"717","2017-09-19",3.4275
"718","2017-09-20",3.35
"719","2017-09-21",3.55
"720","2017-09-22",3.5975
"721","2017-09-25",3.675
"722","2017-09-26",3.875
"723","2017-09-27",4.075
"724","2017-09-28",4.825
"725","2017-09-29",4.475
"726","2017-10-02",4.375
"727","2017-10-03",4.225
"728","2017-10-04",4.3
"729","2017-10-05",4.15
"730","2017-10-06",4.125
"731","2017-10-09",4.15
"732","2017-10-10",4.225
"733","2017-10-11",4.75
"734","2017-10-12",4.8
"735","2017-10-13",4.75
"736","2017-10-16",4.925
"737","2017-10-17",4.925
"738","2017-10-18",4.85
"739","2017-10-19",4.925
"740","2017-10-20",4.875
"741","2017-10-23",4.825
"742","2017-10-24",4.7
"743","2017-10-25",4.575
"744","2017-10-26",4.575
"745","2017-10-27",4.525
"746","2017-10-30",4.4
"747","2017-10-31",4.375
"748","2017-11-01",4.5475
"749","2017-11-02",4.3475
"750","2017-11-03",4.375
"751","2017-11-06",4.4
"752","2017-11-07",4.2625
"753","2017-11-08",4.2625
"754","2017-11-09",4.5
"755","2017-11-10",4.375
"756","2017-11-13",4.3
"757","2017-11-14",4.225
"758","2017-11-15",4.25
"759","2017-11-16",4.225
"760","2017-11-17",4.15
"761","2017-11-20",3.75
"762","2017-11-21",3.675
"763","2017-11-22",3.65
"764","2017-11-24",3.7
"765","2017-11-27",3.75
"766","2017-11-28",3.75
"767","2017-11-29",3.975
"768","2017-11-30",3.95
"769","2017-12-01",3.85
"770","2017-12-04",3.75
"771","2017-12-05",3.825
"772","2017-12-06",3.75
"773","2017-12-07",3.7
"774","2017-12-08",3.62
"775","2017-12-11",3.675
"776","2017-12-12",3.8
"777","2017-12-13",3.75
"778","2017-12-14",3.825
"779","2017-12-15",3.7
"780","2017-12-18",3.65
"781","2017-12-19",3.67
"782","2017-12-20",3.725
"783","2017-12-21",3.65
"784","2017-12-22",3.725
"785","2017-12-26",3.9
"786","2017-12-27",4
"787","2017-12-28",3.925
"788","2017-12-29",3.75
"789","2018-01-02",3.75
"790","2018-01-03",3.725
"791","2018-01-04",3.8
"792","2018-01-05",3.775
"793","2018-01-08",3.8125
"794","2018-01-09",3.775
"795","2018-01-10",3.725
"796","2018-01-11",3.8375
"797","2018-01-12",3.775
"798","2018-01-16",3.425
"799","2018-01-17",3.325
"800","2018-01-18",3.275
"801","2018-01-19",3.325
"802","2018-01-22",3.025
"803","2018-01-23",3.175
"804","2018-01-24",3.0475
"805","2018-01-25",3.075
"806","2018-01-26",3.1
"807","2018-01-29",3.075
"808","2018-01-30",3
"809","2018-01-31",2.85
"810","2018-02-01",2.795
"811","2018-02-02",2.625
"812","2018-02-05",2.225
"813","2018-02-06",2.65
"814","2018-02-07",2.45
"815","2018-02-08",2.3725
"816","2018-02-09",2.47
"817","2018-02-12",2.3125
"818","2018-02-13",2.295
"819","2018-02-14",2.225
"820","2018-02-15",2.19
"821","2018-02-16",2.08
"822","2018-02-20",2.105
"823","2018-02-21",2.2675
"824","2018-02-22",2.275
"825","2018-02-23",2.23
"826","2018-02-26",2.25
"827","2018-02-27",2.375
"828","2018-02-28",2.625
"829","2018-03-01",2.625
"830","2018-03-02",2.55
"831","2018-03-05",2.55
"832","2018-03-06",2.625
"833","2018-03-07",2.875
"834","2018-03-08",3.2
"835","2018-03-09",3.35
"836","2018-03-12",3.325
"837","2018-03-13",3.1
"838","2018-03-14",3
"839","2018-03-15",3
"840","2018-03-16",2.975
"841","2018-03-19",3.025
"842","2018-03-20",3.075
"843","2018-03-21",3.2
"844","2018-03-22",3.125
"845","2018-03-23",3.075
"846","2018-03-26",3.025
"847","2018-03-27",3
"848","2018-03-28",3.05
"849","2018-03-29",3.025
"850","2018-04-02",3
"851","2018-04-03",2.875
"852","2018-04-04",2.9
"853","2018-04-05",3.05
"854","2018-04-06",3.125
"855","2018-04-09",3.075
"856","2018-04-10",3.125
"857","2018-04-11",3.1025
"858","2018-04-12",3.125
"859","2018-04-13",3.125
"860","2018-04-16",3.125
"861","2018-04-17",3.225
"862","2018-04-18",3.275
"863","2018-04-19",3.15
"864","2018-04-20",3.175
"865","2018-04-23",3.3
"866","2018-04-24",3.35
"867","2018-04-25",3.2775
"868","2018-04-26",3.125
"869","2018-04-27",3.125
"870","2018-04-30",2.825
"871","2018-05-01",2.8
"872","2018-05-02",2.75
"873","2018-05-03",2.6875
"874","2018-05-04",2.7
"875","2018-05-07",2.875
"876","2018-05-08",2.75
"877","2018-05-09",2.9
"878","2018-05-10",2.975
"879","2018-05-11",3
"880","2018-05-14",3.025
"881","2018-05-15",3.05
"882","2018-05-16",3.1
"883","2018-05-17",3.1
"884","2018-05-18",2.925
"885","2018-05-21",2.9
"886","2018-05-22",2.925
"887","2018-05-23",2.85
"888","2018-05-24",2.875
"889","2018-05-25",2.875
"890","2018-05-29",2.9
"891","2018-05-30",3.125
"892","2018-05-31",3.1
"893","2018-06-01",3.075
"894","2018-06-04",2.95
"895","2018-06-05",2.9475
"896","2018-06-06",2.95
"897","2018-06-07",2.95
"898","2018-06-08",2.95
"899","2018-06-11",2.9275
"900","2018-06-12",2.975
"901","2018-06-13",2.95
"902","2018-06-14",2.725
"903","2018-06-15",2.625
"904","2018-06-18",2.7
"905","2018-06-19",2.75
"906","2018-06-20",2.65
"907","2018-06-21",2.55
"908","2018-06-22",2.525
"909","2018-06-25",2.675
"910","2018-06-26",2.925
"911","2018-06-27",2.95
"912","2018-06-28",3
"913","2018-06-29",2.925
"914","2018-07-02",2.975
"915","2018-07-03",3.075
"916","2018-07-05",2.675
"917","2018-07-06",2.5875
"918","2018-07-09",2.7
"919","2018-07-10",2.7
"920","2018-07-11",2.7
"921","2018-07-12",2.65
"922","2018-07-13",2.575
"923","2018-07-16",2.5625
"924","2018-07-17",2.575
"925","2018-07-18",2.5375
"926","2018-07-19",2.48
"927","2018-07-20",2.5025
"928","2018-07-23",2.5625
"929","2018-07-24",2.475
"930","2018-07-25",2.65
"931","2018-07-26",2.525
"932","2018-07-27",2.5625
"933","2018-07-30",2.5
"934","2018-07-31",2.49
"935","2018-08-01",2.6
"936","2018-08-02",2.575
"937","2018-08-03",2.4875
"938","2018-08-06",2.4875
"939","2018-08-07",2.4425
"940","2018-08-08",2.395
"941","2018-08-09",2.3125
"942","2018-08-10",2.35
"943","2018-08-13",2.255
"944","2018-08-14",2.22
"945","2018-08-15",2.0775
"946","2018-08-16",2.075
"947","2018-08-17",2.05
"948","2018-08-20",2.0325
"949","2018-08-21",2.12
"950","2018-08-22",2
"951","2018-08-23",1.99
"952","2018-08-24",1.97
"953","2018-08-27",2.025
"954","2018-08-28",2.075
"955","2018-08-29",2.07
"956","2018-08-30",2.0425
"957","2018-08-31",2.075
"958","2018-09-04",2.025
"959","2018-09-05",2.0575
"960","2018-09-06",2.075
"961","2018-09-07",1.955
"962","2018-09-10",1.875
"963","2018-09-11",1.875
"964","2018-09-12",1.875
"965","2018-09-13",2.1
"966","2018-09-14",2.25
"967","2018-09-17",2.325
"968","2018-09-18",2.625
"969","2018-09-19",2.625
"970","2018-09-20",2.65
"971","2018-09-21",2.675
"972","2018-09-24",2.5
"973","2018-09-25",2.25
"974","2018-09-26",2
"975","2018-09-27",1.15
"976","2018-09-28",1.695
"977","2018-10-01",1.525
"978","2018-10-02",1.4425
"979","2018-10-03",1.3775
"980","2018-10-04",1.52
"981","2018-10-05",1.4
"982","2018-10-08",1.495
"983","2018-10-09",1.425
"984","2018-10-10",1.325
"985","2018-10-11",1.375
"986","2018-10-12",1.25
"987","2018-10-15",1.45
"988","2018-10-16",1.3
"989","2018-10-17",1.6
"990","2018-10-18",1.525
"991","2018-10-19",1.625
"992","2018-10-22",1.425
"993","2018-10-23",1.38
"994","2018-10-24",1.4
"995","2018-10-25",1.4075
"996","2018-10-26",1.375
