"","date","YJ"
"1","2019-05-03",14.15
"2","2019-05-06",13.37
"3","2019-05-07",12.81
"4","2019-05-08",13.24
"5","2019-05-09",12.53
"6","2019-05-10",12.07
"7","2019-05-13",10.6
"8","2019-05-14",10.99
"9","2019-05-15",11
"10","2019-05-16",11.02
"11","2019-05-17",11.01
"12","2019-05-20",11
"13","2019-05-21",10.68
"14","2019-05-22",11.03
"15","2019-05-23",11.31
"16","2019-05-24",10.95
"17","2019-05-28",10.94
"18","2019-05-29",11.23
"19","2019-05-30",11.03
"20","2019-05-31",11
"21","2019-06-03",11
"22","2019-06-04",11.22
"23","2019-06-05",10.07
"24","2019-06-06",10
"25","2019-06-07",11.5
"26","2019-06-10",11.4
"27","2019-06-11",10.92
"28","2019-06-12",10.88
"29","2019-06-13",10.72
"30","2019-06-14",10.66
"31","2019-06-17",10.95
"32","2019-06-18",10.89
"33","2019-06-19",10.74
"34","2019-06-20",10.61
"35","2019-06-21",10.52
"36","2019-06-24",10.6
"37","2019-06-25",10.4
"38","2019-06-26",10.5
"39","2019-06-27",10.75
"40","2019-06-28",11.3
"41","2019-07-01",11.2
"42","2019-07-02",11.19
"43","2019-07-03",11
"44","2019-07-05",10.82
"45","2019-07-08",10.85
"46","2019-07-09",10.77
"47","2019-07-10",10.69
"48","2019-07-11",10.44
"49","2019-07-12",10.43
"50","2019-07-15",10.72
"51","2019-07-16",10.728
"52","2019-07-17",10.99
"53","2019-07-18",11
"54","2019-07-19",10.85
"55","2019-07-22",10.82
"56","2019-07-23",10.8
"57","2019-07-24",10.68
"58","2019-07-25",10.68
"59","2019-07-26",10.62
"60","2019-07-29",10.56
"61","2019-07-30",10.7
"62","2019-07-31",10.72
"63","2019-08-01",10.84
"64","2019-08-02",10.55
"65","2019-08-05",10.15
"66","2019-08-06",9.99
"67","2019-08-07",10.05
"68","2019-08-08",10
"69","2019-08-09",9.94
"70","2019-08-12",9.94
"71","2019-08-13",9.74
"72","2019-08-14",9.26
"73","2019-08-15",9.48
"74","2019-08-16",9.7
"75","2019-08-19",9.8
"76","2019-08-20",10
"77","2019-08-21",10.6
"78","2019-08-22",9.39
"79","2019-08-23",8.1
"80","2019-08-26",7.5
"81","2019-08-27",6.05
"82","2019-08-28",6.46
"83","2019-08-29",6.68
"84","2019-08-30",6.15
"85","2019-09-03",6.14
"86","2019-09-04",6.23
"87","2019-09-05",6.7
"88","2019-09-06",7
"89","2019-09-09",6.99
"90","2019-09-10",6.94
"91","2019-09-11",6.9
"92","2019-09-12",7.45
"93","2019-09-13",7.63
