"","date","PRTA"
"1","2012-12-21",7.2
"2","2012-12-24",6.8
"3","2012-12-26",6.8
"4","2012-12-27",6.9
"5","2012-12-28",6.87
"6","2012-12-31",7.33
"7","2013-01-02",7
"8","2013-01-03",6.83
"9","2013-01-04",6.55
"10","2013-01-07",6.29
"11","2013-01-08",6
"12","2013-01-09",6.04
"13","2013-01-10",6.1
"14","2013-01-11",6.43
"15","2013-01-14",6.46
"16","2013-01-15",6.26
"17","2013-01-16",5.97
"18","2013-01-17",5.84
"19","2013-01-18",6.14
"20","2013-01-22",5.96
"21","2013-01-23",6.01
"22","2013-01-24",6
"23","2013-01-25",6.11
"24","2013-01-28",6.05
"25","2013-01-29",6.13
"26","2013-01-30",6.05
"27","2013-01-31",6.01
"28","2013-02-01",6.44
"29","2013-02-04",6.63
"30","2013-02-05",6.51
"31","2013-02-06",6.7
"32","2013-02-07",6.62
"33","2013-02-08",6.27
"34","2013-02-11",6.07
"35","2013-02-12",6.24
"36","2013-02-13",6.05
"37","2013-02-14",6.22
"38","2013-02-15",6.01
"39","2013-02-19",6.1
"40","2013-02-20",6.24
"41","2013-02-21",6.33
"42","2013-02-22",6.57
"43","2013-02-25",6.5
"44","2013-02-26",6.55
"45","2013-02-27",6.48
"46","2013-02-28",6.17
"47","2013-03-01",6.18
"48","2013-03-04",6.44
"49","2013-03-05",6.25
"50","2013-03-06",6.28
"51","2013-03-07",6.51
"52","2013-03-08",6.41
"53","2013-03-11",6.56
"54","2013-03-12",6.6
"55","2013-03-13",6.57
"56","2013-03-14",6.62
"57","2013-03-15",6.44
"58","2013-03-18",6.65
"59","2013-03-19",6.45
"60","2013-03-20",6.57
"61","2013-03-21",6.78
"62","2013-03-22",6.64
"63","2013-03-25",6.5
"64","2013-03-26",6.59
"65","2013-03-27",6.635
"66","2013-03-28",6.69
"67","2013-04-01",6.725
"68","2013-04-02",6.61
"69","2013-04-03",6.6
"70","2013-04-04",6.64
"71","2013-04-05",6.76
"72","2013-04-08",6.73
"73","2013-04-09",7.44
"74","2013-04-10",7.63
"75","2013-04-11",7.85
"76","2013-04-12",7.86
"77","2013-04-15",8
"78","2013-04-16",7.93
"79","2013-04-17",7.88
"80","2013-04-18",8.02
"81","2013-04-19",7.85
"82","2013-04-22",8
"83","2013-04-23",8
"84","2013-04-24",7.94
"85","2013-04-25",7.97
"86","2013-04-26",8.28
"87","2013-04-29",8.35
"88","2013-04-30",8.26
"89","2013-05-01",8.21
"90","2013-05-02",8.3
"91","2013-05-03",8.31
"92","2013-05-06",8.38
"93","2013-05-07",8.32
"94","2013-05-08",8
"95","2013-05-09",8.29
"96","2013-05-10",8.275
"97","2013-05-13",8.2
"98","2013-05-14",8.34
"99","2013-05-15",8.25
"100","2013-05-16",9.33
"101","2013-05-17",9.86
"102","2013-05-20",10
"103","2013-05-21",10.55
"104","2013-05-22",10
"105","2013-05-23",10.1
"106","2013-05-24",10.28
"107","2013-05-28",10.7
"108","2013-05-29",10.35
"109","2013-05-30",10.55
"110","2013-05-31",9.94
"111","2013-06-03",9.75
"112","2013-06-04",9.51
"113","2013-06-05",9.45
"114","2013-06-06",9.48
"115","2013-06-07",10.79
"116","2013-06-10",10.93
"117","2013-06-11",11.01
"118","2013-06-12",10.98
"119","2013-06-13",10.56
"120","2013-06-14",11.36
"121","2013-06-17",11.01
"122","2013-06-18",12.77
"123","2013-06-19",13
"124","2013-06-20",13.71
"125","2013-06-21",12.06
"126","2013-06-24",11.36
"127","2013-06-25",11.68
"128","2013-06-26",11.18
"129","2013-06-27",11.95
"130","2013-06-28",12.91
"131","2013-07-01",12.98
"132","2013-07-02",12.39
"133","2013-07-03",12.59
"134","2013-07-05",12.53
"135","2013-07-08",12.72
"136","2013-07-09",13.15
"137","2013-07-10",13.2
