"","date","NRIX"
"1","2020-07-24",19.01
"2","2020-07-27",19.57
"3","2020-07-28",18.93
"4","2020-07-29",19.27
"5","2020-07-30",19.040001
"6","2020-07-31",19.389999
"7","2020-08-03",19.120001
"8","2020-08-04",18.58
"9","2020-08-05",17.5
"10","2020-08-06",17.620001
"11","2020-08-07",18.23
"12","2020-08-10",17.74
"13","2020-08-11",16.049999
"14","2020-08-12",18.23
"15","2020-08-13",24.969999
"16","2020-08-14",23.879999
"17","2020-08-17",27
"18","2020-08-18",27.73
"19","2020-08-19",29.209999
"20","2020-08-20",28.23
"21","2020-08-21",26.860001
"22","2020-08-24",23.540001
"23","2020-08-25",22.92
"24","2020-08-26",23
"25","2020-08-27",22.42
"26","2020-08-28",23.709999
"27","2020-08-31",23.4
"28","2020-09-01",27.27
"29","2020-09-02",28.469999
"30","2020-09-03",25.48
"31","2020-09-04",25.280001
"32","2020-09-08",25.92
"33","2020-09-09",26.620001
"34","2020-09-10",28.35
"35","2020-09-11",29.809999
"36","2020-09-14",31.209999
"37","2020-09-15",29.620001
"38","2020-09-16",30.139999
"39","2020-09-17",31.709999
"40","2020-09-18",34.700001
"41","2020-09-21",30.959999
"42","2020-09-22",30.639999
"43","2020-09-23",29.52
"44","2020-09-24",28.41
"45","2020-09-25",30.68
"46","2020-09-28",31.52
"47","2020-09-29",33.32
"48","2020-09-30",34.91
"49","2020-10-01",30.940001
"50","2020-10-02",26.465
"51","2020-10-05",26.190001
"52","2020-10-06",25.9
"53","2020-10-07",25.82
"54","2020-10-08",25.790001
"55","2020-10-09",24.41
"56","2020-10-12",25.26
"57","2020-10-13",25.57
"58","2020-10-14",24.65
"59","2020-10-15",24.360001
"60","2020-10-16",25.549999
"61","2020-10-19",26.540001
"62","2020-10-20",26.59
"63","2020-10-21",26.91
"64","2020-10-22",27.040001
"65","2020-10-23",28.32
"66","2020-10-26",27.440001
"67","2020-10-27",28.700001
"68","2020-10-28",26.299999
"69","2020-10-29",26.16
"70","2020-10-30",25.290001
"71","2020-11-02",25.120001
"72","2020-11-03",25.049999
"73","2020-11-04",25.08
"74","2020-11-05",25.24
"75","2020-11-06",23.190001
"76","2020-11-09",22.85
"77","2020-11-10",25.1
"78","2020-11-11",27.83
"79","2020-11-12",29.08
"80","2020-11-13",29.25
"81","2020-11-16",32.080002
"82","2020-11-17",33.360001
"83","2020-11-18",34.169998
"84","2020-11-19",34.52
"85","2020-11-20",37.639999
"86","2020-11-23",37.360001
"87","2020-11-24",38.709999
"88","2020-11-25",37.799999
"89","2020-11-27",39.240002
