"","date","INTG"
"1","2007-01-03",19.23
"2","2007-01-04",19.92
"3","2007-01-05",20.02
"4","2007-01-08",20.59
"5","2007-01-09",19.379999
"6","2007-01-10",19.370001
"7","2007-01-11",19.799999
"8","2007-01-12",19.799999
"9","2007-01-16",19.799999
"10","2007-01-17",19.799999
"11","2007-01-18",19.799999
"12","2007-01-19",19
"13","2007-01-22",19.16
"14","2007-01-23",19.16
"15","2007-01-24",19.5
"16","2007-01-25",19.5
"17","2007-01-26",19.5
"18","2007-01-29",19.540001
"19","2007-01-30",19.540001
"20","2007-01-31",19.540001
"21","2007-02-01",19.540001
"22","2007-02-02",19.540001
"23","2007-02-05",19.540001
"24","2007-02-06",19.540001
"25","2007-02-07",19.540001
"26","2007-02-08",19.540001
"27","2007-02-09",19.540001
"28","2007-02-12",19.5
"29","2007-02-13",20.389999
"30","2007-02-14",20
"31","2007-02-15",20
"32","2007-02-16",20
"33","2007-02-20",20
"34","2007-02-21",20
"35","2007-02-22",20
"36","2007-02-23",20
"37","2007-02-26",20
"38","2007-02-27",19.91
"39","2007-02-28",19.91
"40","2007-03-01",19.75
"41","2007-03-02",19.75
"42","2007-03-05",20
"43","2007-03-06",20
"44","2007-03-07",19.91
"45","2007-03-08",19.91
"46","2007-03-09",19.120001
"47","2007-03-12",19.120001
"48","2007-03-13",19.27
"49","2007-03-14",19.27
"50","2007-03-15",19.27
"51","2007-03-16",19.1
"52","2007-03-19",19.1
"53","2007-03-20",19.1
"54","2007-03-21",19.1
"55","2007-03-22",19.1
"56","2007-03-23",19.200001
"57","2007-03-26",19.200001
"58","2007-03-27",19.200001
"59","2007-03-28",19.200001
"60","2007-03-29",19.200001
"61","2007-03-30",19.200001
"62","2007-04-02",19.200001
"63","2007-04-03",19.200001
"64","2007-04-04",19.200001
"65","2007-04-05",19.65
"66","2007-04-09",19.65
"67","2007-04-10",19.700001
"68","2007-04-11",19.700001
"69","2007-04-12",19.700001
"70","2007-04-13",19.65
"71","2007-04-16",19.65
"72","2007-04-17",19.65
"73","2007-04-18",19.1
"74","2007-04-19",19.1
"75","2007-04-20",19.290001
"76","2007-04-23",19
"77","2007-04-24",19
"78","2007-04-25",19
"79","2007-04-26",19
"80","2007-04-27",19
"81","2007-04-30",19
"82","2007-05-01",19
"83","2007-05-02",19
"84","2007-05-03",19
"85","2007-05-04",19
"86","2007-05-07",19
"87","2007-05-08",19.5
"88","2007-05-09",19.5
"89","2007-05-10",19.5
"90","2007-05-11",19.5
"91","2007-05-14",19.5
"92","2007-05-15",19.49
"93","2007-05-16",19.15
"94","2007-05-17",19.15
"95","2007-05-18",19.15
"96","2007-05-21",19.15
"97","2007-05-22",18.5
"98","2007-05-23",18.49
"99","2007-05-24",18.5
"100","2007-05-25",19.049999
"101","2007-05-29",19.49
"102","2007-05-30",19.98
"103","2007-05-31",20
"104","2007-06-01",20
"105","2007-06-04",20
"106","2007-06-05",20
"107","2007-06-06",20
"108","2007-06-07",20
"109","2007-06-08",19.440001
"110","2007-06-11",19.440001
"111","2007-06-12",19.440001
"112","2007-06-13",19.440001
"113","2007-06-14",19.440001
"114","2007-06-15",18.799999
"115","2007-06-18",18.799999
"116","2007-06-19",18.799999
"117","2007-06-20",19.1
"118","2007-06-21",16.299999
"119","2007-06-22",17.040001
"120","2007-06-25",16.76
"121","2007-06-26",16.870001
"122","2007-06-27",17.09
"123","2007-06-28",17.09
"124","2007-06-29",18.24
"125","2007-07-02",18.379999
"126","2007-07-03",18.379999
"127","2007-07-05",17.719999
"128","2007-07-06",17.719999
"129","2007-07-09",17.719999
"130","2007-07-10",17.719999
"131","2007-07-11",16.76
"132","2007-07-12",16.030001
"133","2007-07-13",16.76
"134","2007-07-16",16.99
