"","date","CXO"
"1","2007-08-03",12.9
"2","2007-08-06",12.7
"3","2007-08-07",12.6
"4","2007-08-08",12.88
"5","2007-08-09",12.94
"6","2007-08-10",12.81
"7","2007-08-13",13.07
"8","2007-08-14",13.01
"9","2007-08-15",12.88
"10","2007-08-16",12.7
"11","2007-08-17",13
"12","2007-08-20",12.75
"13","2007-08-21",12.9
"14","2007-08-22",12.63
"15","2007-08-23",12.9
"16","2007-08-24",12.99
"17","2007-08-27",13.1
"18","2007-08-28",12.76
"19","2007-08-29",12.77
"20","2007-08-30",12.54
"21","2007-08-31",12.69
"22","2007-09-04",13.75
"23","2007-09-05",14.55
"24","2007-09-06",14.5
"25","2007-09-07",14.5
"26","2007-09-10",14.83
"27","2007-09-11",15.2
"28","2007-09-12",15.22
"29","2007-09-13",15.55
"30","2007-09-14",15.89
"31","2007-09-17",15.7
"32","2007-09-18",15.4
"33","2007-09-19",15.7
"34","2007-09-20",15.85
"35","2007-09-21",16.129999
"36","2007-09-24",16.17
"37","2007-09-25",15.65
"38","2007-09-26",16.1
"39","2007-09-27",15.42
"40","2007-09-28",14.81
"41","2007-10-01",15.8
"42","2007-10-02",16.030001
"43","2007-10-03",16.42
"44","2007-10-04",16.950001
"45","2007-10-05",17.25
"46","2007-10-08",16.700001
"47","2007-10-09",17.07
"48","2007-10-10",17.540001
"49","2007-10-11",18.6
"50","2007-10-12",18.459999
"51","2007-10-15",18.030001
"52","2007-10-16",18.82
"53","2007-10-17",18.860001
"54","2007-10-18",19.73
"55","2007-10-19",19.65
"56","2007-10-22",19.559999
"57","2007-10-23",19.950001
"58","2007-10-24",20.16
"59","2007-10-25",19.74
"60","2007-10-26",21.370001
"61","2007-10-29",21.99
"62","2007-10-30",20.459999
"63","2007-10-31",19.49
"64","2007-11-01",19.92
"65","2007-11-02",19.940001
"66","2007-11-05",19.780001
"67","2007-11-06",19.4
"68","2007-11-07",19.01
"69","2007-11-08",18.889999
"70","2007-11-09",18.559999
"71","2007-11-12",18.120001
"72","2007-11-13",18.4
"73","2007-11-14",17.6
"74","2007-11-15",18.5
"75","2007-11-16",18.540001
"76","2007-11-19",18.07
"77","2007-11-20",19.65
"78","2007-11-21",20.57
"79","2007-11-23",21.24
"80","2007-11-26",19.93
"81","2007-11-27",19.09
"82","2007-11-28",18.76
"83","2007-11-29",18.790001
"84","2007-11-30",18.860001
"85","2007-12-03",18.549999
"86","2007-12-04",18.129999
"87","2007-12-05",17.790001
