"","date","STMP"
"1","2007-01-03",15.56
"2","2007-01-04",15.21
"3","2007-01-05",14.77
"4","2007-01-08",14.7
"5","2007-01-09",14.37
"6","2007-01-10",14.16
"7","2007-01-11",14.47
"8","2007-01-12",14.32
"9","2007-01-16",14.38
"10","2007-01-17",14.17
"11","2007-01-18",13.94
"12","2007-01-19",15.07
"13","2007-01-22",14.9
"14","2007-01-23",15.01
"15","2007-01-24",14.99
"16","2007-01-25",14.62
"17","2007-01-26",14.65
"18","2007-01-29",14.59
"19","2007-01-30",14.56
"20","2007-01-31",14.63
"21","2007-02-01",14.75
"22","2007-02-02",14.73
"23","2007-02-05",14.55
"24","2007-02-06",14.54
"25","2007-02-07",14.64
"26","2007-02-08",14.57
"27","2007-02-09",14.3
"28","2007-02-12",14.3
"29","2007-02-13",14.34
"30","2007-02-14",14.21
"31","2007-02-15",14.3
"32","2007-02-16",16.98
"33","2007-02-20",16.889999
"34","2007-02-21",16.93
"35","2007-02-22",17.049999
"36","2007-02-23",16.459999
"37","2007-02-26",16.5
"38","2007-02-27",15.68
"39","2007-02-28",15.51
"40","2007-03-01",15.32
"41","2007-03-02",14.96
"42","2007-03-05",14.99
"43","2007-03-06",15.18
"44","2007-03-07",14.99
"45","2007-03-08",14.98
"46","2007-03-09",14.91
"47","2007-03-12",14.91
"48","2007-03-13",14.78
"49","2007-03-14",14.21
"50","2007-03-15",14.18
"51","2007-03-16",14.2
"52","2007-03-19",14.3
"53","2007-03-20",14.2
"54","2007-03-21",14.6
"55","2007-03-22",14.3
"56","2007-03-23",14.16
"57","2007-03-26",13.99
"58","2007-03-27",14.04
"59","2007-03-28",14.05
"60","2007-03-29",14.1
"61","2007-03-30",14.37
"62","2007-04-02",14.28
"63","2007-04-03",14.32
"64","2007-04-04",14.79
"65","2007-04-05",14.59
"66","2007-04-09",14.39
"67","2007-04-10",14.43
"68","2007-04-11",14.27
"69","2007-04-12",14.56
"70","2007-04-13",14.8
"71","2007-04-16",14.79
"72","2007-04-17",14.88
"73","2007-04-18",15.26
"74","2007-04-19",15.35
"75","2007-04-20",12.88
"76","2007-04-23",13.33
"77","2007-04-24",13.55
"78","2007-04-25",14.06
"79","2007-04-26",14.26
"80","2007-04-27",14.46
"81","2007-04-30",14.11
"82","2007-05-01",13.91
"83","2007-05-02",14.2
"84","2007-05-03",14.08
"85","2007-05-04",14.06
"86","2007-05-07",14.2
