"","date","MEIP"
"1","2007-01-03",191.399994
"2","2007-01-04",202.800003
"3","2007-01-05",198
"4","2007-01-08",192.600006
"5","2007-01-09",187.800003
"6","2007-01-10",228.600006
"7","2007-01-11",276
"8","2007-01-12",265.200012
"9","2007-01-16",240
"10","2007-01-17",252
"11","2007-01-18",258
"12","2007-01-19",264
"13","2007-01-22",259.200012
"14","2007-01-23",263.399994
"15","2007-01-24",252
"16","2007-01-25",244.800003
"17","2007-01-26",252
"18","2007-01-29",247.800003
"19","2007-01-30",241.199997
"20","2007-01-31",252.600006
"21","2007-02-01",248.399994
"22","2007-02-02",257.399994
"23","2007-02-05",266.399994
"24","2007-02-06",265.200012
"25","2007-02-07",260.399994
"26","2007-02-08",255.600006
"27","2007-02-09",246
"28","2007-02-12",252
"29","2007-02-13",247.199997
"30","2007-02-14",256.799988
"31","2007-02-15",249
"32","2007-02-16",261
"33","2007-02-20",258
"34","2007-02-21",259.799988
"35","2007-02-22",253.199997
"36","2007-02-23",251.399994
"37","2007-02-26",251.399994
"38","2007-02-27",244.800003
"39","2007-02-28",241.800003
"40","2007-03-01",242.399994
"41","2007-03-02",232.199997
"42","2007-03-05",219.600006
"43","2007-03-06",230.399994
"44","2007-03-07",233.399994
"45","2007-03-08",236.399994
"46","2007-03-09",232.800003
"47","2007-03-12",240.600006
"48","2007-03-13",244.199997
"49","2007-03-14",234.600006
"50","2007-03-15",240.600006
"51","2007-03-16",237.600006
"52","2007-03-19",231
"53","2007-03-20",234.600006
"54","2007-03-21",223.199997
"55","2007-03-22",225.600006
"56","2007-03-23",234
"57","2007-03-26",228
"58","2007-03-27",225
"59","2007-03-28",229.800003
"60","2007-03-29",240
"61","2007-03-30",234.600006
"62","2007-04-02",231.600006
"63","2007-04-03",229.199997
"64","2007-04-04",230.399994
"65","2007-04-05",222
"66","2007-04-09",233.399994
"67","2007-04-10",240.600006
"68","2007-04-11",231.600006
"69","2007-04-12",242.399994
"70","2007-04-13",233.399994
"71","2007-04-16",228
"72","2007-04-17",238.800003
"73","2007-04-18",229.199997
"74","2007-04-19",222
"75","2007-04-20",220.800003
"76","2007-04-23",222.600006
"77","2007-04-24",222.600006
"78","2007-04-25",226.800003
"79","2007-04-26",223.199997
"80","2007-04-27",222.600006
"81","2007-04-30",211.199997
"82","2007-05-01",228
"83","2007-05-02",234
"84","2007-05-03",234
"85","2007-05-04",242.399994
"86","2007-05-07",231.600006
"87","2007-05-08",229.800003
"88","2007-05-09",234
"89","2007-05-10",228.600006
"90","2007-05-11",231
"91","2007-05-14",210.600006
"92","2007-05-15",193.199997
"93","2007-05-16",189
"94","2007-05-17",195
"95","2007-05-18",198
"96","2007-05-21",193.199997
"97","2007-05-22",203.399994
"98","2007-05-23",198
"99","2007-05-24",195.600006
"100","2007-05-25",197.399994
"101","2007-05-29",196.800003
"102","2007-05-30",193.199997
"103","2007-05-31",188.399994
"104","2007-06-01",197.399994
"105","2007-06-04",192.600006
"106","2007-06-05",189
"107","2007-06-06",190.199997
"108","2007-06-07",189.600006
"109","2007-06-08",190.800003
"110","2007-06-11",193.800003
"111","2007-06-12",192.600006
"112","2007-06-13",190.199997
"113","2007-06-14",188.399994
"114","2007-06-15",186.600006
"115","2007-06-18",184.800003
"116","2007-06-19",196.800003
"117","2007-06-20",190.199997
"118","2007-06-21",193.199997
"119","2007-06-22",186
"120","2007-06-25",180.600006
"121","2007-06-26",175.800003
"122","2007-06-27",180
"123","2007-06-28",181.199997
"124","2007-06-29",184.199997
