"","date","CSSE"
"1","2017-08-18",9.25
"2","2017-08-21",10.19
"3","2017-08-22",10.43
"4","2017-08-23",11.55
"5","2017-08-24",11.33
"6","2017-08-25",10.61
"7","2017-08-28",10.35
"8","2017-08-29",9.88
"9","2017-08-30",9.7
"10","2017-08-31",9.57
"11","2017-09-01",9.74
"12","2017-09-05",8.7
"13","2017-09-06",8.4
"14","2017-09-07",7.7
"15","2017-09-08",7.99
"16","2017-09-11",8.11
"17","2017-09-12",7.99
"18","2017-09-13",7.71
"19","2017-09-14",7.23
"20","2017-09-15",7.11
"21","2017-09-18",7.07
"22","2017-09-19",7.53
"23","2017-09-20",8.25
"24","2017-09-21",8.6
"25","2017-09-22",8.9
"26","2017-09-25",8.67
"27","2017-09-26",7.99
"28","2017-09-27",7.28
"29","2017-09-28",7.14
"30","2017-09-29",7.19
"31","2017-10-02",7.16
"32","2017-10-03",7.41
"33","2017-10-04",7.25
"34","2017-10-05",7.44
"35","2017-10-06",8.15
"36","2017-10-09",7.84
"37","2017-10-10",7.78
"38","2017-10-11",7.3
"39","2017-10-12",7.36
"40","2017-10-13",7.422
"41","2017-10-16",7.445
"42","2017-10-17",7.11
"43","2017-10-18",7.08
"44","2017-10-19",7.15
"45","2017-10-20",7.16
"46","2017-10-23",7.82
"47","2017-10-24",8.25
"48","2017-10-25",7.35
"49","2017-10-26",7.41
"50","2017-10-27",7.49
"51","2017-10-30",7.68
"52","2017-10-31",7.49
"53","2017-11-01",7.61
"54","2017-11-02",7.81
"55","2017-11-03",8.03
"56","2017-11-06",8.82
"57","2017-11-07",8.79
"58","2017-11-08",8.71
"59","2017-11-09",8.62
"60","2017-11-10",8.32
"61","2017-11-13",8.91
"62","2017-11-14",8.44
"63","2017-11-15",8.57
"64","2017-11-16",8.3
"65","2017-11-17",8.47
"66","2017-11-20",8.25
"67","2017-11-21",8.35
"68","2017-11-22",8.35
"69","2017-11-24",8.16
"70","2017-11-27",8.39
"71","2017-11-28",8.25
"72","2017-11-29",8.18
"73","2017-11-30",8.01
"74","2017-12-01",8.11
"75","2017-12-04",8.11
"76","2017-12-05",8.16
"77","2017-12-06",8.17
"78","2017-12-07",8.13
"79","2017-12-08",8.1
"80","2017-12-11",9.48
"81","2017-12-12",9.24
