"","date","BRY"
"1","2018-07-18",13.75
"2","2018-07-19",14.5
"3","2018-07-20",16
"4","2018-07-23",16
"5","2018-07-24",14.5
"6","2018-07-25",14.5
"7","2018-07-26",13.25
"8","2018-07-27",13.29
"9","2018-07-30",13.8
"10","2018-07-31",13.75
"11","2018-08-01",13.61
"12","2018-08-02",13.3
"13","2018-08-03",13.38
"14","2018-08-06",13.55
"15","2018-08-07",13.33
"16","2018-08-08",13.23
"17","2018-08-09",13.1
"18","2018-08-10",13.39
"19","2018-08-13",13
"20","2018-08-14",12.99
"21","2018-08-15",12.73
"22","2018-08-16",12.74
"23","2018-08-17",12.84
"24","2018-08-20",13
"25","2018-08-21",13.28
"26","2018-08-22",13.5
"27","2018-08-23",14.03
"28","2018-08-24",15.46
"29","2018-08-27",15.73
"30","2018-08-28",15.99
"31","2018-08-29",16
"32","2018-08-30",16.280001
"33","2018-08-31",16.389999
"34","2018-09-04",15.85
"35","2018-09-05",16.26
"36","2018-09-06",15.69
"37","2018-09-07",15.75
"38","2018-09-10",15.93
"39","2018-09-11",16.139999
"40","2018-09-12",15.7
"41","2018-09-13",16.01
"42","2018-09-14",15.76
"43","2018-09-17",15.93
"44","2018-09-18",16.34
"45","2018-09-19",16.360001
"46","2018-09-20",16.370001
"47","2018-09-21",16
"48","2018-09-24",16.85
"49","2018-09-25",16.99
"50","2018-09-26",16.74
"51","2018-09-27",17.09
"52","2018-09-28",17.620001
"53","2018-10-01",17.530001
"54","2018-10-02",17.93
"55","2018-10-03",17.780001
"56","2018-10-04",17.73
"57","2018-10-05",18.24
"58","2018-10-08",17.52
"59","2018-10-09",17.98
"60","2018-10-10",16.530001
"61","2018-10-11",16.209999
"62","2018-10-12",15.93
"63","2018-10-15",16.27
"64","2018-10-16",16.809999
"65","2018-10-17",16.65
"66","2018-10-18",16.290001
"67","2018-10-19",16.32
"68","2018-10-22",16.139999
"69","2018-10-23",15.72
"70","2018-10-24",14.96
"71","2018-10-25",15.28
"72","2018-10-26",14.71
"73","2018-10-29",14.15
"74","2018-10-30",13.96
"75","2018-10-31",14
"76","2018-11-01",14.13
"77","2018-11-02",13.85
"78","2018-11-05",14.62
"79","2018-11-06",14.52
"80","2018-11-07",14.84
"81","2018-11-08",14.02
"82","2018-11-09",13.96
"83","2018-11-12",13.2
"84","2018-11-13",12.59
"85","2018-11-14",13.03
"86","2018-11-15",13.1
"87","2018-11-16",13.26
"88","2018-11-19",13.08
"89","2018-11-20",12.58
"90","2018-11-21",13.68
"91","2018-11-23",12.94
"92","2018-11-26",12.99
"93","2018-11-27",12.8
"94","2018-11-28",12.77
"95","2018-11-29",12.81
"96","2018-11-30",12.39
"97","2018-12-03",13.15
"98","2018-12-04",12.96
"99","2018-12-06",12.23
"100","2018-12-07",12.3
"101","2018-12-10",11.34
"102","2018-12-11",10.26
"103","2018-12-12",10.68
"104","2018-12-13",10.41
"105","2018-12-14",10.43
"106","2018-12-17",9.51
"107","2018-12-18",9.26
"108","2018-12-19",9.04
"109","2018-12-20",7.91
"110","2018-12-21",8.3
"111","2018-12-24",7.94
"112","2018-12-26",8.75
"113","2018-12-27",8.69
"114","2018-12-28",8.5
"115","2018-12-31",8.75
"116","2019-01-02",8.99
"117","2019-01-03",8.93
"118","2019-01-04",9.64
"119","2019-01-07",10.23
"120","2019-01-08",10.5
"121","2019-01-09",10.76
"122","2019-01-10",10.54
"123","2019-01-11",10.28
"124","2019-01-14",10.45
"125","2019-01-15",9.88
"126","2019-01-16",10.03
"127","2019-01-17",10.62
"128","2019-01-18",10.94
"129","2019-01-22",10.24
"130","2019-01-23",10.31
"131","2019-01-24",10.45
"132","2019-01-25",10.95
"133","2019-01-28",11.18
