"","date","SINT"
"1","2014-02-13",2425.5
"2","2014-02-14",2556
"3","2014-02-18",2605.5
"4","2014-02-19",3046.5
"5","2014-02-20",3195
"6","2014-02-21",3532.5
"7","2014-02-24",3964.5
"8","2014-02-25",3627
"9","2014-02-26",3465
"10","2014-02-27",3442.5
"11","2014-02-28",3213
"12","2014-03-03",3249
"13","2014-03-04",3379.5
"14","2014-03-05",3249
"15","2014-03-06",3352.5
"16","2014-03-07",3352.5
"17","2014-03-10",3267
"18","2014-03-11",3285
"19","2014-03-12",3285
"20","2014-03-13",3330
"21","2014-03-14",3289.5
"22","2014-03-17",3285
"23","2014-03-18",3478.5
"24","2014-03-19",3420
"25","2014-03-20",3348
"26","2014-03-21",3487.5
"27","2014-03-24",3667.5
"28","2014-03-25",3717
"29","2014-03-26",3492
"30","2014-03-27",3501
"31","2014-03-28",3424.5
"32","2014-03-31",3384
"33","2014-04-01",3447
"34","2014-04-02",3438
"35","2014-04-03",3393
"36","2014-04-04",3375
"37","2014-04-07",3375
"38","2014-04-08",3357
"39","2014-04-09",3366
"40","2014-04-10",3370.5
"41","2014-04-11",3298.5
"42","2014-04-14",3339
"43","2014-04-15",3370.5
"44","2014-04-16",3285
"45","2014-04-17",3352.5
"46","2014-04-21",3375
"47","2014-04-22",3258
"48","2014-04-23",3145.5
"49","2014-04-24",3307.5
"50","2014-04-25",3091.5
"51","2014-04-28",3091.5
"52","2014-04-29",2988
"53","2014-04-30",3015
"54","2014-05-01",2970
"55","2014-05-02",2808
"56","2014-05-05",2754
"57","2014-05-06",2749.5
"58","2014-05-07",2740.5
"59","2014-05-08",2763
"60","2014-05-09",2700
"61","2014-05-12",2713.5
"62","2014-05-13",2740.5
"63","2014-05-14",2718
"64","2014-05-15",2754
"65","2014-05-16",2749.5
"66","2014-05-19",2700
"67","2014-05-20",2700
"68","2014-05-21",2749.5
"69","2014-05-22",2718
"70","2014-05-23",2781
"71","2014-05-27",2817
"72","2014-05-28",2763
