"","date","PBFX"
"1","2014-05-09",27.68
"2","2014-05-12",27.799999
"3","2014-05-13",27.92
"4","2014-05-14",27.360001
"5","2014-05-15",26.93
"6","2014-05-16",26.92
"7","2014-05-19",27.17
"8","2014-05-20",27.139999
"9","2014-05-21",27.15
"10","2014-05-22",26.99
"11","2014-05-23",26.74
"12","2014-05-27",26.85
"13","2014-05-28",27.02
"14","2014-05-29",26.99
"15","2014-05-30",26.75
"16","2014-06-02",27.35
"17","2014-06-03",27.93
"18","2014-06-04",28.540001
"19","2014-06-05",28.65
"20","2014-06-06",28.809999
"21","2014-06-09",28.700001
"22","2014-06-10",28.360001
"23","2014-06-11",27.790001
"24","2014-06-12",27.5
"25","2014-06-13",27.190001
"26","2014-06-16",27.299999
"27","2014-06-17",29.559999
"28","2014-06-18",28.42
"29","2014-06-19",28.309999
"30","2014-06-20",27.629999
"31","2014-06-23",27.4
"32","2014-06-24",27.049999
"33","2014-06-25",26.950001
"34","2014-06-26",26.92
"35","2014-06-27",26.77
"36","2014-06-30",27.52
"37","2014-07-01",27.440001
"38","2014-07-02",27.35
"39","2014-07-03",26.950001
"40","2014-07-07",26.92
"41","2014-07-08",26.77
"42","2014-07-09",26.77
"43","2014-07-10",26.639999
"44","2014-07-11",26.750999
"45","2014-07-14",27.27
"46","2014-07-15",26.77
"47","2014-07-16",27.440001
"48","2014-07-17",27.24
"49","2014-07-18",27.379999
"50","2014-07-21",27.33
"51","2014-07-22",27.18
"52","2014-07-23",26.959999
"53","2014-07-24",26.790001
"54","2014-07-25",26.9
"55","2014-07-28",27.040001
"56","2014-07-29",27
"57","2014-07-30",26.530001
"58","2014-07-31",25.709999
"59","2014-08-01",24.190001
"60","2014-08-04",24.799999
"61","2014-08-05",24.690001
"62","2014-08-06",24.17
"63","2014-08-07",23.969999
"64","2014-08-08",24
"65","2014-08-11",24.110001
"66","2014-08-12",24.280001
"67","2014-08-13",25
"68","2014-08-14",25.48
"69","2014-08-15",25.41
"70","2014-08-18",26.18
"71","2014-08-19",26.6
"72","2014-08-20",26.42
"73","2014-08-21",26.120001
"74","2014-08-22",25.82
"75","2014-08-25",25.16
"76","2014-08-26",25.290001
"77","2014-08-27",24.66
"78","2014-08-28",24.83
"79","2014-08-29",24.959999
"80","2014-09-02",24.99
"81","2014-09-03",24.84
"82","2014-09-04",25.059999
"83","2014-09-05",25.120001
"84","2014-09-08",25.52
"85","2014-09-09",25.35
"86","2014-09-10",25.25
"87","2014-09-11",25.209999
"88","2014-09-12",24.950001
"89","2014-09-15",24.809999
"90","2014-09-16",27.549999
"91","2014-09-17",26.309999
"92","2014-09-18",25.66
"93","2014-09-19",25.75
"94","2014-09-22",26
"95","2014-09-23",25.98
"96","2014-09-24",25.879999
"97","2014-09-25",25.379999
"98","2014-09-26",25.98
