"","date","NAV"
"1","2007-01-03",34.009998
"2","2007-01-04",35.130001
"3","2007-01-05",35.279999
"4","2007-01-08",35.490002
"5","2007-01-09",35.689999
"6","2007-01-10",36.299999
"7","2007-01-11",37.919998
"8","2007-01-12",38.400002
"9","2007-01-16",38.400002
"10","2007-01-17",38.830002
"11","2007-01-18",39.490002
"12","2007-01-19",40.959999
"13","2007-01-22",39.400002
"14","2007-01-23",40.77
"15","2007-01-24",40.98
"16","2007-01-25",40.34
"17","2007-01-26",41.349998
"18","2007-01-29",43.740002
"19","2007-01-30",44.029999
"20","2007-01-31",44.240002
"21","2007-02-01",45.619999
"22","2007-02-02",46.310001
"23","2007-02-05",46.490002
"24","2007-02-06",46.740002
"25","2007-02-07",47.75
"26","2007-02-08",47.25
"27","2007-02-09",46.34
"28","2007-02-12",45.98
"29","2007-02-13",45.380001
"30","2007-02-14",47
"31","2007-02-15",46.75
"32","2007-02-16",46.150002
"33","2007-02-20",44.849998
"34","2007-02-21",45
"35","2007-02-22",45.299999
"36","2007-02-23",44
"37","2007-02-26",42.099998
"38","2007-02-27",40.450001
"39","2007-02-28",40.549999
"40","2007-03-01",41.299999
"41","2007-03-02",41.25
"42","2007-03-05",40.799999
"43","2007-03-06",40.400002
"44","2007-03-07",39.790001
"45","2007-03-08",41.099998
"46","2007-03-09",42.299999
"47","2007-03-12",42.25
"48","2007-03-13",41.5
"49","2007-03-14",40.950001
"50","2007-03-15",40.75
"51","2007-03-16",39.970001
"52","2007-03-19",42.799999
"53","2007-03-20",44.630001
"54","2007-03-21",44.68
"55","2007-03-22",46.240002
"56","2007-03-23",47.799999
"57","2007-03-26",46.200001
"58","2007-03-27",45.209999
"59","2007-03-28",43.5
"60","2007-03-29",44.599998
"61","2007-03-30",45.75
"62","2007-04-02",46.349998
"63","2007-04-03",47
"64","2007-04-04",48.400002
"65","2007-04-05",48.099998
"66","2007-04-09",47.889999
"67","2007-04-10",48.25
"68","2007-04-11",47.450001
"69","2007-04-12",47.349998
"70","2007-04-13",47.599998
"71","2007-04-16",48.849998
"72","2007-04-17",48.5
"73","2007-04-18",48.48
"74","2007-04-19",48.450001
"75","2007-04-20",48.349998
"76","2007-04-23",53.200001
"77","2007-04-24",56.799999
"78","2007-04-25",57.27
"79","2007-04-26",56.34
"80","2007-04-27",57
"81","2007-04-30",55.529999
"82","2007-05-01",53.799999
"83","2007-05-02",56.099998
