"","date","BMRG"
"1","2020-06-03",9.7
"2","2020-06-04",9.72
"3","2020-06-05",9.72
"4","2020-06-08",9.75
"5","2020-06-09",9.73
"6","2020-06-10",9.75
"7","2020-06-11",9.76
"8","2020-06-12",9.76
"9","2020-06-15",9.75
"10","2020-06-16",9.87
"11","2020-06-17",9.87
"12","2020-06-18",9.87
"13","2020-06-19",9.81
"14","2020-06-22",9.83
"15","2020-06-23",9.85
"16","2020-06-24",11.4
"17","2020-06-25",10.9
"18","2020-06-26",10.62
"19","2020-06-29",11.12
"20","2020-06-30",10.73
"21","2020-07-01",10.86
"22","2020-07-02",11.05
"23","2020-07-06",11.05
"24","2020-07-07",10.82
"25","2020-07-08",10.7
"26","2020-07-09",11
"27","2020-07-10",10.99
"28","2020-07-13",10.85
"29","2020-07-14",10.6
"30","2020-07-15",10.68
"31","2020-07-16",10.65
"32","2020-07-17",10.6
"33","2020-07-20",10.62
"34","2020-07-21",10.55
"35","2020-07-22",10.5
"36","2020-07-23",10.36
"37","2020-07-24",10.35
"38","2020-07-27",10.45
"39","2020-07-28",10.4
"40","2020-07-29",10.39
"41","2020-07-30",10.25
"42","2020-07-31",10.25
"43","2020-08-03",10.13
"44","2020-08-04",10.2
"45","2020-08-05",10.15
"46","2020-08-06",10.25
"47","2020-08-07",10.29
"48","2020-08-10",10.23
"49","2020-08-11",10.25
"50","2020-08-12",10.23
"51","2020-08-13",10.29
"52","2020-08-14",10.22
"53","2020-08-17",10.18
"54","2020-08-18",10.09
"55","2020-08-19",10.15
"56","2020-08-20",10.09
"57","2020-08-21",10.06
"58","2020-08-24",10.06
"59","2020-08-25",10.08
"60","2020-08-26",10.07
"61","2020-08-27",10.095
"62","2020-08-28",10.1
"63","2020-08-31",10.06
"64","2020-09-01",10.3
"65","2020-09-02",10.34
"66","2020-09-03",10.28
"67","2020-09-04",10.21
"68","2020-09-08",10.2
"69","2020-09-09",10.21
"70","2020-09-10",10.51
"71","2020-09-11",10.4
"72","2020-09-14",10.39
"73","2020-09-15",10.3
"74","2020-09-16",10.31
"75","2020-09-17",10.18
"76","2020-09-18",10.2
"77","2020-09-21",10.12
"78","2020-09-22",10.06
"79","2020-09-23",10.02
"80","2020-09-24",10.02
"81","2020-09-25",10.02
"82","2020-09-28",10
"83","2020-09-29",10.07
"84","2020-09-30",10.01
"85","2020-10-01",10.015
"86","2020-10-02",9.998
"87","2020-10-05",10
"88","2020-10-06",9.95
"89","2020-10-07",9.97
"90","2020-10-08",9.955
"91","2020-10-09",10.04
"92","2020-10-12",9.99
"93","2020-10-13",10.005
"94","2020-10-14",9.99
"95","2020-10-15",10
"96","2020-10-16",9.97
"97","2020-10-19",9.965
"98","2020-10-20",9.96
"99","2020-10-21",10.01
"100","2020-10-22",10.01
"101","2020-10-23",10
"102","2020-10-26",10
"103","2020-10-27",10.02
"104","2020-10-28",10
"105","2020-10-29",10.02
"106","2020-10-30",10.01
"107","2020-11-02",10.07
"108","2020-11-03",10.09
"109","2020-11-04",10.09
"110","2020-11-05",10.11
"111","2020-11-06",10.25
"112","2020-11-09",10.16
"113","2020-11-10",10.21
"114","2020-11-11",10.43
"115","2020-11-12",10.52
"116","2020-11-13",10.82
"117","2020-11-16",10.68
"118","2020-11-17",NA
"119","2020-11-18",NA
"120","2020-11-19",NA
"121","2020-11-20",NA
"122","2020-11-23",NA
"123","2020-11-24",NA
"124","2020-11-25",NA
