"","date","DTIL"
"1","2019-03-28",17.440001
"2","2019-03-29",17.950001
"3","2019-04-01",16.940001
"4","2019-04-02",16.76
"5","2019-04-03",15.05
"6","2019-04-04",15.15
"7","2019-04-05",14.74
"8","2019-04-08",14.82
"9","2019-04-09",15.18
"10","2019-04-10",14.6
"11","2019-04-11",14.04
"12","2019-04-12",13.32
"13","2019-04-15",13.19
"14","2019-04-16",13.26
"15","2019-04-17",12.98
"16","2019-04-18",12.18
"17","2019-04-22",13.44
"18","2019-04-23",13.58
"19","2019-04-24",12.78
"20","2019-04-25",12.5
"21","2019-04-26",12.64
"22","2019-04-29",13.03
"23","2019-04-30",13
"24","2019-05-01",12.94
"25","2019-05-02",12.6
"26","2019-05-03",11.88
"27","2019-05-06",13
"28","2019-05-07",12.94
"29","2019-05-08",12.74
"30","2019-05-09",12.91
"31","2019-05-10",13.05
"32","2019-05-13",13.15
"33","2019-05-14",13.69
"34","2019-05-15",12.73
"35","2019-05-16",13.12
"36","2019-05-17",12.46
"37","2019-05-20",13.18
"38","2019-05-21",13.27
"39","2019-05-22",13.21
"40","2019-05-23",13.31
"41","2019-05-24",13.73
"42","2019-05-28",13.96
"43","2019-05-29",13.46
"44","2019-05-30",12.78
"45","2019-05-31",13.43
"46","2019-06-03",13.01
"47","2019-06-04",13.49
"48","2019-06-05",13.48
"49","2019-06-06",13.51
"50","2019-06-07",13.2
"51","2019-06-10",12.93
"52","2019-06-11",12.13
"53","2019-06-12",12.04
"54","2019-06-13",12.46
"55","2019-06-14",12.97
"56","2019-06-17",12.54
"57","2019-06-18",13.7
"58","2019-06-19",13.85
"59","2019-06-20",15.05
"60","2019-06-21",14.72
"61","2019-06-24",13.21
"62","2019-06-25",13.2
"63","2019-06-26",12.83
"64","2019-06-27",13.23
"65","2019-06-28",13.25
"66","2019-07-01",12.98
"67","2019-07-02",13.29
"68","2019-07-03",13.39
"69","2019-07-05",14.15
"70","2019-07-08",13.65
"71","2019-07-09",13.54
"72","2019-07-10",14.32
"73","2019-07-11",14.3
"74","2019-07-12",13.47
"75","2019-07-15",13.76
"76","2019-07-16",13.87
"77","2019-07-17",14.81
"78","2019-07-18",14.82
"79","2019-07-19",13.91
"80","2019-07-22",14.01
"81","2019-07-23",13.55
"82","2019-07-24",12.95
"83","2019-07-25",12.88
"84","2019-07-26",12.96
"85","2019-07-29",13.3
"86","2019-07-30",13.18
"87","2019-07-31",12.87
"88","2019-08-01",11.94
"89","2019-08-02",11.69
"90","2019-08-05",11.4
"91","2019-08-06",11.49
"92","2019-08-07",11.18
"93","2019-08-08",10.98
"94","2019-08-09",9.19
"95","2019-08-12",9.27
"96","2019-08-13",9.17
"97","2019-08-14",9.43
"98","2019-08-15",8.83
"99","2019-08-16",9.37
"100","2019-08-19",9.76
"101","2019-08-20",9.87
"102","2019-08-21",9.33
"103","2019-08-22",8.71
"104","2019-08-23",8.32
"105","2019-08-26",8.3
"106","2019-08-27",8.2
"107","2019-08-28",8.39
"108","2019-08-29",8.4
"109","2019-08-30",8.52
"110","2019-09-03",8.1
"111","2019-09-04",8.21
"112","2019-09-05",8.3
"113","2019-09-06",8.19
"114","2019-09-09",8.05
"115","2019-09-10",8.03
"116","2019-09-11",9.8
"117","2019-09-12",9.99
"118","2019-09-13",9.8
"119","2019-09-16",9.66
"120","2019-09-17",9.92
"121","2019-09-18",9.76
"122","2019-09-19",10.05
"123","2019-09-20",9.66
"124","2019-09-23",9.46
"125","2019-09-24",10.03
"126","2019-09-25",9.39
"127","2019-09-26",8.94
"128","2019-09-27",8.885
"129","2019-09-30",8.39
"130","2019-10-01",7.74
"131","2019-10-02",7.52
"132","2019-10-03",7.59
"133","2019-10-04",7.56
"134","2019-10-07",7.7
"135","2019-10-08",7.51
"136","2019-10-09",7.43
"137","2019-10-10",7.41
"138","2019-10-11",7.22
"139","2019-10-14",6.9
"140","2019-10-15",6.87
"141","2019-10-16",6.6
"142","2019-10-17",6.81
"143","2019-10-18",6.43
"144","2019-10-21",6.6
"145","2019-10-22",6.69
"146","2019-10-23",6.4
"147","2019-10-24",6.32
"148","2019-10-25",6.39
"149","2019-10-28",6.5
"150","2019-10-29",6.48
"151","2019-10-30",6.54
"152","2019-10-31",6.49
"153","2019-11-01",6.55
"154","2019-11-04",6.64
"155","2019-11-05",6.88
"156","2019-11-06",8.11
"157","2019-11-07",8.52
"158","2019-11-08",9
"159","2019-11-11",8.505
"160","2019-11-12",8.99
"161","2019-11-13",9.47
"162","2019-11-14",11.8
"163","2019-11-15",12.11
"164","2019-11-18",12.66
"165","2019-11-19",12.55
"166","2019-11-20",12.49
"167","2019-11-21",12.21
"168","2019-11-22",13.655
"169","2019-11-25",14.63
"170","2019-11-26",16.16
"171","2019-11-27",18.18
"172","2019-11-29",17.77
"173","2019-12-02",16.91
"174","2019-12-03",16.85
"175","2019-12-04",16.639999
"176","2019-12-05",18.51
"177","2019-12-06",19.66
"178","2019-12-09",9.5
"179","2019-12-10",9.58
"180","2019-12-11",9.82
"181","2019-12-12",9.77
"182","2019-12-13",10.29
"183","2019-12-16",10.9
"184","2019-12-17",10.97
"185","2019-12-18",12.18
"186","2019-12-19",12.09
"187","2019-12-20",14.32
"188","2019-12-23",14.91
"189","2019-12-24",14.6
"190","2019-12-26",14.73
"191","2019-12-27",14.05
"192","2019-12-30",13.52
"193","2019-12-31",13.89
"194","2020-01-02",13.14
"195","2020-01-03",13.24
"196","2020-01-06",13.27
"197","2020-01-07",13.77
"198","2020-01-08",15.01
"199","2020-01-09",14.73
"200","2020-01-10",14.7
"201","2020-01-13",13.53
"202","2020-01-14",13.36
"203","2020-01-15",11.63
"204","2020-01-16",11.09
"205","2020-01-17",10.68
"206","2020-01-21",10.63
"207","2020-01-22",10.26
"208","2020-01-23",10.1
"209","2020-01-24",9.93
"210","2020-01-27",9.58
"211","2020-01-28",9.12
"212","2020-01-29",8.96
"213","2020-01-30",8.31
"214","2020-01-31",8.09
"215","2020-02-03",8.22
"216","2020-02-04",8.19
"217","2020-02-05",8.35
"218","2020-02-06",8.69
"219","2020-02-07",8.22
"220","2020-02-10",8.49
"221","2020-02-11",7.96
"222","2020-02-12",8.26
"223","2020-02-13",8.41
"224","2020-02-14",8.27
"225","2020-02-18",8.18
"226","2020-02-19",8.24
"227","2020-02-20",8.06
"228","2020-02-21",8.01
"229","2020-02-24",8.24
"230","2020-02-25",8.01
"231","2020-02-26",8.06
"232","2020-02-27",7.66
"233","2020-02-28",8.01
"234","2020-03-02",7.92
"235","2020-03-03",8
"236","2020-03-04",8.11
"237","2020-03-05",8.28
"238","2020-03-06",8.02
"239","2020-03-09",7.19
"240","2020-03-10",7.57
"241","2020-03-11",6.49
"242","2020-03-12",5.42
"243","2020-03-13",6.18
"244","2020-03-16",5.05
"245","2020-03-17",5.82
"246","2020-03-18",5.39
"247","2020-03-19",5.72
"248","2020-03-20",5.3
"249","2020-03-23",5.66
"250","2020-03-24",5.96
"251","2020-03-25",5.82
"252","2020-03-26",6.04
"253","2020-03-27",6.19
"254","2020-03-30",6.18
"255","2020-03-31",6.03
"256","2020-04-01",5.27
"257","2020-04-02",5.54
"258","2020-04-03",4.66
"259","2020-04-06",5.67
"260","2020-04-07",5.59
"261","2020-04-08",5.8
"262","2020-04-09",6.3
"263","2020-04-13",6.47
"264","2020-04-14",7.31
"265","2020-04-15",6.61
"266","2020-04-16",6.43
"267","2020-04-17",7.22
"268","2020-04-20",7.38
"269","2020-04-21",7.14
"270","2020-04-22",7.3
"271","2020-04-23",7.1
"272","2020-04-24",7.95
"273","2020-04-27",7.43
"274","2020-04-28",7.37
"275","2020-04-29",7.87
"276","2020-04-30",6.88
"277","2020-05-01",6.48
"278","2020-05-04",6.8
"279","2020-05-05",7.08
"280","2020-05-06",6.83
"281","2020-05-07",7.26
"282","2020-05-08",7.52
"283","2020-05-11",7.65
"284","2020-05-12",7.06
"285","2020-05-13",6.62
"286","2020-05-14",7.21
"287","2020-05-15",7.79
"288","2020-05-18",7.3
"289","2020-05-19",7.49
"290","2020-05-20",7.72
"291","2020-05-21",7.73
"292","2020-05-22",7.35
"293","2020-05-26",7.64
"294","2020-05-27",7.02
"295","2020-05-28",7.06
"296","2020-05-29",7.01
"297","2020-06-01",7.14
"298","2020-06-02",7.71
"299","2020-06-03",7.47
"300","2020-06-04",7.15
"301","2020-06-05",7.13
"302","2020-06-08",8.21
"303","2020-06-09",8.58
"304","2020-06-10",8.31
"305","2020-06-11",7.49
"306","2020-06-12",7.48
"307","2020-06-15",7.95
"308","2020-06-16",8.16
"309","2020-06-17",8.26
"310","2020-06-18",8.13
"311","2020-06-19",8.44
"312","2020-06-22",8.47
"313","2020-06-23",8.7
"314","2020-06-24",8.69
"315","2020-06-25",8.42
"316","2020-06-26",7.88
"317","2020-06-29",7.85
"318","2020-06-30",8.33
"319","2020-07-01",8.39
"320","2020-07-02",8.42
"321","2020-07-06",8.22
