"","date","CDMO"
"1","2007-01-03",39.549999
"2","2007-01-04",38.849998
"3","2007-01-05",38.5
"4","2007-01-08",39.200001
"5","2007-01-09",40.599998
"6","2007-01-10",40.599998
"7","2007-01-11",40.25
"8","2007-01-12",41.650002
"9","2007-01-16",41.650002
"10","2007-01-17",40.950001
"11","2007-01-18",40.599998
"12","2007-01-19",41.299999
"13","2007-01-22",40.599998
"14","2007-01-23",40.950001
"15","2007-01-24",40.950001
"16","2007-01-25",40.599998
"17","2007-01-26",40.599998
"18","2007-01-29",40.950001
"19","2007-01-30",40.950001
"20","2007-01-31",40.950001
"21","2007-02-01",41.650002
"22","2007-02-02",41.299999
"23","2007-02-05",40.25
"24","2007-02-06",41.299999
"25","2007-02-07",40.950001
"26","2007-02-08",40.950001
"27","2007-02-09",40.950001
"28","2007-02-12",42.700001
"29","2007-02-13",43.049999
"30","2007-02-14",41.650002
"31","2007-02-15",40.950001
"32","2007-02-16",39.900002
"33","2007-02-20",40.25
"34","2007-02-21",39.200001
"35","2007-02-22",39.200001
"36","2007-02-23",39.200001
"37","2007-02-26",38.849998
"38","2007-02-27",36.75
"39","2007-02-28",36.049999
"40","2007-03-01",37.450001
"41","2007-03-02",35
"42","2007-03-05",33.599998
"43","2007-03-06",34.299999
"44","2007-03-07",33.25
"45","2007-03-08",33.25
"46","2007-03-09",33.599998
"47","2007-03-12",32.549999
"48","2007-03-13",30.799999
"49","2007-03-14",33.25
"50","2007-03-15",32.549999
"51","2007-03-16",32.549999
"52","2007-03-19",32.549999
"53","2007-03-20",32.549999
"54","2007-03-21",34.650002
"55","2007-03-22",37.099998
"56","2007-03-23",36.400002
"57","2007-03-26",36.049999
"58","2007-03-27",35.349998
"59","2007-03-28",34.650002
"60","2007-03-29",33.950001
"61","2007-03-30",34.299999
"62","2007-04-02",33.599998
"63","2007-04-03",34.299999
"64","2007-04-04",34.650002
"65","2007-04-05",36.049999
"66","2007-04-09",36.049999
"67","2007-04-10",37.099998
"68","2007-04-11",37.099998
"69","2007-04-12",36.049999
"70","2007-04-13",36.400002
"71","2007-04-16",40.599998
"72","2007-04-17",40.950001
"73","2007-04-18",38.5
"74","2007-04-19",37.799999
"75","2007-04-20",38.849998
"76","2007-04-23",38.150002
"77","2007-04-24",37.099998
"78","2007-04-25",36.75
"79","2007-04-26",36.400002
"80","2007-04-27",35.349998
"81","2007-04-30",35
"82","2007-05-01",33.950001
"83","2007-05-02",35
"84","2007-05-03",35.349998
"85","2007-05-04",35
"86","2007-05-07",35.349998
"87","2007-05-08",34.650002
"88","2007-05-09",34.299999
"89","2007-05-10",33.25
"90","2007-05-11",33.950001
"91","2007-05-14",33.25
"92","2007-05-15",32.549999
"93","2007-05-16",34.650002
"94","2007-05-17",33.950001
"95","2007-05-18",33.599998
"96","2007-05-21",33.950001
"97","2007-05-22",34.299999
"98","2007-05-23",33.950001
"99","2007-05-24",33.599998
"100","2007-05-25",33.25
"101","2007-05-29",34.299999
"102","2007-05-30",35.700001
"103","2007-05-31",48.650002
"104","2007-06-01",40.599998
"105","2007-06-04",38.150002
"106","2007-06-05",37.450001
"107","2007-06-06",36.400002
"108","2007-06-07",36.049999
"109","2007-06-08",37.099998
"110","2007-06-11",36.049999
"111","2007-06-12",35
"112","2007-06-13",34.299999
"113","2007-06-14",33.599998
"114","2007-06-15",35
"115","2007-06-18",34.299999
"116","2007-06-19",33.950001
"117","2007-06-20",33.25
"118","2007-06-21",33.950001
"119","2007-06-22",32.900002
