"","date","DRRX"
"1","2007-01-03",4.39
"2","2007-01-04",4.47
"3","2007-01-05",4.4
"4","2007-01-08",4.36
"5","2007-01-09",4.39
"6","2007-01-10",4.3
"7","2007-01-11",4.34
"8","2007-01-12",4.4
"9","2007-01-16",4.34
"10","2007-01-17",4.5
"11","2007-01-18",4.45
"12","2007-01-19",4.49
"13","2007-01-22",4.44
"14","2007-01-23",4.45
"15","2007-01-24",4.56
"16","2007-01-25",4.36
"17","2007-01-26",4.46
"18","2007-01-29",4.57
"19","2007-01-30",4.59
"20","2007-01-31",4.42
"21","2007-02-01",4.5
"22","2007-02-02",4.44
"23","2007-02-05",4.35
"24","2007-02-06",4.36
"25","2007-02-07",4.38
"26","2007-02-08",4.44
"27","2007-02-09",4.42
"28","2007-02-12",4.33
"29","2007-02-13",4.25
"30","2007-02-14",4.26
"31","2007-02-15",4.22
"32","2007-02-16",4.17
"33","2007-02-20",4.26
"34","2007-02-21",4.13
"35","2007-02-22",4.12
"36","2007-02-23",4.15
"37","2007-02-26",4.16
"38","2007-02-27",3.91
"39","2007-02-28",4.03
"40","2007-03-01",3.99
"41","2007-03-02",3.92
"42","2007-03-05",3.89
"43","2007-03-06",4.14
"44","2007-03-07",4.03
"45","2007-03-08",4.02
"46","2007-03-09",4
"47","2007-03-12",4.02
"48","2007-03-13",3.92
"49","2007-03-14",3.92
"50","2007-03-15",4
"51","2007-03-16",3.94
"52","2007-03-19",3.97
"53","2007-03-20",3.92
"54","2007-03-21",4.15
"55","2007-03-22",4.07
"56","2007-03-23",4.21
"57","2007-03-26",4.22
"58","2007-03-27",4.04
"59","2007-03-28",4.05
"60","2007-03-29",4.13
"61","2007-03-30",4.16
"62","2007-04-02",4.19
"63","2007-04-03",4.33
"64","2007-04-04",4.39
"65","2007-04-05",4.43
"66","2007-04-09",4.52
"67","2007-04-10",4.45
"68","2007-04-11",4.48
"69","2007-04-12",4.68
"70","2007-04-13",4.7
"71","2007-04-16",4.87
