"","date","HOOK"
"1","2019-04-18",14
"2","2019-04-22",14
"3","2019-04-23",13.75
"4","2019-04-24",14
"5","2019-04-25",14.15
"6","2019-04-26",14
"7","2019-04-29",14
"8","2019-04-30",14.02
"9","2019-05-01",14
"10","2019-05-02",13.79
"11","2019-05-03",13.9
"12","2019-05-06",13.75
"13","2019-05-07",13.95
"14","2019-05-08",13.77
"15","2019-05-09",13.84
"16","2019-05-10",13.85
"17","2019-05-13",13.79
"18","2019-05-14",13.81
"19","2019-05-15",13.25
"20","2019-05-16",12.83
"21","2019-05-17",11.67
"22","2019-05-20",11.82
"23","2019-05-21",10.29
"24","2019-05-22",9.56
"25","2019-05-23",9.26
"26","2019-05-24",9.15
"27","2019-05-28",9.45
"28","2019-05-29",8.52
"29","2019-05-30",8.3
"30","2019-05-31",8.58
"31","2019-06-03",8.03
"32","2019-06-04",9.77
"33","2019-06-05",8.05
"34","2019-06-06",7.76
"35","2019-06-07",7.56
"36","2019-06-10",8.11
"37","2019-06-11",8.8
"38","2019-06-12",9.26
"39","2019-06-13",9.67
"40","2019-06-14",8.85
"41","2019-06-17",8.19
"42","2019-06-18",8.2
"43","2019-06-19",7.8
"44","2019-06-20",7.66
"45","2019-06-21",7.35
"46","2019-06-24",6.51
"47","2019-06-25",6.4
"48","2019-06-26",6.16
"49","2019-06-27",6.5
"50","2019-06-28",6.73
"51","2019-07-01",6.73
"52","2019-07-02",6.76
"53","2019-07-03",6.71
"54","2019-07-05",6.72
"55","2019-07-08",6.56
"56","2019-07-09",6.67
"57","2019-07-10",6.84
"58","2019-07-11",6.68
"59","2019-07-12",8.21
"60","2019-07-15",7.45
"61","2019-07-16",6.78
"62","2019-07-17",7.51
"63","2019-07-18",7.16
"64","2019-07-19",7.54
"65","2019-07-22",6.91
"66","2019-07-23",6.78
"67","2019-07-24",7.18
"68","2019-07-25",6.45
"69","2019-07-26",6.61
"70","2019-07-29",6.48
"71","2019-07-30",7.25
"72","2019-07-31",7.29
"73","2019-08-01",7.31
"74","2019-08-02",7.15
"75","2019-08-05",6.78
"76","2019-08-06",6.64
"77","2019-08-07",6.7
"78","2019-08-08",6.75
"79","2019-08-09",7.01
"80","2019-08-12",7.04
"81","2019-08-13",7
"82","2019-08-14",7
"83","2019-08-15",6.99
"84","2019-08-16",7.28
"85","2019-08-19",7.3
"86","2019-08-20",7.7
"87","2019-08-21",7.9
"88","2019-08-22",8.17
"89","2019-08-23",8.1
"90","2019-08-26",7.82
"91","2019-08-27",7.29
"92","2019-08-28",7.31
"93","2019-08-29",8
"94","2019-08-30",8.44
"95","2019-09-03",8.42
"96","2019-09-04",8.42
"97","2019-09-05",8.29
"98","2019-09-06",8.14
"99","2019-09-09",7.82
"100","2019-09-10",7.42
"101","2019-09-11",7.88
"102","2019-09-12",7.6
"103","2019-09-13",7.58
"104","2019-09-16",7.64
"105","2019-09-17",7.7
"106","2019-09-18",8
"107","2019-09-19",8.02
"108","2019-09-20",7.92
"109","2019-09-23",7.89
"110","2019-09-24",7.89
"111","2019-09-25",7.87
"112","2019-09-26",7.76
"113","2019-09-27",7.53
"114","2019-09-30",7.5
"115","2019-10-01",7.46
"116","2019-10-02",7.11
"117","2019-10-03",6.93
"118","2019-10-04",7.06
"119","2019-10-07",7.05
"120","2019-10-08",6.76
"121","2019-10-09",6.79
"122","2019-10-10",6.51
"123","2019-10-11",6.62
"124","2019-10-14",6.54
"125","2019-10-15",7.13
"126","2019-10-16",7.72
"127","2019-10-17",8.38
"128","2019-10-18",8.27
"129","2019-10-21",8.21
"130","2019-10-22",8.22
"131","2019-10-23",8.21
"132","2019-10-24",8.41
"133","2019-10-25",8.4
"134","2019-10-28",8.45
"135","2019-10-29",8.22
"136","2019-10-30",8.22
"137","2019-10-31",8.18
"138","2019-11-01",8.34
"139","2019-11-04",7.88
"140","2019-11-05",7.47
"141","2019-11-06",7.89
"142","2019-11-07",8.36
"143","2019-11-08",7.97
"144","2019-11-11",8.2
"145","2019-11-12",8.13
"146","2019-11-13",8.38
"147","2019-11-14",7.8
"148","2019-11-15",7.37
"149","2019-11-18",7.81
"150","2019-11-19",8.02
"151","2019-11-20",8.36
"152","2019-11-21",8.45
"153","2019-11-22",8.45
"154","2019-11-25",8.86
"155","2019-11-26",9.02
"156","2019-11-27",9.21
"157","2019-11-29",10.11
"158","2019-12-02",9.72
"159","2019-12-03",9.1
"160","2019-12-04",9.46
"161","2019-12-05",9.5
"162","2019-12-06",8.21
"163","2019-12-09",7.34
"164","2019-12-10",7.5
"165","2019-12-11",7.52
"166","2019-12-12",7.73
"167","2019-12-13",7.67
"168","2019-12-16",7.7
"169","2019-12-17",8.01
"170","2019-12-18",9.96
"171","2019-12-19",9.92
"172","2019-12-20",10.51
"173","2019-12-23",12.08
"174","2019-12-24",12
"175","2019-12-26",12.2
"176","2019-12-27",11.94
"177","2019-12-30",12.17
"178","2019-12-31",12.23
"179","2020-01-02",12.15
"180","2020-01-03",11.96
"181","2020-01-06",12.22
"182","2020-01-07",11.45
"183","2020-01-08",11.63
"184","2020-01-09",11.26
"185","2020-01-10",11.26
"186","2020-01-13",11.25
"187","2020-01-14",11.51
"188","2020-01-15",11.16
"189","2020-01-16",11.25
"190","2020-01-17",11.19
"191","2020-01-21",12.2
"192","2020-01-22",12.04
"193","2020-01-23",13.8
"194","2020-01-24",12.06
"195","2020-01-27",13
"196","2020-01-28",12.41
"197","2020-01-29",12.75
"198","2020-01-30",12.66
"199","2020-01-31",12
"200","2020-02-03",12.59
"201","2020-02-04",12.95
"202","2020-02-05",13.69
"203","2020-02-06",12.56
"204","2020-02-07",13.13
"205","2020-02-10",12.72
"206","2020-02-11",12.49
"207","2020-02-12",12.04
"208","2020-02-13",12
"209","2020-02-14",12.04
"210","2020-02-18",12.3
"211","2020-02-19",12.02
"212","2020-02-20",11.97
"213","2020-02-21",11.99
"214","2020-02-24",11.81
"215","2020-02-25",11.73
"216","2020-02-26",11.73
"217","2020-02-27",10.82
"218","2020-02-28",9.92
"219","2020-03-02",11.83
"220","2020-03-03",11.83
"221","2020-03-04",12
"222","2020-03-05",11.45
"223","2020-03-06",11.15
