"","date","SQBG"
"1","2007-01-03",672
"2","2007-01-04",630
"3","2007-01-05",648
"4","2007-01-08",546
"5","2007-01-09",558
"6","2007-01-10",570
"7","2007-01-11",558
"8","2007-01-12",558
"9","2007-01-16",558
"10","2007-01-17",552
"11","2007-01-18",480
"12","2007-01-19",510
"13","2007-01-22",480
"14","2007-01-23",510
"15","2007-01-24",570
"16","2007-01-25",570
"17","2007-01-26",588
"18","2007-01-29",600
"19","2007-01-30",570
"20","2007-01-31",588
"21","2007-02-01",570
"22","2007-02-02",570
"23","2007-02-05",570
"24","2007-02-06",504
"25","2007-02-07",600
"26","2007-02-08",576
"27","2007-02-09",510
"28","2007-02-12",510
"29","2007-02-13",480
"30","2007-02-14",480
"31","2007-02-15",480
"32","2007-02-16",480
"33","2007-02-20",480
"34","2007-02-21",570
"35","2007-02-22",570
"36","2007-02-23",570
"37","2007-02-26",600
"38","2007-02-27",552
"39","2007-02-28",552
"40","2007-03-01",552
"41","2007-03-02",552
"42","2007-03-05",552
"43","2007-03-06",540
"44","2007-03-07",498
"45","2007-03-08",510
"46","2007-03-09",450
"47","2007-03-12",486
"48","2007-03-13",492
"49","2007-03-14",450
"50","2007-03-15",450
"51","2007-03-16",468
"52","2007-03-19",468
"53","2007-03-20",468
"54","2007-03-21",468
"55","2007-03-22",450
"56","2007-03-23",402
"57","2007-03-26",402
"58","2007-03-27",414
"59","2007-03-28",414
"60","2007-03-29",414
"61","2007-03-30",480
"62","2007-04-02",390
"63","2007-04-03",348
"64","2007-04-04",330
"65","2007-04-05",312
"66","2007-04-09",366
"67","2007-04-10",360
"68","2007-04-11",426
"69","2007-04-12",426
"70","2007-04-13",426
"71","2007-04-16",426
"72","2007-04-17",420
"73","2007-04-18",354
"74","2007-04-19",354
"75","2007-04-20",360
"76","2007-04-23",372
"77","2007-04-24",390
"78","2007-04-25",372
"79","2007-04-26",372
"80","2007-04-27",372
"81","2007-04-30",390
"82","2007-05-01",336
"83","2007-05-02",330
"84","2007-05-03",360
"85","2007-05-04",348
"86","2007-05-07",360
"87","2007-05-08",360
"88","2007-05-09",480
"89","2007-05-10",480
"90","2007-05-11",450
"91","2007-05-14",450
"92","2007-05-15",450
"93","2007-05-16",420
"94","2007-05-17",348
"95","2007-05-18",348
"96","2007-05-21",330
"97","2007-05-22",348
"98","2007-05-23",360
"99","2007-05-24",480
"100","2007-05-25",450
"101","2007-05-29",360
"102","2007-05-30",330
"103","2007-05-31",306
"104","2007-06-01",330
"105","2007-06-04",330
"106","2007-06-05",276
"107","2007-06-06",306
"108","2007-06-07",306
"109","2007-06-08",318
"110","2007-06-11",288
"111","2007-06-12",300
