"","date","SVBI"
"1","2007-01-03",17.200001
"2","2007-01-04",17.390909
"3","2007-01-05",17
"4","2007-01-08",17.127274
"5","2007-01-09",17.127274
"6","2007-01-10",17.127274
"7","2007-01-11",17.372726
"8","2007-01-12",16.918182
"9","2007-01-16",17.772728
"10","2007-01-17",17.927273
"11","2007-01-18",18.218182
"12","2007-01-19",18.636364
"13","2007-01-22",18.9
"14","2007-01-23",18.727272
"15","2007-01-24",18
"16","2007-01-25",18.345455
"17","2007-01-26",18.654545
"18","2007-01-29",18.545454
"19","2007-01-30",18.49091
"20","2007-01-31",18.5
"21","2007-02-01",19.09091
"22","2007-02-02",19.545454
"23","2007-02-05",20.118181
"24","2007-02-06",20.290909
"25","2007-02-07",20.9
"26","2007-02-08",20.827272
"27","2007-02-09",21.818182
"28","2007-02-12",21.363636
"29","2007-02-13",21.309092
"30","2007-02-14",21.1
"31","2007-02-15",21.181818
"32","2007-02-16",21.027273
"33","2007-02-20",20.90909
"34","2007-02-21",21.172728
"35","2007-02-22",21.136364
"36","2007-02-23",21.136364
"37","2007-02-26",21.163637
"38","2007-02-27",20.281818
"39","2007-02-28",20.454546
"40","2007-03-01",19.272728
"41","2007-03-02",19.718182
"42","2007-03-05",19.936363
"43","2007-03-06",19.781818
"44","2007-03-07",19.754545
"45","2007-03-08",19.245455
"46","2007-03-09",19.363636
"47","2007-03-12",20.345455
"48","2007-03-13",21.030001
"49","2007-03-14",20
"50","2007-03-15",20.07
"51","2007-03-16",20.09
"52","2007-03-19",20.18
"53","2007-03-20",19.75
"54","2007-03-21",19.6
"55","2007-03-22",20.32
"56","2007-03-23",20.059999
"57","2007-03-26",20.280001
"58","2007-03-27",20.25
"59","2007-03-28",19.690001
"60","2007-03-29",19.969999
"61","2007-03-30",20.209999
"62","2007-04-02",20.23
"63","2007-04-03",19.9
"64","2007-04-04",19.75
"65","2007-04-05",19.6
"66","2007-04-09",18.6
"67","2007-04-10",18.879999
"68","2007-04-11",18.959999
"69","2007-04-12",18.950001
"70","2007-04-13",18.860001
"71","2007-04-16",18.790001
"72","2007-04-17",18
"73","2007-04-18",17.75
"74","2007-04-19",17.9
"75","2007-04-20",18.139999
"76","2007-04-23",18.15
"77","2007-04-24",17.9
"78","2007-04-25",17.9
"79","2007-04-26",18.040001
"80","2007-04-27",18.549999
"81","2007-04-30",18.530001
"82","2007-05-01",18.639999
"83","2007-05-02",18.639999
"84","2007-05-03",19
"85","2007-05-04",18.450001
"86","2007-05-07",18.82
"87","2007-05-08",18.82
"88","2007-05-09",18.5
"89","2007-05-10",17.860001
"90","2007-05-11",18.219999
"91","2007-05-14",18.1
"92","2007-05-15",18.1
"93","2007-05-16",18.1
"94","2007-05-17",17.940001
"95","2007-05-18",18.1
"96","2007-05-21",17.67
"97","2007-05-22",18.190001
"98","2007-05-23",17.82
"99","2007-05-24",17.809999
"100","2007-05-25",18.17
"101","2007-05-29",18.01
"102","2007-05-30",18.01
"103","2007-05-31",17.85
"104","2007-06-01",17.6
"105","2007-06-04",17.959999
"106","2007-06-05",17.790001
"107","2007-06-06",17.799999
"108","2007-06-07",17.4
"109","2007-06-08",17.48
"110","2007-06-11",17.200001
"111","2007-06-12",17.379999
"112","2007-06-13",17.379999
"113","2007-06-14",17.549999
"114","2007-06-15",17.549999
"115","2007-06-18",17.469999
"116","2007-06-19",17.309999
"117","2007-06-20",17.08
"118","2007-06-21",17.15
"119","2007-06-22",17.15
"120","2007-06-25",16.6
"121","2007-06-26",16.700001
"122","2007-06-27",16.709999
"123","2007-06-28",16.26
"124","2007-06-29",16.33
"125","2007-07-02",15.75
"126","2007-07-03",15.75
"127","2007-07-05",15.75
"128","2007-07-06",15.73
"129","2007-07-09",15.66
"130","2007-07-10",15.38
"131","2007-07-11",15.34
"132","2007-07-12",14.85
"133","2007-07-13",14.85
"134","2007-07-16",16.51
"135","2007-07-17",16.950001
"136","2007-07-18",16.33
"137","2007-07-19",16.25
"138","2007-07-20",16.33
"139","2007-07-23",16.1
"140","2007-07-24",15.64
"141","2007-07-25",15.13
"142","2007-07-26",15.28
"143","2007-07-27",15.62
"144","2007-07-30",15.43
"145","2007-07-31",16.299999
"146","2007-08-01",16.299999
"147","2007-08-02",16.700001
"148","2007-08-03",15.65
"149","2007-08-06",15.1
"150","2007-08-07",13.6
"151","2007-08-08",13.09
"152","2007-08-09",14
"153","2007-08-10",13.8
"154","2007-08-13",13.01
"155","2007-08-14",13.1
"156","2007-08-15",12.88
"157","2007-08-16",12.81
"158","2007-08-17",13.2
"159","2007-08-20",13.29
"160","2007-08-21",13.99
"161","2007-08-22",13.89
"162","2007-08-23",14.28
"163","2007-08-24",14.28
"164","2007-08-27",14.19
"165","2007-08-28",14.19
"166","2007-08-29",13.85
"167","2007-08-30",13.65
"168","2007-08-31",13.43
"169","2007-09-04",13.28
"170","2007-09-05",13.46
"171","2007-09-06",13.25
"172","2007-09-07",13.22
"173","2007-09-10",13
"174","2007-09-11",12.95
"175","2007-09-12",12.95
"176","2007-09-13",13
"177","2007-09-14",12.8
"178","2007-09-17",12.8
"179","2007-09-18",12.93
"180","2007-09-19",12.89
