"","date","MG"
"1","2009-10-08",12.58
"2","2009-10-09",12.65
"3","2009-10-12",12.7
"4","2009-10-13",12.85
"5","2009-10-14",13.27
"6","2009-10-15",13.62
"7","2009-10-16",13.51
"8","2009-10-19",13.99
"9","2009-10-20",13.7
"10","2009-10-21",13.18
"11","2009-10-22",13
"12","2009-10-23",12.99
"13","2009-10-26",12.79
"14","2009-10-27",12.29
"15","2009-10-28",11.45
"16","2009-10-29",11.96
"17","2009-10-30",11.56
"18","2009-11-02",11.8
"19","2009-11-03",11.83
"20","2009-11-04",12.01
"21","2009-11-05",12.43
"22","2009-11-06",12.22
"23","2009-11-09",12.69
"24","2009-11-10",12.45
"25","2009-11-11",12.5
"26","2009-11-12",12.2
"27","2009-11-13",12.33
"28","2009-11-16",12.54
"29","2009-11-17",12.51
"30","2009-11-18",12.9
"31","2009-11-19",12.72
"32","2009-11-20",12.37
"33","2009-11-23",12.47
"34","2009-11-24",12.19
"35","2009-11-25",12.22
"36","2009-11-27",12.35
"37","2009-11-30",12.19
"38","2009-12-01",12.15
"39","2009-12-02",12.11
"40","2009-12-03",11.9
"41","2009-12-04",11.98
"42","2009-12-07",12.48
"43","2009-12-08",12.49
"44","2009-12-09",12.5
"45","2009-12-10",12.59
"46","2009-12-11",12.6
"47","2009-12-14",12.93
"48","2009-12-15",13.63
"49","2009-12-16",13.98
"50","2009-12-17",13.81
"51","2009-12-18",13.64
"52","2009-12-21",13.85
"53","2009-12-22",13.95
"54","2009-12-23",14.25
"55","2009-12-24",14.5
"56","2009-12-28",14.67
"57","2009-12-29",14.72
"58","2009-12-30",14.85
"59","2009-12-31",15.06
"60","2010-01-04",14.9
"61","2010-01-05",14.69
"62","2010-01-06",14.46
"63","2010-01-07",14.49
"64","2010-01-08",14.46
"65","2010-01-11",14.4
"66","2010-01-12",13.93
"67","2010-01-13",14.03
"68","2010-01-14",14.13
"69","2010-01-15",14.09
"70","2010-01-19",14.5
"71","2010-01-20",14.45
"72","2010-01-21",14.27
"73","2010-01-22",14.28
"74","2010-01-25",14.35
"75","2010-01-26",14.24
"76","2010-01-27",14.48
"77","2010-01-28",14.44
"78","2010-01-29",14.5
"79","2010-02-01",14.38
"80","2010-02-02",14.09
"81","2010-02-03",14.06
"82","2010-02-04",13.42
"83","2010-02-05",13.34
"84","2010-02-08",13.27
"85","2010-02-09",13.7
"86","2010-02-10",13.45
"87","2010-02-11",13.85
"88","2010-02-12",13.98
"89","2010-02-16",14.23
"90","2010-02-17",14.37
"91","2010-02-18",14.56
"92","2010-02-19",14.48
"93","2010-02-22",14.24
