"","date","SNOW"
"1","2020-09-16",253.929993
"2","2020-09-17",227.539993
"3","2020-09-18",240
"4","2020-09-21",228.850006
"5","2020-09-22",235.160004
"6","2020-09-23",217.389999
"7","2020-09-24",226.740005
"8","2020-09-25",229
"9","2020-09-28",250.410004
"10","2020-09-29",259.130005
"11","2020-09-30",251
"12","2020-10-01",243.460007
"13","2020-10-02",227.100006
"14","2020-10-05",240
"15","2020-10-06",245.100006
"16","2020-10-07",246
"17","2020-10-08",240.190002
"18","2020-10-09",238
"19","2020-10-12",243.970001
"20","2020-10-13",249.610001
"21","2020-10-14",243.179993
"22","2020-10-15",241
"23","2020-10-16",242.520004
"24","2020-10-19",246.779999
"25","2020-10-20",251.770004
"26","2020-10-21",270.609985
"27","2020-10-22",297.089996
"28","2020-10-23",265.049988
"29","2020-10-26",251.389999
"30","2020-10-27",266.769989
"31","2020-10-28",272.440002
"32","2020-10-29",265.880005
"33","2020-10-30",250.020004
"34","2020-11-02",252.229996
"35","2020-11-03",262.130005
"36","2020-11-04",263.910004
"37","2020-11-05",263.209991
"38","2020-11-06",265
"39","2020-11-09",239.839996
"40","2020-11-10",235.679993
"41","2020-11-11",240.759995
"42","2020-11-12",235.380005
"43","2020-11-13",234.800003
"44","2020-11-16",241.850006
"45","2020-11-17",248.029999
"46","2020-11-18",260.540009
"47","2020-11-19",264
"48","2020-11-20",266
"49","2020-11-23",274.149994
"50","2020-11-24",282.100006
"51","2020-11-25",303.019989
"52","2020-11-27",328.790009
