"","date","TZACU"
"1","2018-08-21",10.03
"2","2018-08-22",10.03
"3","2018-08-23",10.03
"4","2018-08-24",10.03
"5","2018-08-27",10.03
"6","2018-08-28",10.03
"7","2018-08-29",10.05
"8","2018-08-30",10.05
"9","2018-08-31",10.05
"10","2018-09-04",10.05
"11","2018-09-05",10.05
"12","2018-09-06",10.05
"13","2018-09-07",10.05
"14","2018-09-10",10.04
"15","2018-09-11",10.04
"16","2018-09-12",10.05
"17","2018-09-13",10.06
"18","2018-09-14",10.06
"19","2018-09-17",10.03
"20","2018-09-18",10.09
"21","2018-09-19",10.1
"22","2018-09-20",10.05
"23","2018-09-21",10.07
"24","2018-09-24",10.1
"25","2018-09-25",10.09
"26","2018-09-26",10.06
"27","2018-09-27",10.07
"28","2018-09-28",10.07
"29","2018-10-01",10.07
"30","2018-10-02",10.07
"31","2018-10-03",10.05
"32","2018-10-04",10.04
"33","2018-10-05",10.05
"34","2018-10-08",10.09
"35","2018-10-09",10.08
"36","2018-10-10",10.08
"37","2018-10-11",10.07
"38","2018-10-12",10.05
"39","2018-10-15",10.06
"40","2018-10-16",10.11
"41","2018-10-17",10.1
"42","2018-10-18",10.06
"43","2018-10-19",10.09
"44","2018-10-22",10.12
"45","2018-10-23",10.14
"46","2018-10-24",10.14
"47","2018-10-25",10.14
"48","2018-10-26",10.14
"49","2018-10-29",10.13
"50","2018-10-30",10.13
"51","2018-10-31",10.15
"52","2018-11-01",10.13
"53","2018-11-02",10.13
"54","2018-11-05",10.13
"55","2018-11-06",10.11
"56","2018-11-07",10.11
"57","2018-11-08",10.12
"58","2018-11-09",10.12
"59","2018-11-12",10.12
"60","2018-11-13",10.12
"61","2018-11-14",10.12
"62","2018-11-15",10.1
"63","2018-11-16",10.12
"64","2018-11-19",10.11
"65","2018-11-20",10.08
"66","2018-11-21",10.07
"67","2018-11-23",10.07
"68","2018-11-26",10.02
"69","2018-11-27",10.02
"70","2018-11-28",10.02
"71","2018-11-29",10.08
"72","2018-11-30",10.07
"73","2018-12-03",10.07
"74","2018-12-04",10.07
"75","2018-12-06",10.06
"76","2018-12-07",10.06
"77","2018-12-10",10.06
"78","2018-12-11",10.06
"79","2018-12-12",10.06
"80","2018-12-13",10.05
"81","2018-12-14",10.06
"82","2018-12-17",10.07
"83","2018-12-18",10.07
