"","date","PSTV"
"1","2007-01-03",48000
"2","2007-01-04",44250
"3","2007-01-05",39600
"4","2007-01-08",40950
"5","2007-01-09",41775
"6","2007-01-10",39450
"7","2007-01-11",41325
"8","2007-01-12",45150
"9","2007-01-16",43500
"10","2007-01-17",43575
"11","2007-01-18",42000
"12","2007-01-19",40500
"13","2007-01-22",42000
"14","2007-01-23",42225
"15","2007-01-24",40875
"16","2007-01-25",43800
"17","2007-01-26",44025
"18","2007-01-29",43950
"19","2007-01-30",43350
"20","2007-01-31",43800
"21","2007-02-01",44625
"22","2007-02-02",44250
"23","2007-02-05",43800
"24","2007-02-06",43500
"25","2007-02-07",42450
"26","2007-02-08",42675
"27","2007-02-09",43350
"28","2007-02-12",48300
"29","2007-02-13",46350
"30","2007-02-14",46125
"31","2007-02-15",42825
"32","2007-02-16",44400
"33","2007-02-20",45600
"34","2007-02-21",43875
"35","2007-02-22",42600
"36","2007-02-23",43650
"37","2007-02-26",40800
"38","2007-02-27",40200
"39","2007-02-28",42225
"40","2007-03-01",41025
"41","2007-03-02",39375
"42","2007-03-05",37125
"43","2007-03-06",37650
"44","2007-03-07",37425
"45","2007-03-08",36225
"46","2007-03-09",36225
"47","2007-03-12",35325
"48","2007-03-13",34875
"49","2007-03-14",34950
"50","2007-03-15",34950
"51","2007-03-16",35250
"52","2007-03-19",35250
"53","2007-03-20",35250
"54","2007-03-21",36150
"55","2007-03-22",36750
"56","2007-03-23",36300
"57","2007-03-26",36750
"58","2007-03-27",37800
"59","2007-03-28",40500
"60","2007-03-29",44550
"61","2007-03-30",43500
"62","2007-04-02",40875
"63","2007-04-03",40650
"64","2007-04-04",42300
"65","2007-04-05",44625
"66","2007-04-09",46725
"67","2007-04-10",45450
"68","2007-04-11",44475
"69","2007-04-12",45000
"70","2007-04-13",45450
"71","2007-04-16",44175
"72","2007-04-17",43725
"73","2007-04-18",41775
"74","2007-04-19",42225
"75","2007-04-20",42375
"76","2007-04-23",41850
"77","2007-04-24",42375
"78","2007-04-25",42450
"79","2007-04-26",42375
"80","2007-04-27",42225
"81","2007-04-30",42375
"82","2007-05-01",43500
"83","2007-05-02",44325
"84","2007-05-03",44250
"85","2007-05-04",41250
"86","2007-05-07",44400
"87","2007-05-08",44925
"88","2007-05-09",45150
"89","2007-05-10",44625
"90","2007-05-11",43050
"91","2007-05-14",43050
"92","2007-05-15",42525
"93","2007-05-16",43500
"94","2007-05-17",44100
"95","2007-05-18",43725
"96","2007-05-21",43950
"97","2007-05-22",44775
"98","2007-05-23",44175
"99","2007-05-24",43800
"100","2007-05-25",44250
"101","2007-05-29",45000
"102","2007-05-30",45825
"103","2007-05-31",46050
"104","2007-06-01",46650
"105","2007-06-04",46650
"106","2007-06-05",46275
"107","2007-06-06",49425
"108","2007-06-07",45900
"109","2007-06-08",45000
"110","2007-06-11",44250
"111","2007-06-12",42900
"112","2007-06-13",44625
"113","2007-06-14",43725
"114","2007-06-15",43800
"115","2007-06-18",44025
"116","2007-06-19",43200
"117","2007-06-20",43950
"118","2007-06-21",43050
"119","2007-06-22",43125
"120","2007-06-25",42675
"121","2007-06-26",43125
"122","2007-06-27",42975
"123","2007-06-28",43125
"124","2007-06-29",43125
"125","2007-07-02",43125
"126","2007-07-03",42675
"127","2007-07-05",43875
"128","2007-07-06",43800
"129","2007-07-09",43125
"130","2007-07-10",44475
"131","2007-07-11",43125
"132","2007-07-12",43125
"133","2007-07-13",45225
"134","2007-07-16",44625
"135","2007-07-17",45750
"136","2007-07-18",48075
"137","2007-07-19",48750
"138","2007-07-20",49725
"139","2007-07-23",49650
"140","2007-07-24",47100
"141","2007-07-25",45825
"142","2007-07-26",46650
"143","2007-07-27",45525
"144","2007-07-30",43950
"145","2007-07-31",45300
"146","2007-08-01",43725
"147","2007-08-02",44400
"148","2007-08-03",43350
"149","2007-08-06",42900
"150","2007-08-07",43950
"151","2007-08-08",45075
"152","2007-08-09",44775
"153","2007-08-10",43275
"154","2007-08-13",44625
"155","2007-08-14",46425
"156","2007-08-15",41850
"157","2007-08-16",41100
"158","2007-08-17",39600
"159","2007-08-20",39675
"160","2007-08-21",40200
"161","2007-08-22",39375
"162","2007-08-23",40200
"163","2007-08-24",38625
"164","2007-08-27",36375
"165","2007-08-28",37350
"166","2007-08-29",38325
"167","2007-08-30",39225
"168","2007-08-31",38475
"169","2007-09-04",39000
"170","2007-09-05",38175
"171","2007-09-06",41325
"172","2007-09-07",40500
"173","2007-09-10",44175
"174","2007-09-11",42525
"175","2007-09-12",42150
"176","2007-09-13",42225
"177","2007-09-14",40800
"178","2007-09-17",40950
"179","2007-09-18",41025
"180","2007-09-19",42900
"181","2007-09-20",42600
"182","2007-09-21",42900
"183","2007-09-24",42000
"184","2007-09-25",44700
"185","2007-09-26",45300
"186","2007-09-27",44925
"187","2007-09-28",45375
"188","2007-10-01",47550
"189","2007-10-02",46200
"190","2007-10-03",46125
"191","2007-10-04",48225
"192","2007-10-05",47625
"193","2007-10-08",46875
"194","2007-10-09",47175
"195","2007-10-10",48000
"196","2007-10-11",45675
"197","2007-10-12",45300
"198","2007-10-15",45300
"199","2007-10-16",45225
"200","2007-10-17",44475
