"","date","CNST"
"1","2018-07-19",11.5
"2","2018-07-20",11.89
"3","2018-07-23",11.49
"4","2018-07-24",11.45
"5","2018-07-25",11.62
"6","2018-07-26",11.4
"7","2018-07-27",11.39
"8","2018-07-30",11.29
"9","2018-07-31",11.06
"10","2018-08-01",10.8
"11","2018-08-02",10.47
"12","2018-08-03",10.42
"13","2018-08-06",10.59
"14","2018-08-07",10.3
"15","2018-08-08",10.19
"16","2018-08-09",9.87
"17","2018-08-10",9.85
"18","2018-08-13",9.9
"19","2018-08-14",11
"20","2018-08-15",10.63
"21","2018-08-16",10.61
"22","2018-08-17",10.45
"23","2018-08-20",9.99
"24","2018-08-21",10.24
"25","2018-08-22",10.22
"26","2018-08-23",10.19
"27","2018-08-24",9.9
"28","2018-08-27",9.95
"29","2018-08-28",9.91
"30","2018-08-29",9.67
"31","2018-08-30",10.25
"32","2018-08-31",10.41
"33","2018-09-04",9.05
"34","2018-09-05",9.1
"35","2018-09-06",8.71
"36","2018-09-07",8.05
"37","2018-09-10",7.89
"38","2018-09-11",7.64
"39","2018-09-12",7.45
"40","2018-09-13",7.55
"41","2018-09-14",7.25
"42","2018-09-17",7.65
"43","2018-09-18",6.5
"44","2018-09-19",7
"45","2018-09-20",7.83
"46","2018-09-21",8.22
"47","2018-09-24",7.99
"48","2018-09-25",7.81
"49","2018-09-26",7.76
"50","2018-09-27",6.8
"51","2018-09-28",6.73
"52","2018-10-01",6.72
"53","2018-10-02",6.79
"54","2018-10-03",6.89
"55","2018-10-04",6.7
"56","2018-10-05",6.9
"57","2018-10-08",6.8
"58","2018-10-09",6.8
"59","2018-10-10",6.57
"60","2018-10-11",6.83
"61","2018-10-12",6.92
"62","2018-10-15",6.87
"63","2018-10-16",6.88
"64","2018-10-17",6.75
"65","2018-10-18",7.12
"66","2018-10-19",7.07
"67","2018-10-22",6.86
"68","2018-10-23",6.58
"69","2018-10-24",6.01
"70","2018-10-25",6.07
"71","2018-10-26",6.36
"72","2018-10-29",6.47
"73","2018-10-30",5.91
"74","2018-10-31",6.18
"75","2018-11-01",5.91
"76","2018-11-02",6.23
"77","2018-11-05",6.15
"78","2018-11-06",5.97
"79","2018-11-07",6
"80","2018-11-08",6.09
"81","2018-11-09",5.86
"82","2018-11-12",5.66
"83","2018-11-13",5.74
"84","2018-11-14",5.76
"85","2018-11-15",5.75
"86","2018-11-16",5.74
"87","2018-11-19",5.79
"88","2018-11-20",5.78
"89","2018-11-21",5.85
"90","2018-11-23",5.99
"91","2018-11-26",5.76
"92","2018-11-27",5.62
"93","2018-11-28",5.74
"94","2018-11-29",5.87
"95","2018-11-30",5.9
"96","2018-12-03",6.01
"97","2018-12-04",5.93
"98","2018-12-06",6
"99","2018-12-07",5.99
"100","2018-12-10",5.8
"101","2018-12-11",5.73
"102","2018-12-12",5.87
"103","2018-12-13",6.07
"104","2018-12-14",6.08
"105","2018-12-17",5.9
"106","2018-12-18",5.9
"107","2018-12-19",5.27
"108","2018-12-20",4.99
"109","2018-12-21",5.7
"110","2018-12-24",4.7
"111","2018-12-26",4.62
"112","2018-12-27",4.52
"113","2018-12-28",4.55
"114","2018-12-31",4.01
