"","date","BRPAU"
"1","2017-11-20",10.01
"2","2017-11-21",10.02
"3","2017-11-22",10.025
"4","2017-11-24",10.031
"5","2017-11-27",10.01
"6","2017-11-28",10.008
"7","2017-11-29",10
"8","2017-11-30",10.01
"9","2017-12-01",10
"10","2017-12-04",10
"11","2017-12-05",10.01
"12","2017-12-06",10.01
"13","2017-12-07",10.168
"14","2017-12-08",10.17
"15","2017-12-11",10.15
"16","2017-12-12",10.24
"17","2017-12-13",10.23
"18","2017-12-14",10.25
"19","2017-12-15",10.249
"20","2017-12-18",10.25
"21","2017-12-19",10.2
"22","2017-12-20",10.34
"23","2017-12-21",10.311
"24","2017-12-22",10.31
"25","2017-12-26",10.31
"26","2017-12-27",10.31
"27","2017-12-28",10.31
"28","2017-12-29",10.235
"29","2018-01-02",10.21
"30","2018-01-03",10.25
"31","2018-01-04",10.24
"32","2018-01-05",10.24
"33","2018-01-08",10.24
"34","2018-01-09",10.24
"35","2018-01-10",10.302
"36","2018-01-11",10.3
"37","2018-01-12",10.3
"38","2018-01-16",10.25
"39","2018-01-17",10.25
"40","2018-01-18",10.25
"41","2018-01-19",10.48
"42","2018-01-22",10.35
"43","2018-01-23",10.35
"44","2018-01-24",10.5
"45","2018-01-25",10.44
"46","2018-01-26",10.44
"47","2018-01-29",10.44
"48","2018-01-30",10.59
"49","2018-01-31",10.59
"50","2018-02-01",10.6
"51","2018-02-02",10.6
"52","2018-02-05",10.55
"53","2018-02-06",10.55
"54","2018-02-07",10.55
"55","2018-02-08",10.5
"56","2018-02-09",10.63
"57","2018-02-12",10.52
"58","2018-02-13",10.52
"59","2018-02-14",10.52
"60","2018-02-15",10.52
"61","2018-02-16",10.52
"62","2018-02-20",10.52
"63","2018-02-21",10.54
"64","2018-02-22",10.54
"65","2018-02-23",10.54
"66","2018-02-26",10.35
"67","2018-02-27",10.35
"68","2018-02-28",10.35
"69","2018-03-01",10.35
"70","2018-03-02",10.35
"71","2018-03-05",10.3
"72","2018-03-06",10.3
"73","2018-03-07",10.34
"74","2018-03-08",10.34
"75","2018-03-09",10.4
"76","2018-03-12",10.38
"77","2018-03-13",10.38
"78","2018-03-14",10.38
"79","2018-03-15",10.34
"80","2018-03-16",10.4
"81","2018-03-19",10.4
"82","2018-03-20",10.24
"83","2018-03-21",10.28
"84","2018-03-22",10.335
"85","2018-03-23",10.32
"86","2018-03-26",10.32
"87","2018-03-27",10.32
"88","2018-03-28",10.32
"89","2018-03-29",10.35
"90","2018-04-02",10.34
"91","2018-04-03",10.41
"92","2018-04-04",10.41
"93","2018-04-05",10.41
"94","2018-04-06",10.33
"95","2018-04-09",10.33
"96","2018-04-10",10.33
"97","2018-04-11",10.44
"98","2018-04-12",10.45
"99","2018-04-13",10.45
"100","2018-04-16",10.45
"101","2018-04-17",10.45
"102","2018-04-18",10.45
"103","2018-04-19",10.45
"104","2018-04-20",10.45
"105","2018-04-23",10.5
"106","2018-04-24",10.5
"107","2018-04-25",10.5
"108","2018-04-26",10.5
"109","2018-04-27",10.5
"110","2018-04-30",10.5
"111","2018-05-01",10.5
"112","2018-05-02",10.5
"113","2018-05-03",10.95
"114","2018-05-04",10.95
"115","2018-05-07",10.93
"116","2018-05-08",10.93
"117","2018-05-09",10.65
"118","2018-05-10",10.67
"119","2018-05-11",10.65
"120","2018-05-14",10.63
"121","2018-05-15",10.7
"122","2018-05-16",10.56
"123","2018-05-17",10.63
"124","2018-05-18",10.63
"125","2018-05-21",10.62
"126","2018-05-22",10.5
"127","2018-05-23",10.5
"128","2018-05-24",10.46
"129","2018-05-25",10.46
"130","2018-05-29",10.46
"131","2018-05-30",10.46
"132","2018-05-31",10.65
"133","2018-06-01",10.6
"134","2018-06-04",10.6
"135","2018-06-05",10.6
"136","2018-06-06",10.64
"137","2018-06-07",10.573
"138","2018-06-08",10.573
"139","2018-06-11",10.573
"140","2018-06-12",10.573
"141","2018-06-13",10.573
"142","2018-06-14",10.475
"143","2018-06-15",10.475
"144","2018-06-18",10.475
"145","2018-06-19",10.475
"146","2018-06-20",10.475
"147","2018-06-21",10.475
"148","2018-06-22",10.475
"149","2018-06-25",10.475
"150","2018-06-26",10.475
"151","2018-06-27",10.475
"152","2018-06-28",10.475
"153","2018-06-29",10.475
"154","2018-07-02",10.475
"155","2018-07-03",10.6
"156","2018-07-05",10.6
"157","2018-07-06",10.6
"158","2018-07-09",10.6
"159","2018-07-10",10.6
"160","2018-07-11",10.6
"161","2018-07-12",10.6
"162","2018-07-13",10.6
"163","2018-07-16",10.6
"164","2018-07-17",10.6
"165","2018-07-18",10.6
"166","2018-07-19",10.6
"167","2018-07-20",10.6
"168","2018-07-23",10.6
"169","2018-07-24",10.6
"170","2018-07-25",10.6
"171","2018-07-26",10.6
"172","2018-07-27",10.525
"173","2018-07-30",10.525
"174","2018-07-31",10.525
"175","2018-08-01",10.525
"176","2018-08-02",10.525
"177","2018-08-03",10.525
"178","2018-08-06",10.525
"179","2018-08-07",10.525
"180","2018-08-08",10.525
"181","2018-08-09",10.525
"182","2018-08-10",10.525
"183","2018-08-13",10.525
"184","2018-08-14",10.525
"185","2018-08-15",10.525
"186","2018-08-16",10.7
"187","2018-08-17",10.7
"188","2018-08-20",10.7
"189","2018-08-21",10.7
"190","2018-08-22",10.7
"191","2018-08-23",10.7
"192","2018-08-24",10.7
"193","2018-08-27",10.7
"194","2018-08-28",10.7
"195","2018-08-29",10.7
"196","2018-08-30",10.7
"197","2018-08-31",10.7
"198","2018-09-04",10.7
"199","2018-09-05",10.7
"200","2018-09-06",10.7
"201","2018-09-07",10.7
"202","2018-09-10",10.7
"203","2018-09-11",10.7
"204","2018-09-12",10.7
"205","2018-09-13",10.7
"206","2018-09-14",10.7
"207","2018-09-17",10.7
"208","2018-09-18",10.7
"209","2018-09-19",10.7
"210","2018-09-20",10.7
"211","2018-09-21",10.7
"212","2018-09-24",10.7
"213","2018-09-25",10.7
"214","2018-09-26",10.7
"215","2018-09-27",10.7
"216","2018-09-28",10.7
"217","2018-10-01",10.7
"218","2018-10-02",10.7
"219","2018-10-03",10.7
"220","2018-10-04",10.7
"221","2018-10-05",10.7
"222","2018-10-08",10.7
"223","2018-10-09",10.7
"224","2018-10-10",10.7
"225","2018-10-11",10.7
"226","2018-10-12",10.7
"227","2018-10-15",10.7
"228","2018-10-16",10.7
"229","2018-10-17",10.7
"230","2018-10-18",10.7
"231","2018-10-19",10.7
"232","2018-10-22",10.7
"233","2018-10-23",10.7
"234","2018-10-24",10.4
