"","date","R"
"1","2007-01-03",52.900002
"2","2007-01-04",53.59
"3","2007-01-05",52.619999
"4","2007-01-08",52.16
"5","2007-01-09",52.220001
"6","2007-01-10",52.369999
"7","2007-01-11",52.490002
"8","2007-01-12",52.639999
"9","2007-01-16",52.93
"10","2007-01-17",52.759998
"11","2007-01-18",52.990002
"12","2007-01-19",53.529999
"13","2007-01-22",53.279999
"14","2007-01-23",53.740002
"15","2007-01-24",54.490002
"16","2007-01-25",53.360001
"17","2007-01-26",52.919998
"18","2007-01-29",54.02
"19","2007-01-30",54.009998
"20","2007-01-31",54.540001
"21","2007-02-01",55.439999
"22","2007-02-02",53.759998
"23","2007-02-05",53.25
"24","2007-02-06",53.34
"25","2007-02-07",53.16
"26","2007-02-08",52.84
"27","2007-02-09",52.16
"28","2007-02-12",52.25
"29","2007-02-13",53.150002
"30","2007-02-14",53.23
"31","2007-02-15",53.689999
"32","2007-02-16",53.98
"33","2007-02-20",53.720001
"34","2007-02-21",53.790001
"35","2007-02-22",53.279999
"36","2007-02-23",54.799999
"37","2007-02-26",53.509998
"38","2007-02-27",52.200001
"39","2007-02-28",51.490002
"40","2007-03-01",51.32
"41","2007-03-02",50.360001
"42","2007-03-05",49.310001
"43","2007-03-06",50.110001
"44","2007-03-07",50.599998
"45","2007-03-08",50.360001
"46","2007-03-09",50.240002
"47","2007-03-12",50.150002
"48","2007-03-13",48.59
"49","2007-03-14",48.77
"50","2007-03-15",49.5
"51","2007-03-16",49.580002
"52","2007-03-19",49.349998
"53","2007-03-20",49.799999
"54","2007-03-21",50.630001
"55","2007-03-22",50.639999
"56","2007-03-23",50.419998
"57","2007-03-26",49.77
"58","2007-03-27",49.32
"59","2007-03-28",48.91
"60","2007-03-29",48.709999
"61","2007-03-30",49.34
"62","2007-04-02",49.509998
"63","2007-04-03",50.049999
"64","2007-04-04",49.48
"65","2007-04-05",50.040001
"66","2007-04-09",50.52
"67","2007-04-10",50.049999
"68","2007-04-11",51.25
"69","2007-04-12",51.689999
"70","2007-04-13",51.259998
"71","2007-04-16",51.880001
"72","2007-04-17",51.75
"73","2007-04-18",52.610001
"74","2007-04-19",52
"75","2007-04-20",52.560001
"76","2007-04-23",52.349998
"77","2007-04-24",51.959999
"78","2007-04-25",54.080002
"79","2007-04-26",53.939999
"80","2007-04-27",53.82
"81","2007-04-30",52.639999
"82","2007-05-01",52.310001
"83","2007-05-02",52.639999
"84","2007-05-03",52.77
"85","2007-05-04",52.369999
"86","2007-05-07",52.220001
"87","2007-05-08",53.490002
"88","2007-05-09",53.560001
"89","2007-05-10",52.860001
"90","2007-05-11",53.439999
"91","2007-05-14",52.75
"92","2007-05-15",52.529999
"93","2007-05-16",53.630001
"94","2007-05-17",53.470001
"95","2007-05-18",53.919998
"96","2007-05-21",54.25
"97","2007-05-22",54.299999
"98","2007-05-23",54.060001
"99","2007-05-24",52.990002
"100","2007-05-25",52.959999
"101","2007-05-29",53.380001
"102","2007-05-30",53.77
"103","2007-05-31",53.919998
"104","2007-06-01",54.07
"105","2007-06-04",53.849998
"106","2007-06-05",53.599998
"107","2007-06-06",52.700001
"108","2007-06-07",52.07
"109","2007-06-08",52.349998
"110","2007-06-11",52.150002
"111","2007-06-12",51.860001
"112","2007-06-13",52.18
"113","2007-06-14",51.84
"114","2007-06-15",52.299999
"115","2007-06-18",52.150002
"116","2007-06-19",51.91
"117","2007-06-20",51.970001
"118","2007-06-21",52.400002
"119","2007-06-22",54.18
"120","2007-06-25",55.439999
"121","2007-06-26",54.560001
"122","2007-06-27",54.290001
"123","2007-06-28",54.549999
"124","2007-06-29",53.799999
"125","2007-07-02",54
"126","2007-07-03",54.43
"127","2007-07-05",54.349998
"128","2007-07-06",54.27
"129","2007-07-09",54.529999
"130","2007-07-10",54.119999
"131","2007-07-11",54.860001
"132","2007-07-12",55.59
"133","2007-07-13",55.619999
"134","2007-07-16",55.290001
"135","2007-07-17",55.119999
"136","2007-07-18",55.23
"137","2007-07-19",54.740002
"138","2007-07-20",54.02
"139","2007-07-23",53.560001
"140","2007-07-24",52.48
"141","2007-07-25",52.529999
"142","2007-07-26",53.16
"143","2007-07-27",53.279999
"144","2007-07-30",54.290001
"145","2007-07-31",54.369999
"146","2007-08-01",55.290001
"147","2007-08-02",55.779999
"148","2007-08-03",54.52
"149","2007-08-06",55.77
"150","2007-08-07",56.810001
"151","2007-08-08",55.919998
"152","2007-08-09",53.970001
"153","2007-08-10",53.93
"154","2007-08-13",55.299999
"155","2007-08-14",52.68
"156","2007-08-15",52
"157","2007-08-16",52.849998
"158","2007-08-17",53.41
"159","2007-08-20",53.459999
"160","2007-08-21",53.389999
"161","2007-08-22",54.599998
"162","2007-08-23",53.580002
"163","2007-08-24",54.259998
"164","2007-08-27",53.98
"165","2007-08-28",52.830002
"166","2007-08-29",54.060001
"167","2007-08-30",54.07
"168","2007-08-31",54.75
"169","2007-09-04",54.77
"170","2007-09-05",53.209999
"171","2007-09-06",53.380001
"172","2007-09-07",52.290001
"173","2007-09-10",50.900002
"174","2007-09-11",51.029999
"175","2007-09-12",50.330002
"176","2007-09-13",50.34
"177","2007-09-14",50.41
"178","2007-09-17",50.25
"179","2007-09-18",52.259998
"180","2007-09-19",51.389999
"181","2007-09-20",49.84
"182","2007-09-21",49.860001
"183","2007-09-24",48.959999
"184","2007-09-25",48.330002
"185","2007-09-26",49.139999
"186","2007-09-27",49.119999
"187","2007-09-28",49
"188","2007-10-01",49.5
"189","2007-10-02",49.07
"190","2007-10-03",48.150002
"191","2007-10-04",47.41
"192","2007-10-05",49.25
"193","2007-10-08",45.919998
"194","2007-10-09",47.290001
"195","2007-10-10",47.130001
"196","2007-10-11",46.990002
"197","2007-10-12",47.84
"198","2007-10-15",47.66
"199","2007-10-16",46.830002
"200","2007-10-17",47.080002
"201","2007-10-18",47.139999
"202","2007-10-19",46.709999
"203","2007-10-22",46.91
"204","2007-10-23",47.369999
"205","2007-10-24",46.959999
"206","2007-10-25",46.630001
"207","2007-10-26",47.389999
"208","2007-10-29",47.169998
"209","2007-10-30",47.009998
"210","2007-10-31",47.849998
"211","2007-11-01",47.43
"212","2007-11-02",47.959999
"213","2007-11-05",47.41
"214","2007-11-06",47.380001
"215","2007-11-07",46.349998
"216","2007-11-08",46.630001
"217","2007-11-09",45.709999
"218","2007-11-12",46.549999
"219","2007-11-13",47.57
"220","2007-11-14",46.740002
