"","date","SSPK"
"1","2019-10-01",9.81
"2","2019-10-02",9.81
"3","2019-10-03",9.81
"4","2019-10-04",9.81
"5","2019-10-07",9.81
"6","2019-10-08",9.9
"7","2019-10-09",9.85
"8","2019-10-10",9.86
"9","2019-10-11",9.86
"10","2019-10-14",9.85
"11","2019-10-15",9.85
"12","2019-10-16",9.86
"13","2019-10-17",9.86
"14","2019-10-18",9.85
"15","2019-10-21",9.85
"16","2019-10-22",9.85
"17","2019-10-23",9.82
"18","2019-10-24",9.85
"19","2019-10-25",9.84
"20","2019-10-28",9.85
"21","2019-10-29",9.84
"22","2019-10-30",9.85
"23","2019-10-31",9.85
"24","2019-11-01",9.84
"25","2019-11-04",9.84
"26","2019-11-05",9.84
"27","2019-11-06",9.86
"28","2019-11-07",9.86
"29","2019-11-08",9.86
"30","2019-11-11",9.86
"31","2019-11-12",9.84
"32","2019-11-13",9.86
"33","2019-11-14",9.85
"34","2019-11-15",9.87
"35","2019-11-18",9.9
"36","2019-11-19",9.9
"37","2019-11-20",9.9
"38","2019-11-21",9.9
"39","2019-11-22",9.9
"40","2019-11-25",9.9
"41","2019-11-26",9.9
"42","2019-11-27",9.9
"43","2019-11-29",9.9
"44","2019-12-02",9.91
"45","2019-12-03",9.91
"46","2019-12-04",9.87
"47","2019-12-05",9.89
"48","2019-12-06",9.9
"49","2019-12-09",9.9
"50","2019-12-10",9.83
"51","2019-12-11",9.83
"52","2019-12-12",9.9
"53","2019-12-13",9.93
"54","2019-12-16",9.949
"55","2019-12-17",9.92
"56","2019-12-18",9.91
"57","2019-12-19",9.939
"58","2019-12-20",9.94
"59","2019-12-23",9.92
"60","2019-12-24",9.92
"61","2019-12-26",9.92
"62","2019-12-27",9.95
"63","2019-12-30",9.91
"64","2019-12-31",9.91
"65","2020-01-02",9.94
"66","2020-01-03",9.94
"67","2020-01-06",9.965
"68","2020-01-07",9.98
"69","2020-01-08",9.95
"70","2020-01-09",9.97
"71","2020-01-10",9.97
"72","2020-01-13",10
"73","2020-01-14",10.01
"74","2020-01-15",10.01
"75","2020-01-16",10.02
"76","2020-01-17",10.02
"77","2020-01-21",10
"78","2020-01-22",10
"79","2020-01-23",10.05
"80","2020-01-24",10.01
"81","2020-01-27",10.14
"82","2020-01-28",10
"83","2020-01-29",10.14
"84","2020-01-30",10.01
"85","2020-01-31",10.05
"86","2020-02-03",10.03
"87","2020-02-04",10.03
"88","2020-02-05",10.03
"89","2020-02-06",10.03
"90","2020-02-07",10.03
"91","2020-02-10",10.03
"92","2020-02-11",10.03
"93","2020-02-12",10.036
"94","2020-02-13",10.036
"95","2020-02-14",10.036
"96","2020-02-18",10.036
"97","2020-02-19",10.036
"98","2020-02-20",10.2
"99","2020-02-21",10.2
"100","2020-02-24",10.15
"101","2020-02-25",10.13
"102","2020-02-26",10.09
"103","2020-02-27",10.05
"104","2020-02-28",10.046
"105","2020-03-02",10.047
"106","2020-03-03",10.047
"107","2020-03-04",10
"108","2020-03-05",10.05
"109","2020-03-06",9.9
"110","2020-03-09",9.85
"111","2020-03-10",9.81
"112","2020-03-11",9.8
"113","2020-03-12",9.84
"114","2020-03-13",9.9
"115","2020-03-16",9.7
"116","2020-03-17",9.58
"117","2020-03-18",9.55
"118","2020-03-19",9.52
"119","2020-03-20",9.51
"120","2020-03-23",9.6
"121","2020-03-24",9.613
"122","2020-03-25",9.7
"123","2020-03-26",9.748
"124","2020-03-27",9.748
"125","2020-03-30",9.748
"126","2020-03-31",9.83
"127","2020-04-01",9.849
"128","2020-04-02",9.88
"129","2020-04-03",9.84
"130","2020-04-06",9.85
"131","2020-04-07",9.87
"132","2020-04-08",9.845
"133","2020-04-09",9.86
"134","2020-04-13",9.93
"135","2020-04-14",9.92
"136","2020-04-15",9.94
"137","2020-04-16",9.95
"138","2020-04-17",9.95
"139","2020-04-20",9.94
"140","2020-04-21",9.94
"141","2020-04-22",9.94
"142","2020-04-23",9.94
"143","2020-04-24",9.91
"144","2020-04-27",9.85
"145","2020-04-28",9.9
"146","2020-04-29",9.934
"147","2020-04-30",9.934
"148","2020-05-01",9.9
"149","2020-05-04",9.9
"150","2020-05-05",9.9
"151","2020-05-06",9.91
"152","2020-05-07",9.89
"153","2020-05-08",9.89
"154","2020-05-11",9.89
"155","2020-05-12",9.93
"156","2020-05-13",9.9
"157","2020-05-14",9.9
"158","2020-05-15",9.9
"159","2020-05-18",9.901
"160","2020-05-19",9.93
"161","2020-05-20",9.9
"162","2020-05-21",9.925
"163","2020-05-22",9.915
"164","2020-05-26",9.93
"165","2020-05-27",9.95
"166","2020-05-28",9.93
"167","2020-05-29",9.93
"168","2020-06-01",9.99
"169","2020-06-02",9.99
"170","2020-06-03",9.99
"171","2020-06-04",10.09
"172","2020-06-05",10.03
"173","2020-06-08",10.05
"174","2020-06-09",10
"175","2020-06-10",10.05
"176","2020-06-11",10.05
"177","2020-06-12",10.04
"178","2020-06-15",10.03
"179","2020-06-16",10.04
"180","2020-06-17",10.03
"181","2020-06-18",10.02
