"","date","QURE"
"1","2014-02-05",14.61
"2","2014-02-06",13.41
"3","2014-02-07",14.79
"4","2014-02-10",15.57
"5","2014-02-11",15.86
"6","2014-02-12",16.02
"7","2014-02-13",16.139999
"8","2014-02-14",15.95
"9","2014-02-18",16.370001
"10","2014-02-19",16.25
"11","2014-02-20",16.5
"12","2014-02-21",17.09
"13","2014-02-24",18.014999
"14","2014-02-25",17.885
"15","2014-02-26",18.049999
"16","2014-02-27",18
"17","2014-02-28",16.5
"18","2014-03-03",15.88
"19","2014-03-04",15.69
"20","2014-03-05",15.38
"21","2014-03-06",15.14
"22","2014-03-07",15.72
"23","2014-03-10",15.24
"24","2014-03-11",15.2
"25","2014-03-12",14.91
"26","2014-03-13",15.39
"27","2014-03-14",14.83
"28","2014-03-17",15.07
"29","2014-03-18",15.76
"30","2014-03-19",15.99
"31","2014-03-20",16.794001
"32","2014-03-21",16.879999
"33","2014-03-24",16.18
"34","2014-03-25",16.27
"35","2014-03-26",15.93
"36","2014-03-27",15.61
"37","2014-03-28",15.6
"38","2014-03-31",15.58
"39","2014-04-01",15.66
"40","2014-04-02",16.15
"41","2014-04-03",15.78
"42","2014-04-04",15.44
"43","2014-04-07",14.41
"44","2014-04-08",13.56
"45","2014-04-09",14.5
"46","2014-04-10",13.77
"47","2014-04-11",13.04
"48","2014-04-14",12
"49","2014-04-15",9.78
"50","2014-04-16",9.105
"51","2014-04-17",9
"52","2014-04-21",8.9
"53","2014-04-22",9.9
"54","2014-04-23",9.62
"55","2014-04-24",10.15
"56","2014-04-25",11
"57","2014-04-28",10.45
"58","2014-04-29",10.49
"59","2014-04-30",10.27
"60","2014-05-01",10.88
"61","2014-05-02",10.44
"62","2014-05-05",10.04
"63","2014-05-06",9.7
"64","2014-05-07",9.53
"65","2014-05-08",9.12
"66","2014-05-09",9.27
"67","2014-05-12",10.06
"68","2014-05-13",9.62
"69","2014-05-14",9.94
"70","2014-05-15",9.5
"71","2014-05-16",9.61
"72","2014-05-19",9.49
"73","2014-05-20",9.3
"74","2014-05-21",8.63
"75","2014-05-22",8.68
"76","2014-05-23",8.71
"77","2014-05-27",8.66
"78","2014-05-28",8.93
"79","2014-05-29",8.87
"80","2014-05-30",8.65
"81","2014-06-02",8.92
"82","2014-06-03",9.03
"83","2014-06-04",9.18
"84","2014-06-05",9.51
"85","2014-06-06",9.93
"86","2014-06-09",10.74
"87","2014-06-10",10.67
"88","2014-06-11",10.82
"89","2014-06-12",10.89
"90","2014-06-13",11.01
"91","2014-06-16",11.28
"92","2014-06-17",10.84
"93","2014-06-18",11.7
"94","2014-06-19",12.1
"95","2014-06-20",12.7
"96","2014-06-23",12.64
"97","2014-06-24",12.09
"98","2014-06-25",11.92
"99","2014-06-26",12.5
"100","2014-06-27",12.8
"101","2014-06-30",13.59
"102","2014-07-01",14.2
"103","2014-07-02",13.94
"104","2014-07-03",14.2
"105","2014-07-07",12.87
"106","2014-07-08",12.11
"107","2014-07-09",12.84
"108","2014-07-10",13.01
"109","2014-07-11",13.25
"110","2014-07-14",12.51
"111","2014-07-15",11.99
"112","2014-07-16",11.86
"113","2014-07-17",11.36
"114","2014-07-18",11.35
"115","2014-07-21",10.79
"116","2014-07-22",11.25
"117","2014-07-23",11.21
"118","2014-07-24",10.9
"119","2014-07-25",10.25
"120","2014-07-28",10.19
"121","2014-07-29",10.97
"122","2014-07-30",10.76
"123","2014-07-31",10.22
"124","2014-08-01",9.96
"125","2014-08-04",9.87
"126","2014-08-05",9.79
"127","2014-08-06",10.68
"128","2014-08-07",10.94
"129","2014-08-08",10.22
"130","2014-08-11",10.09
"131","2014-08-12",10.52
"132","2014-08-13",10.52
"133","2014-08-14",11.17
"134","2014-08-15",11.39
"135","2014-08-18",11.76
"136","2014-08-19",11.79
"137","2014-08-20",11.69
"138","2014-08-21",11.3
"139","2014-08-22",11.51
"140","2014-08-25",11.15
"141","2014-08-26",11.19
"142","2014-08-27",11.09
"143","2014-08-28",11.11
"144","2014-08-29",11.5
"145","2014-09-02",11.18
"146","2014-09-03",11.14
"147","2014-09-04",11.1
"148","2014-09-05",11.2
"149","2014-09-08",10.46
"150","2014-09-09",10.91
"151","2014-09-10",10.83
"152","2014-09-11",10.37
"153","2014-09-12",10
"154","2014-09-15",10
"155","2014-09-16",9.7
"156","2014-09-17",9.76
"157","2014-09-18",9.83
"158","2014-09-19",9.79
"159","2014-09-22",9.62
"160","2014-09-23",9.23
"161","2014-09-24",9.41
"162","2014-09-25",9.23
"163","2014-09-26",9.11
"164","2014-09-29",9.16
"165","2014-09-30",9.25
"166","2014-10-01",9.73
"167","2014-10-02",9.84
"168","2014-10-03",10
"169","2014-10-06",9.85
"170","2014-10-07",9.9
"171","2014-10-08",9.99
"172","2014-10-09",9.66
"173","2014-10-10",9.89
"174","2014-10-13",9.69
"175","2014-10-14",9.8
"176","2014-10-15",9.63
"177","2014-10-16",9.66
"178","2014-10-17",9.81
"179","2014-10-20",9.9
"180","2014-10-21",9.98
"181","2014-10-22",10.06
"182","2014-10-23",11.5
"183","2014-10-24",11.68
"184","2014-10-27",11.59
"185","2014-10-28",11.13
"186","2014-10-29",10.65
"187","2014-10-30",10.95
"188","2014-10-31",11.36
"189","2014-11-03",10.67
"190","2014-11-04",10.39
"191","2014-11-05",10.04
"192","2014-11-06",10.05
"193","2014-11-07",10.45
"194","2014-11-10",10.54
"195","2014-11-11",10.2
"196","2014-11-12",10.7
"197","2014-11-13",10.7
"198","2014-11-14",11.4
"199","2014-11-17",11.73
"200","2014-11-18",12.6
"201","2014-11-19",11.8
"202","2014-11-20",12
"203","2014-11-21",12
"204","2014-11-24",12.175
"205","2014-11-25",12.5
"206","2014-11-26",14.82
"207","2014-11-28",15.05
"208","2014-12-01",13.43
"209","2014-12-02",13.92
"210","2014-12-03",13.48
"211","2014-12-04",12.64
"212","2014-12-05",14.11
"213","2014-12-08",14.28
"214","2014-12-09",16.5
