"","date","ASPS"
"1","2009-08-06",7
"2","2009-08-07",16
"3","2009-08-10",12.2
"4","2009-08-11",11.91
"5","2009-08-12",10.9
"6","2009-08-13",10.66
"7","2009-08-14",10.1
"8","2009-08-17",10.27
"9","2009-08-18",12.54
"10","2009-08-19",11.68
"11","2009-08-20",12.76
"12","2009-08-21",13.44
"13","2009-08-24",14.04
"14","2009-08-25",14.51
"15","2009-08-26",14.2
"16","2009-08-27",14.33
"17","2009-08-28",14.39
"18","2009-08-31",14.35
"19","2009-09-01",13.89
"20","2009-09-02",13.6
"21","2009-09-03",13.64
"22","2009-09-04",13.62
"23","2009-09-08",13.62
"24","2009-09-09",13.58
"25","2009-09-10",13.57
"26","2009-09-11",13.68
"27","2009-09-14",13.6
"28","2009-09-15",13.66
"29","2009-09-16",13.69
"30","2009-09-17",13.91
"31","2009-09-18",14
"32","2009-09-21",14.05
"33","2009-09-22",14.15
"34","2009-09-23",14.22
"35","2009-09-24",14.01
"36","2009-09-25",14
"37","2009-09-28",13.9
"38","2009-09-29",14.33
"39","2009-09-30",14.44
"40","2009-10-01",14.63
"41","2009-10-02",14.71
"42","2009-10-05",14.6
"43","2009-10-06",14.55
"44","2009-10-07",14.57
"45","2009-10-08",14.48
"46","2009-10-09",14.71
"47","2009-10-12",14.62
"48","2009-10-13",14.78
"49","2009-10-14",14.9
"50","2009-10-15",15.83
"51","2009-10-16",16.08
"52","2009-10-19",16.129999
"53","2009-10-20",16.4
"54","2009-10-21",16.57
"55","2009-10-22",16.610001
"56","2009-10-23",16.459999
"57","2009-10-26",16.049999
"58","2009-10-27",15.1
"59","2009-10-28",14.85
"60","2009-10-29",14.92
"61","2009-10-30",15.25
"62","2009-11-02",14.76
"63","2009-11-03",14.56
"64","2009-11-04",14.41
"65","2009-11-05",14.85
"66","2009-11-06",15.21
"67","2009-11-09",16.700001
"68","2009-11-10",16.950001
"69","2009-11-11",17.09
"70","2009-11-12",17.15
"71","2009-11-13",17.16
"72","2009-11-16",17.27
"73","2009-11-17",17.26
"74","2009-11-18",16.879999
"75","2009-11-19",16.889999
"76","2009-11-20",16.6
"77","2009-11-23",16.5
"78","2009-11-24",16.450001
"79","2009-11-25",16.450001
"80","2009-11-27",16.4
"81","2009-11-30",16.139999
"82","2009-12-01",15.7
"83","2009-12-02",15.45
"84","2009-12-03",15.74
"85","2009-12-04",15.78
"86","2009-12-07",15.75
"87","2009-12-08",16.26
"88","2009-12-09",16.219999
"89","2009-12-10",16.530001
"90","2009-12-11",16.75
"91","2009-12-14",18.280001
"92","2009-12-15",18.08
"93","2009-12-16",17.82
"94","2009-12-17",17.889999
"95","2009-12-18",18.030001
"96","2009-12-21",18.120001
"97","2009-12-22",18.91
"98","2009-12-23",18.98
"99","2009-12-24",19.200001
"100","2009-12-28",20
"101","2009-12-29",21.209999
"102","2009-12-30",20.870001
"103","2009-12-31",20.99
"104","2010-01-04",21.18
"105","2010-01-05",21.950001
"106","2010-01-06",23.24
"107","2010-01-07",23.35
"108","2010-01-08",23.43
"109","2010-01-11",23.51
"110","2010-01-12",23.85
"111","2010-01-13",23
"112","2010-01-14",22.870001
"113","2010-01-15",22.129999
"114","2010-01-19",22.85
"115","2010-01-20",23.4
"116","2010-01-21",22.76
"117","2010-01-22",21.940001
"118","2010-01-25",22.01
"119","2010-01-26",21.379999
"120","2010-01-27",21.129999
"121","2010-01-28",22.32
"122","2010-01-29",22.950001
"123","2010-02-01",22.799999
"124","2010-02-02",23.27
"125","2010-02-03",23.1
"126","2010-02-04",22.299999
"127","2010-02-05",22.549999
"128","2010-02-08",22.32
"129","2010-02-09",22.68
"130","2010-02-10",23.540001
"131","2010-02-11",24.92
"132","2010-02-12",24.5
"133","2010-02-16",26.629999
"134","2010-02-17",26.25
"135","2010-02-18",26.620001
"136","2010-02-19",26.549999
"137","2010-02-22",25.76
"138","2010-02-23",25.76
"139","2010-02-24",26.049999
"140","2010-02-25",25.719999
"141","2010-02-26",25.870001
"142","2010-03-01",26
"143","2010-03-02",25.5
"144","2010-03-03",25.799999
"145","2010-03-04",26.76
"146","2010-03-05",26.639999
"147","2010-03-08",26.82
"148","2010-03-09",26.66
"149","2010-03-10",27.02
"150","2010-03-11",26.41
"151","2010-03-12",25.27
"152","2010-03-15",24.9
"153","2010-03-16",25.110001
"154","2010-03-17",25.299999
"155","2010-03-18",24.84
"156","2010-03-19",24.43
"157","2010-03-22",25.030001
"158","2010-03-23",24.459999
"159","2010-03-24",23.959999
"160","2010-03-25",22.91
