"","date","TACT"
"1","2007-01-03",8.15
"2","2007-01-04",8.28
"3","2007-01-05",8.3
"4","2007-01-08",8.29
"5","2007-01-09",8.38
"6","2007-01-10",8.64
"7","2007-01-11",8.75
"8","2007-01-12",9.05
"9","2007-01-16",8.88
"10","2007-01-17",9
"11","2007-01-18",8.75
"12","2007-01-19",9.07
"13","2007-01-22",9
"14","2007-01-23",9.1
"15","2007-01-24",9.42
"16","2007-01-25",9.84
"17","2007-01-26",9.78
"18","2007-01-29",9.47
"19","2007-01-30",9.32
"20","2007-01-31",9.44
"21","2007-02-01",9.83
"22","2007-02-02",9.87
"23","2007-02-05",9.72
"24","2007-02-06",9.77
"25","2007-02-07",10
"26","2007-02-08",9.94
"27","2007-02-09",9.83
"28","2007-02-12",9.86
"29","2007-02-13",9.86
"30","2007-02-14",9.7
"31","2007-02-15",9.56
"32","2007-02-16",9.16
"33","2007-02-20",9.38
"34","2007-02-21",9.3
"35","2007-02-22",9.04
"36","2007-02-23",9.58
"37","2007-02-26",9.56
"38","2007-02-27",9.13
"39","2007-02-28",9.51
"40","2007-03-01",9.58
"41","2007-03-02",9.6
"42","2007-03-05",9.16
"43","2007-03-06",9.11
"44","2007-03-07",9.11
"45","2007-03-08",9.05
"46","2007-03-09",9.4
"47","2007-03-12",9.39
"48","2007-03-13",7.25
"49","2007-03-14",7.2
"50","2007-03-15",7.23
"51","2007-03-16",7.37
"52","2007-03-19",7.5
"53","2007-03-20",7.45
"54","2007-03-21",7.35
"55","2007-03-22",7.17
"56","2007-03-23",7.11
"57","2007-03-26",7.08
"58","2007-03-27",6.99
"59","2007-03-28",6.97
"60","2007-03-29",6.96
"61","2007-03-30",6.94
"62","2007-04-02",6.85
"63","2007-04-03",7.16
"64","2007-04-04",7.28
"65","2007-04-05",7.49
"66","2007-04-09",7.5
"67","2007-04-10",7.37
"68","2007-04-11",7.2
"69","2007-04-12",7.18
"70","2007-04-13",7.18
"71","2007-04-16",7.02
"72","2007-04-17",7.14
"73","2007-04-18",7.15
"74","2007-04-19",6.98
"75","2007-04-20",7.12
"76","2007-04-23",7.14
"77","2007-04-24",7.05
"78","2007-04-25",7.04
"79","2007-04-26",7.06
"80","2007-04-27",7.05
"81","2007-04-30",7.05
"82","2007-05-01",7.05
"83","2007-05-02",6.96
