"","date","BXP"
"1","2007-01-03",112.089996
"2","2007-01-04",111.68
"3","2007-01-05",109.720001
"4","2007-01-08",110.349998
"5","2007-01-09",111.75
"6","2007-01-10",114.059998
"7","2007-01-11",115.209999
"8","2007-01-12",115.870003
"9","2007-01-16",118.720001
"10","2007-01-17",118.519997
"11","2007-01-18",117.970001
"12","2007-01-19",119.93
"13","2007-01-22",119.82
"14","2007-01-23",120.400002
"15","2007-01-24",121.93
"16","2007-01-25",122.730003
"17","2007-01-26",122.68
"18","2007-01-29",122.449997
"19","2007-01-30",123.800003
"20","2007-01-31",126.089996
"21","2007-02-01",126.089996
"22","2007-02-02",126.879997
"23","2007-02-05",126.419998
"24","2007-02-06",128.380005
"25","2007-02-07",130.75
"26","2007-02-08",129.479996
"27","2007-02-09",127.040001
"28","2007-02-12",123.5
"29","2007-02-13",125.800003
"30","2007-02-14",124.989998
"31","2007-02-15",127.099998
"32","2007-02-16",125.879997
"33","2007-02-20",127.410004
"34","2007-02-21",126.739998
"35","2007-02-22",126
"36","2007-02-23",122.650002
"37","2007-02-26",121.949997
"38","2007-02-27",118.199997
"39","2007-02-28",120.029999
"40","2007-03-01",118.720001
"41","2007-03-02",117.029999
"42","2007-03-05",113.730003
"43","2007-03-06",118.160004
"44","2007-03-07",116.440002
"45","2007-03-08",118.970001
"46","2007-03-09",119.699997
"47","2007-03-12",119.699997
"48","2007-03-13",117.18
"49","2007-03-14",117.660004
"50","2007-03-15",118.169998
"51","2007-03-16",116.669998
"52","2007-03-19",118.010002
"53","2007-03-20",117.720001
"54","2007-03-21",119.510002
"55","2007-03-22",118.910004
"56","2007-03-23",119.139999
"57","2007-03-26",117.050003
"58","2007-03-27",115.779999
"59","2007-03-28",115
"60","2007-03-29",114.650002
"61","2007-03-30",117.400002
"62","2007-04-02",118.550003
"63","2007-04-03",119.470001
"64","2007-04-04",118.57
"65","2007-04-05",118.089996
"66","2007-04-09",118.739998
"67","2007-04-10",118.07
