"","date","FB"
"1","2012-05-18",38.23
"2","2012-05-21",34.029999
"3","2012-05-22",31
"4","2012-05-23",32
"5","2012-05-24",33.029999
"6","2012-05-25",31.91
"7","2012-05-29",28.84
"8","2012-05-30",28.190001
"9","2012-05-31",29.6
"10","2012-06-01",27.719999
"11","2012-06-04",26.9
"12","2012-06-05",25.870001
"13","2012-06-06",26.809999
"14","2012-06-07",26.309999
"15","2012-06-08",27.1
"16","2012-06-11",27.01
"17","2012-06-12",27.4
"18","2012-06-13",27.27
"19","2012-06-14",28.290001
"20","2012-06-15",30.01
"21","2012-06-18",31.41
"22","2012-06-19",31.91
"23","2012-06-20",31.6
"24","2012-06-21",31.84
"25","2012-06-22",33.049999
"26","2012-06-25",32.060001
"27","2012-06-26",33.099998
"28","2012-06-27",32.23
"29","2012-06-28",31.360001
"30","2012-06-29",31.1
"31","2012-07-02",30.77
"32","2012-07-03",31.200001
"33","2012-07-05",31.469999
"34","2012-07-06",31.73
"35","2012-07-09",32.169998
"36","2012-07-10",31.469999
"37","2012-07-11",30.969999
"38","2012-07-12",30.809999
"39","2012-07-13",30.719999
"40","2012-07-16",28.25
"41","2012-07-17",28.09
"42","2012-07-18",29.110001
"43","2012-07-19",29
"44","2012-07-20",28.76
"45","2012-07-23",28.75
"46","2012-07-24",28.450001
"47","2012-07-25",29.34
"48","2012-07-26",26.85
"49","2012-07-27",23.709999
"50","2012-07-30",23.15
"51","2012-07-31",21.709999
"52","2012-08-01",20.879999
"53","2012-08-02",20.040001
"54","2012-08-03",21.09
"55","2012-08-06",21.92
"56","2012-08-07",20.719999
"57","2012-08-08",20.719999
"58","2012-08-09",21.01
"59","2012-08-10",21.809999
"60","2012-08-13",21.6
"61","2012-08-14",20.379999
"62","2012-08-15",21.200001
"63","2012-08-16",19.870001
"64","2012-08-17",19.049999
"65","2012-08-20",20.01
"66","2012-08-21",19.16
"67","2012-08-22",19.440001
"68","2012-08-23",19.440001
"69","2012-08-24",19.41
"70","2012-08-27",19.15
"71","2012-08-28",19.34
"72","2012-08-29",19.1
"73","2012-08-30",19.09
"74","2012-08-31",18.059999
"75","2012-09-04",17.73
"76","2012-09-05",18.58
"77","2012-09-06",18.959999
"78","2012-09-07",18.98
"79","2012-09-10",18.809999
"80","2012-09-11",19.43
"81","2012-09-12",20.93
"82","2012-09-13",20.709999
"83","2012-09-14",22
"84","2012-09-17",21.52
"85","2012-09-18",21.870001
"86","2012-09-19",23.290001
"87","2012-09-20",22.59
"88","2012-09-21",22.860001
"89","2012-09-24",20.790001
"90","2012-09-25",20.280001
"91","2012-09-26",20.620001
"92","2012-09-27",20.32
"93","2012-09-28",21.66
"94","2012-10-01",21.99
"95","2012-10-02",22.27
"96","2012-10-03",21.83
"97","2012-10-04",21.950001
"98","2012-10-05",20.91
"99","2012-10-08",20.4
"100","2012-10-09",20.23
"101","2012-10-10",19.639999
