"","date","TRCH"
"1","2010-11-08",0.2525
"2","2010-11-09",0.2525
"3","2010-11-10",0.2525
"4","2010-11-11",0.2525
"5","2010-11-12",0.2525
"6","2010-11-15",0.2525
"7","2010-11-16",0.2525
"8","2010-11-17",0.2525
"9","2010-11-18",0.2525
"10","2010-11-19",0.2525
"11","2010-11-22",0.2525
"12","2010-11-23",0.2525
"13","2010-11-24",0.2625
"14","2010-11-26",0.2625
"15","2010-11-29",0.2625
"16","2010-11-30",0.2625
"17","2010-12-01",0.2625
"18","2010-12-02",0.2625
"19","2010-12-03",0.2625
"20","2010-12-06",0.2625
"21","2010-12-07",0.2625
"22","2010-12-08",0.2625
"23","2010-12-09",1.125
"24","2010-12-10",1.375
"25","2010-12-13",1.625
"26","2010-12-14",2.75
"27","2010-12-15",3
"28","2010-12-16",3
"29","2010-12-17",3
"30","2010-12-20",2.95
"31","2010-12-21",2.75
"32","2010-12-22",2.5
"33","2010-12-23",2.8
"34","2010-12-27",2.75
"35","2010-12-28",2.85
"36","2010-12-29",2.85
"37","2010-12-30",2.85
"38","2010-12-31",2.85
"39","2011-01-03",2.65
"40","2011-01-04",2.6
"41","2011-01-05",2.55
"42","2011-01-06",2.8
"43","2011-01-07",2.95
"44","2011-01-10",3.05
"45","2011-01-11",2.95
"46","2011-01-12",2.95
"47","2011-01-13",2.9
"48","2011-01-14",2.95
"49","2011-01-18",3
"50","2011-01-19",3
"51","2011-01-20",2.85
"52","2011-01-21",2.85
"53","2011-01-24",2.95
"54","2011-01-25",2.95
"55","2011-01-26",2.95
"56","2011-01-27",2.95
"57","2011-01-28",2.8
"58","2011-01-31",2.8
"59","2011-02-01",2.75
"60","2011-02-02",2.5
"61","2011-02-03",2.5
"62","2011-02-04",2.5
"63","2011-02-07",2.5
"64","2011-02-08",2.5
"65","2011-02-09",2.8
"66","2011-02-10",2.8
"67","2011-02-11",2.85
"68","2011-02-14",2.8
"69","2011-02-15",3.05
"70","2011-02-16",3.05
"71","2011-02-17",2.85
"72","2011-02-18",2.85
"73","2011-02-22",2.85
"74","2011-02-23",2.81
"75","2011-02-24",3
"76","2011-02-25",3.4
"77","2011-02-28",3.55
"78","2011-03-01",3.5
"79","2011-03-02",3.5
"80","2011-03-03",3.5
"81","2011-03-04",3.4
"82","2011-03-07",3.4
"83","2011-03-08",3.35
"84","2011-03-09",3.3
"85","2011-03-10",3.5
"86","2011-03-11",3.5
"87","2011-03-14",3.31
"88","2011-03-15",3.31
"89","2011-03-16",3.31
"90","2011-03-17",3.33
"91","2011-03-18",3.33
"92","2011-03-21",3.33
"93","2011-03-22",3.33
"94","2011-03-23",3.3
"95","2011-03-24",3.15
"96","2011-03-25",3.3
"97","2011-03-28",3.2
"98","2011-03-29",3.5
"99","2011-03-30",3.7
"100","2011-03-31",3.7
"101","2011-04-01",3.5
"102","2011-04-04",3.49
"103","2011-04-05",3.7
"104","2011-04-06",3.5
"105","2011-04-07",3.5
"106","2011-04-08",3.7
"107","2011-04-11",3.01
"108","2011-04-12",3.1
"109","2011-04-13",3.25
"110","2011-04-14",3.5
"111","2011-04-15",3.68
"112","2011-04-18",3.68
"113","2011-04-19",3.68
"114","2011-04-20",3.68
"115","2011-04-21",3.68
