"","date","U"
"1","2020-09-18",68.349998
"2","2020-09-21",72.959999
"3","2020-09-22",84.82
"4","2020-09-23",81.849998
"5","2020-09-24",83.199997
"6","2020-09-25",89.849998
"7","2020-09-28",95.800003
"8","2020-09-29",94.919998
"9","2020-09-30",87.279999
"10","2020-10-01",84.559998
"11","2020-10-02",83.529999
"12","2020-10-05",84
"13","2020-10-06",82.790001
"14","2020-10-07",88.650002
"15","2020-10-08",91.400002
"16","2020-10-09",99.110001
"17","2020-10-12",90
"18","2020-10-13",92.110001
"19","2020-10-14",90.019997
"20","2020-10-15",91.43
"21","2020-10-16",92.559998
"22","2020-10-19",89.300003
"23","2020-10-20",87.150002
"24","2020-10-21",91
"25","2020-10-22",100.959999
"26","2020-10-23",97.279999
"27","2020-10-26",99.959999
"28","2020-10-27",104
"29","2020-10-28",99.760002
"30","2020-10-29",108.839996
"31","2020-10-30",94.879997
"32","2020-11-02",94.129997
"33","2020-11-03",98.07
"34","2020-11-04",106.449997
"35","2020-11-05",110.760002
"36","2020-11-06",119
"37","2020-11-09",102.849998
"38","2020-11-10",99.660004
"39","2020-11-11",105.580002
"40","2020-11-12",101.739998
"41","2020-11-13",114.769997
"42","2020-11-16",111.510002
"43","2020-11-17",118.050003
"44","2020-11-18",115.010002
"45","2020-11-19",116.309998
"46","2020-11-20",122.800003
"47","2020-11-23",129.399994
"48","2020-11-24",129.039993
"49","2020-11-25",137.460007
"50","2020-11-27",147.619995
