"","date","FL"
"1","2007-01-03",22.110001
"2","2007-01-04",22.15
"3","2007-01-05",21.91
"4","2007-01-08",22.01
"5","2007-01-09",22.049999
"6","2007-01-10",22.049999
"7","2007-01-11",21.99
"8","2007-01-12",22.35
"9","2007-01-16",21.780001
"10","2007-01-17",21.73
"11","2007-01-18",22.120001
"12","2007-01-19",22.549999
"13","2007-01-22",22.07
"14","2007-01-23",21.27
"15","2007-01-24",21.49
"16","2007-01-25",21.459999
"17","2007-01-26",21.52
"18","2007-01-29",21.58
"19","2007-01-30",22.25
"20","2007-01-31",22.440001
"21","2007-02-01",22.719999
"22","2007-02-02",22.66
"23","2007-02-05",22.700001
"24","2007-02-06",23.200001
"25","2007-02-07",23.08
"26","2007-02-08",23.209999
"27","2007-02-09",22.700001
"28","2007-02-12",22.889999
"29","2007-02-13",23.08
"30","2007-02-14",23.209999
"31","2007-02-15",23.1
"32","2007-02-16",23.23
"33","2007-02-20",23.309999
"34","2007-02-21",23.309999
"35","2007-02-22",23.1
"36","2007-02-23",23.17
"37","2007-02-26",22.93
"38","2007-02-27",22.610001
"39","2007-02-28",22.719999
"40","2007-03-01",22.690001
"41","2007-03-02",22.469999
"42","2007-03-05",22.42
"43","2007-03-06",22.450001
"44","2007-03-07",22.530001
"45","2007-03-08",21.530001
"46","2007-03-09",21.77
"47","2007-03-12",21.57
"48","2007-03-13",21.940001
"49","2007-03-14",22.059999
"50","2007-03-15",22
"51","2007-03-16",22.09
"52","2007-03-19",22.65
"53","2007-03-20",23.059999
"54","2007-03-21",23.190001
"55","2007-03-22",23.440001
"56","2007-03-23",24.17
"57","2007-03-26",23.969999
"58","2007-03-27",23.68
"59","2007-03-28",23.4
"60","2007-03-29",23.450001
"61","2007-03-30",23.549999
"62","2007-04-02",23.700001
"63","2007-04-03",23.889999
"64","2007-04-04",23.809999
"65","2007-04-05",23.57
"66","2007-04-09",24.02
"67","2007-04-10",23.860001
"68","2007-04-11",23.379999
"69","2007-04-12",23.629999
"70","2007-04-13",23.809999
"71","2007-04-16",23.889999
"72","2007-04-17",23.83
"73","2007-04-18",23.91
"74","2007-04-19",23.620001
"75","2007-04-20",24.209999
"76","2007-04-23",23.91
"77","2007-04-24",24.040001
"78","2007-04-25",23.879999
"79","2007-04-26",23.629999
"80","2007-04-27",23.719999
"81","2007-04-30",23.790001
"82","2007-05-01",24.16
"83","2007-05-02",23.860001
"84","2007-05-03",24.120001
"85","2007-05-04",24.059999
"86","2007-05-07",23.870001
"87","2007-05-08",23.51
"88","2007-05-09",23.639999
"89","2007-05-10",23.27
"90","2007-05-11",21.629999
"91","2007-05-14",21.51
"92","2007-05-15",21.459999
"93","2007-05-16",21.58
"94","2007-05-17",21.809999
"95","2007-05-18",22.059999
"96","2007-05-21",22.01
"97","2007-05-22",22
"98","2007-05-23",22.24
"99","2007-05-24",21.129999
"100","2007-05-25",21.059999
"101","2007-05-29",21.02
"102","2007-05-30",21.08
"103","2007-05-31",21.940001
"104","2007-06-01",22.129999
"105","2007-06-04",22.049999
"106","2007-06-05",21.98
"107","2007-06-06",21.93
"108","2007-06-07",21.540001
"109","2007-06-08",21.540001
"110","2007-06-11",21.620001
"111","2007-06-12",21.440001
"112","2007-06-13",21.129999
"113","2007-06-14",21.08
"114","2007-06-15",21.139999
"115","2007-06-18",21.370001
"116","2007-06-19",21.040001
"117","2007-06-20",20.93
"118","2007-06-21",21.469999
"119","2007-06-22",21.67
"120","2007-06-25",21.98
"121","2007-06-26",21.690001
"122","2007-06-27",21.92
"123","2007-06-28",22.049999
"124","2007-06-29",21.799999
"125","2007-07-02",21.84
"126","2007-07-03",22.07
"127","2007-07-05",22.040001
"128","2007-07-06",22.25
"129","2007-07-09",21.59
"130","2007-07-10",21.02
"131","2007-07-11",21.120001
