"","date","SOLO"
"1","2018-08-09",2.4
"2","2018-08-10",2.77
"3","2018-08-13",3.25
"4","2018-08-14",3.92
"5","2018-08-15",3.61
"6","2018-08-16",3.8
"7","2018-08-17",3.68
"8","2018-08-20",3.7
"9","2018-08-21",3.6
"10","2018-08-22",3.63
"11","2018-08-23",3.64
"12","2018-08-24",3.39
"13","2018-08-27",3.12
"14","2018-08-28",3.16
"15","2018-08-29",3.6
"16","2018-08-30",3.68
"17","2018-08-31",3.6
"18","2018-09-04",3.31
"19","2018-09-05",3.3
"20","2018-09-06",3.25
"21","2018-09-07",3.25
"22","2018-09-10",3.25
"23","2018-09-11",3.21
"24","2018-09-12",2.92
"25","2018-09-13",2.52
"26","2018-09-14",2.63
"27","2018-09-17",2.75
"28","2018-09-18",2.61
"29","2018-09-19",2.64
"30","2018-09-20",2.42
"31","2018-09-21",2.58
"32","2018-09-24",2.53
"33","2018-09-25",2.45
"34","2018-09-26",2.45
"35","2018-09-27",2.45
"36","2018-09-28",2.46
"37","2018-10-01",2.59
"38","2018-10-02",2.66
"39","2018-10-03",2.89
"40","2018-10-04",2.91
"41","2018-10-05",2.8
"42","2018-10-08",2.82
"43","2018-10-09",2.65
"44","2018-10-10",2.61
"45","2018-10-11",2.76
"46","2018-10-12",2.61
"47","2018-10-15",2.61
"48","2018-10-16",2.7
"49","2018-10-17",2.7
"50","2018-10-18",2.65
"51","2018-10-19",2.6
"52","2018-10-22",2.49
"53","2018-10-23",2.33
"54","2018-10-24",2.36
"55","2018-10-25",2.2
"56","2018-10-26",2.18
"57","2018-10-29",4.55
"58","2018-10-30",3.31
"59","2018-10-31",3.18
"60","2018-11-01",3.75
"61","2018-11-02",3.53
"62","2018-11-05",3.07
"63","2018-11-06",2.55
"64","2018-11-07",1.93
"65","2018-11-08",1.86
"66","2018-11-09",1.92
"67","2018-11-12",1.85
"68","2018-11-13",1.79
"69","2018-11-14",1.67
"70","2018-11-15",1.47
"71","2018-11-16",1.35
"72","2018-11-19",1.53
"73","2018-11-20",1.38
"74","2018-11-21",1.45
"75","2018-11-23",1.44
"76","2018-11-26",1.49
"77","2018-11-27",1.45
"78","2018-11-28",1.4
"79","2018-11-29",1.38
"80","2018-11-30",1.43
"81","2018-12-03",1.34
"82","2018-12-04",1.29
"83","2018-12-06",1.21
"84","2018-12-07",1.21
"85","2018-12-10",1.18
"86","2018-12-11",1.18
"87","2018-12-12",1.16
"88","2018-12-13",1.11
"89","2018-12-14",1.07
"90","2018-12-17",1.21
"91","2018-12-18",1.35
"92","2018-12-19",1.36
"93","2018-12-20",1.18
"94","2018-12-21",1.21
"95","2018-12-24",0.95
"96","2018-12-26",1.02
"97","2018-12-27",1.15
"98","2018-12-28",1.06
"99","2018-12-31",1.07
"100","2019-01-02",1.17
"101","2019-01-03",1.26
"102","2019-01-04",1.32
"103","2019-01-07",1.46
"104","2019-01-08",1.54
"105","2019-01-09",1.5
"106","2019-01-10",1.41
"107","2019-01-11",1.38
"108","2019-01-14",1.36
"109","2019-01-15",1.35
"110","2019-01-16",1.32
"111","2019-01-17",1.29
"112","2019-01-18",1.27
"113","2019-01-22",1.21
"114","2019-01-23",1.27
"115","2019-01-24",1.29
"116","2019-01-25",1.28
"117","2019-01-28",1.23
"118","2019-01-29",1.37
"119","2019-01-30",1.35
"120","2019-01-31",1.32
"121","2019-02-01",1.31
"122","2019-02-04",1.28
"123","2019-02-05",1.24
"124","2019-02-06",1.21
"125","2019-02-07",1.23
"126","2019-02-08",1.22
"127","2019-02-11",1.25
"128","2019-02-12",1.35
"129","2019-02-13",4.33
"130","2019-02-14",4.81
"131","2019-02-15",4.39
"132","2019-02-19",4.61
"133","2019-02-20",4.21
"134","2019-02-21",4.15
"135","2019-02-22",3.77
"136","2019-02-25",3.89
"137","2019-02-26",4.14
"138","2019-02-27",4.32
"139","2019-02-28",4.12
"140","2019-03-01",4.17
"141","2019-03-04",3.99
"142","2019-03-05",3.98
"143","2019-03-06",3.85
"144","2019-03-07",3.81
"145","2019-03-08",3.75
"146","2019-03-11",3.84
"147","2019-03-12",3.84
"148","2019-03-13",3.71
"149","2019-03-14",3.37
"150","2019-03-15",3.33
"151","2019-03-18",3.23
"152","2019-03-19",3.42
"153","2019-03-20",4.26
"154","2019-03-21",4.89
"155","2019-03-22",4.46
"156","2019-03-25",3.88
