"","date","GOGO"
"1","2013-06-21",16
"2","2013-06-24",14.27
"3","2013-06-25",14.91
"4","2013-06-26",14.5
"5","2013-06-27",14
"6","2013-06-28",13.97
"7","2013-07-01",13.7
"8","2013-07-02",13.19
"9","2013-07-03",13
"10","2013-07-05",13.23
"11","2013-07-08",13
"12","2013-07-09",12.7
"13","2013-07-10",12.45
"14","2013-07-11",13.09
"15","2013-07-12",13.99
"16","2013-07-15",14
"17","2013-07-16",13.3
"18","2013-07-17",13.02
"19","2013-07-18",13.26
"20","2013-07-19",13.03
"21","2013-07-22",12.91
"22","2013-07-23",13.03
"23","2013-07-24",12.59
"24","2013-07-25",12.54
"25","2013-07-26",12.33
"26","2013-07-29",12.17
"27","2013-07-30",12.09
"28","2013-07-31",12.03
"29","2013-08-01",12.05
"30","2013-08-02",12.04
"31","2013-08-05",12.63
"32","2013-08-06",12.87
"33","2013-08-07",12.77
"34","2013-08-08",11.98
"35","2013-08-09",11.02
"36","2013-08-12",10.45
"37","2013-08-13",10.76
"38","2013-08-14",11.15
"39","2013-08-15",11.39
"40","2013-08-16",11.33
"41","2013-08-19",10.75
"42","2013-08-20",10.17
"43","2013-08-21",9.98
"44","2013-08-22",10.24
"45","2013-08-23",10.29
"46","2013-08-26",10.27
"47","2013-08-27",10.18
"48","2013-08-28",10.73
"49","2013-08-29",11.22
"50","2013-08-30",11.3
"51","2013-09-03",11.29
"52","2013-09-04",11.33
"53","2013-09-05",11.76
"54","2013-09-06",11.89
"55","2013-09-09",12.04
"56","2013-09-10",12.25
"57","2013-09-11",13.57
"58","2013-09-12",13.95
"59","2013-09-13",15.11
"60","2013-09-16",15.22
"61","2013-09-17",15.73
"62","2013-09-18",16.450001
"63","2013-09-19",18.01
"64","2013-09-20",18.57
"65","2013-09-23",18.34
"66","2013-09-24",17.98
"67","2013-09-25",18.459999
"68","2013-09-26",18.99
"69","2013-09-27",18.559999
"70","2013-09-30",17.77
"71","2013-10-01",17.059999
"72","2013-10-02",17.5
"73","2013-10-03",17.120001
"74","2013-10-04",17.15
"75","2013-10-07",16.950001
"76","2013-10-08",17.15
"77","2013-10-09",16.200001
"78","2013-10-10",17.139999
"79","2013-10-11",16.92
"80","2013-10-14",16.68
"81","2013-10-15",16.370001
"82","2013-10-16",16.940001
"83","2013-10-17",16.950001
"84","2013-10-18",16.690001
"85","2013-10-21",16.559999
"86","2013-10-22",15.97
"87","2013-10-23",16.09
"88","2013-10-24",16.15
"89","2013-10-25",16.23
"90","2013-10-28",17.860001
"91","2013-10-29",17.83
"92","2013-10-30",17.84
"93","2013-10-31",18.639999
"94","2013-11-01",18.67
"95","2013-11-04",18.25
"96","2013-11-05",18.59
"97","2013-11-06",18.040001
"98","2013-11-07",17.530001
"99","2013-11-08",18.75
"100","2013-11-11",24.15
"101","2013-11-12",24.91
"102","2013-11-13",28.299999
"103","2013-11-14",28.799999
"104","2013-11-15",28.059999
"105","2013-11-18",24.9
"106","2013-11-19",25.15
"107","2013-11-20",27.639999
"108","2013-11-21",29.700001
"109","2013-11-22",27.780001
"110","2013-11-25",26.73
"111","2013-11-26",27.49
"112","2013-11-27",26.93
"113","2013-11-29",26.67
"114","2013-12-02",31.309999
"115","2013-12-03",34.299999
"116","2013-12-04",34.34
"117","2013-12-05",32.889999
"118","2013-12-06",32.889999
"119","2013-12-09",30.620001
"120","2013-12-10",31.059999
"121","2013-12-11",30.08
"122","2013-12-12",29.790001
"123","2013-12-13",29.27
"124","2013-12-16",28.9
"125","2013-12-17",30.74
"126","2013-12-18",25.91
"127","2013-12-19",25.540001
"128","2013-12-20",24.27
"129","2013-12-23",24.08
"130","2013-12-24",25.209999
"131","2013-12-26",26.639999
"132","2013-12-27",25.459999
"133","2013-12-30",25.59
"134","2013-12-31",24.82
"135","2014-01-02",24.379999
"136","2014-01-03",23.91
"137","2014-01-06",23.879999
"138","2014-01-07",26.25
"139","2014-01-08",23.92
"140","2014-01-09",24.16
"141","2014-01-10",22.719999
"142","2014-01-13",23.01
"143","2014-01-14",23.01
"144","2014-01-15",22.690001
"145","2014-01-16",23.01
"146","2014-01-17",23.379999
"147","2014-01-21",24.700001
"148","2014-01-22",25.139999
"149","2014-01-23",24.040001
"150","2014-01-24",23.219999
"151","2014-01-27",21
"152","2014-01-28",21
"153","2014-01-29",20.16
"154","2014-01-30",21.34
"155","2014-01-31",20.389999
"156","2014-02-03",18.85
"157","2014-02-04",19.32
"158","2014-02-05",19.219999
"159","2014-02-06",19.77
"160","2014-02-07",20.82
"161","2014-02-10",20.9
"162","2014-02-11",21.09
"163","2014-02-12",21.58
"164","2014-02-13",21.91
"165","2014-02-14",19.870001
"166","2014-02-18",20
"167","2014-02-19",20.559999
"168","2014-02-20",20.02
"169","2014-02-21",20.030001
"170","2014-02-24",19.52
"171","2014-02-25",20.450001
"172","2014-02-26",20.469999
"173","2014-02-27",21.299999
"174","2014-02-28",20.85
"175","2014-03-03",20.65
"176","2014-03-04",21.700001
"177","2014-03-05",24.35
"178","2014-03-06",24.290001
"179","2014-03-07",24.799999
"180","2014-03-10",24.549999
"181","2014-03-11",23.67
"182","2014-03-12",23.879999
"183","2014-03-13",21.99
"184","2014-03-14",21.85
"185","2014-03-17",22.549999
