"","date","ITCB"
"1","2007-01-03",7.8
"2","2007-01-04",8.103
"3","2007-01-05",8.196
"4","2007-01-08",8.196
"5","2007-01-09",8.25
"6","2007-01-10",8.13
"7","2007-01-11",8.1
"8","2007-01-12",8.16
"9","2007-01-16",8.16
"10","2007-01-17",8.178
"11","2007-01-18",8.178
"12","2007-01-19",8.16
"13","2007-01-22",8.16
"14","2007-01-23",8.139
"15","2007-01-24",8.16
"16","2007-01-25",8.223
"17","2007-01-26",8.223
"18","2007-01-29",8.13
"19","2007-01-30",8.13
"20","2007-01-31",8.19
"21","2007-02-01",8.25
"22","2007-02-02",8.25
"23","2007-02-05",8.217
"24","2007-02-06",8.175
"25","2007-02-07",8.37
"26","2007-02-08",8.55
"27","2007-02-09",8.853
"28","2007-02-12",8.775
"29","2007-02-13",9.015
"30","2007-02-14",8.88
"31","2007-02-15",8.91
"32","2007-02-16",8.286
"33","2007-02-20",8.22
"34","2007-02-21",8.094
"35","2007-02-22",7.998
"36","2007-02-23",8.112
"37","2007-02-26",7.8
"38","2007-02-27",7.512
"39","2007-02-28",7.65
"40","2007-03-01",7.773
"41","2007-03-02",7.725
"42","2007-03-05",7.914
"43","2007-03-06",8.022
"44","2007-03-07",8.022
"45","2007-03-08",7.815
"46","2007-03-09",7.815
"47","2007-03-12",8.472
"48","2007-03-13",7.95
"49","2007-03-14",7.95
"50","2007-03-15",7.893
"51","2007-03-16",7.893
"52","2007-03-19",7.893
"53","2007-03-20",8.175
"54","2007-03-21",8.301
"55","2007-03-22",8.301
"56","2007-03-23",8.301
"57","2007-03-26",8.364
"58","2007-03-27",8.295
"59","2007-03-28",8.235
"60","2007-03-29",8.22
"61","2007-03-30",8.175
"62","2007-04-02",8.175
"63","2007-04-03",8.145
"64","2007-04-04",8.145
"65","2007-04-05",8.1
"66","2007-04-09",8.1
"67","2007-04-10",8.04
"68","2007-04-11",8.013
"69","2007-04-12",8.103
"70","2007-04-13",8.133
"71","2007-04-16",8.1
"72","2007-04-17",7.953
"73","2007-04-18",8.217
"74","2007-04-19",8.217
"75","2007-04-20",8.217
"76","2007-04-23",8.205
"77","2007-04-24",8.205
"78","2007-04-25",8.205
"79","2007-04-26",8.091
"80","2007-04-27",8.091
"81","2007-04-30",7.8
"82","2007-05-01",7.71
"83","2007-05-02",7.98
"84","2007-05-03",8.205
"85","2007-05-04",8.277
"86","2007-05-07",8.328
"87","2007-05-08",8.328
"88","2007-05-09",8.328
"89","2007-05-10",8.328
"90","2007-05-11",8.328
"91","2007-05-14",8.328
"92","2007-05-15",8.262
"93","2007-05-16",8.076
"94","2007-05-17",8.076
"95","2007-05-18",8.076
"96","2007-05-21",8.076
"97","2007-05-22",7.932
"98","2007-05-23",8.004
