"","date","FATE"
"1","2013-10-01",6.62
"2","2013-10-02",6.95
"3","2013-10-03",6.9
"4","2013-10-04",7.15
"5","2013-10-07",8.5
"6","2013-10-08",7.94
"7","2013-10-09",6.7
"8","2013-10-10",6.96
"9","2013-10-11",7.05
"10","2013-10-14",7.01
"11","2013-10-15",7.19
"12","2013-10-16",7
"13","2013-10-17",7.03
"14","2013-10-18",7
"15","2013-10-21",7
"16","2013-10-22",6.72
"17","2013-10-23",6.85
"18","2013-10-24",6.93
"19","2013-10-25",6.87
"20","2013-10-28",6.45
"21","2013-10-29",6.3
"22","2013-10-30",6.25
"23","2013-10-31",6
"24","2013-11-01",6.01
"25","2013-11-04",6.29
"26","2013-11-05",6.11
"27","2013-11-06",5.95
"28","2013-11-07",5
"29","2013-11-08",4.61
"30","2013-11-11",4.65
"31","2013-11-12",4.77
"32","2013-11-13",5.16
"33","2013-11-14",4.86
"34","2013-11-15",5.1
"35","2013-11-18",4.95
"36","2013-11-19",5
"37","2013-11-20",4.96
"38","2013-11-21",5
"39","2013-11-22",5.06
"40","2013-11-25",5.05
"41","2013-11-26",5.25
"42","2013-11-27",5.46
"43","2013-11-29",5.6
"44","2013-12-02",5.64
"45","2013-12-03",5.94
"46","2013-12-04",6.05
"47","2013-12-05",6.14
"48","2013-12-06",6.33
"49","2013-12-09",6.34
"50","2013-12-10",6.4
"51","2013-12-11",6.41
"52","2013-12-12",7
"53","2013-12-13",7.2
"54","2013-12-16",7
"55","2013-12-17",6.84
"56","2013-12-18",7.19
"57","2013-12-19",7.19
"58","2013-12-20",6.82
"59","2013-12-23",6.55
"60","2013-12-24",6.83
"61","2013-12-26",7.01
"62","2013-12-27",6.97
"63","2013-12-30",6.61
"64","2013-12-31",6.28
"65","2014-01-02",6.36
"66","2014-01-03",6.82
"67","2014-01-06",6.55
"68","2014-01-07",6.37
"69","2014-01-08",6.84
"70","2014-01-09",6.62
"71","2014-01-10",6.61
"72","2014-01-13",6.43
"73","2014-01-14",6.55
"74","2014-01-15",6.64
"75","2014-01-16",6.95
"76","2014-01-17",7.16
"77","2014-01-21",6.88
"78","2014-01-22",7.02
"79","2014-01-23",6.8
"80","2014-01-24",6.92
"81","2014-01-27",6.26
"82","2014-01-28",6.25
"83","2014-01-29",6.11
"84","2014-01-30",6.26
"85","2014-01-31",6.2
"86","2014-02-03",6.25
"87","2014-02-04",6.17
"88","2014-02-05",6.12
"89","2014-02-06",6.07
"90","2014-02-07",6.2
"91","2014-02-10",6
"92","2014-02-11",5.99
"93","2014-02-12",5.88
"94","2014-02-13",5.92
"95","2014-02-14",6.01
"96","2014-02-18",6
"97","2014-02-19",6.06
"98","2014-02-20",6
"99","2014-02-21",6
"100","2014-02-24",6.1
"101","2014-02-25",6.19
"102","2014-02-26",6.26
"103","2014-02-27",7.1
"104","2014-02-28",6.97
"105","2014-03-03",8.98
"106","2014-03-04",8.67
"107","2014-03-05",8.82
"108","2014-03-06",9.47
"109","2014-03-07",9.09
"110","2014-03-10",9.04
"111","2014-03-11",8.99
"112","2014-03-12",8.83
"113","2014-03-13",8.77
"114","2014-03-14",11.15
"115","2014-03-17",10.43
"116","2014-03-18",11.51
"117","2014-03-19",11.07
"118","2014-03-20",11.65
"119","2014-03-21",11.45
"120","2014-03-24",11.35
"121","2014-03-25",11
"122","2014-03-26",12.28
"123","2014-03-27",11.75
"124","2014-03-28",11.26
"125","2014-03-31",9.74
"126","2014-04-01",9
"127","2014-04-02",9.14
"128","2014-04-03",8.57
"129","2014-04-04",8.7
"130","2014-04-07",8.36
"131","2014-04-08",7.92
"132","2014-04-09",8.08
"133","2014-04-10",8.43
"134","2014-04-11",8
"135","2014-04-14",7.66
"136","2014-04-15",6.73
"137","2014-04-16",7.25
"138","2014-04-17",7
"139","2014-04-21",7.07
"140","2014-04-22",7.11
"141","2014-04-23",6.99
"142","2014-04-24",7.04
"143","2014-04-25",6.97
"144","2014-04-28",7.02
"145","2014-04-29",7.24
"146","2014-04-30",6.88
"147","2014-05-01",7.2
"148","2014-05-02",7.11
"149","2014-05-05",7.01
"150","2014-05-06",7.09
"151","2014-05-07",6.96
"152","2014-05-08",6.84
"153","2014-05-09",6.85
"154","2014-05-12",6.91
"155","2014-05-13",6.56
"156","2014-05-14",6.55
"157","2014-05-15",6.69
"158","2014-05-16",6.65
"159","2014-05-19",6.6
"160","2014-05-20",6.46
"161","2014-05-21",6.2
"162","2014-05-22",6.55
"163","2014-05-23",6.41
"164","2014-05-27",6.49
"165","2014-05-28",6.97
"166","2014-05-29",6.94
"167","2014-05-30",6.99
"168","2014-06-02",6.71
"169","2014-06-03",6.93
"170","2014-06-04",6.66
"171","2014-06-05",6.65
"172","2014-06-06",6.71
"173","2014-06-09",6.99
"174","2014-06-10",7
"175","2014-06-11",6.94
"176","2014-06-12",6.99
"177","2014-06-13",6.99
"178","2014-06-16",6.94
"179","2014-06-17",6.94
"180","2014-06-18",6.75
"181","2014-06-19",6.57
"182","2014-06-20",6.21
"183","2014-06-23",6.28
"184","2014-06-24",6.48
"185","2014-06-25",6.59
"186","2014-06-26",6.53
"187","2014-06-27",6.25
"188","2014-06-30",6.31
"189","2014-07-01",6.4
"190","2014-07-02",6.49
"191","2014-07-03",6.4
"192","2014-07-07",6.49
"193","2014-07-08",6.4
"194","2014-07-09",6.4
"195","2014-07-10",6.42
"196","2014-07-11",6.48
"197","2014-07-14",6.47
