"","date","SFUN"
"1","2010-09-17",183.75
"2","2010-09-20",167
"3","2010-09-21",170.175003
"4","2010-09-22",167.024994
"5","2010-09-23",167.699997
"6","2010-09-24",174.149994
"7","2010-09-27",168.050003
"8","2010-09-28",162.5
"9","2010-09-29",152.774994
"10","2010-09-30",162.949997
"11","2010-10-01",163.850006
"12","2010-10-04",158.274994
"13","2010-10-05",165
"14","2010-10-06",165.75
"15","2010-10-07",161.300003
"16","2010-10-08",160.425003
"17","2010-10-11",158.475006
"18","2010-10-12",160.300003
"19","2010-10-13",174.324997
"20","2010-10-14",191.649994
"21","2010-10-15",188.324997
"22","2010-10-18",181.949997
"23","2010-10-19",178.524994
"24","2010-10-20",175.024994
"25","2010-10-21",177.5
"26","2010-10-22",199.774994
"27","2010-10-25",200.324997
"28","2010-10-26",195.975006
"29","2010-10-27",185.5
"30","2010-10-28",182.5
"31","2010-10-29",183.75
"32","2010-11-01",183.475006
"33","2010-11-02",183.75
"34","2010-11-03",192.5
"35","2010-11-04",191.399994
"36","2010-11-05",192.975006
"37","2010-11-08",207.5
"38","2010-11-09",209.425003
"39","2010-11-10",229.625
"40","2010-11-11",236.300003
"41","2010-11-12",222.324997
"42","2010-11-15",207.925003
"43","2010-11-16",191.75
"44","2010-11-17",190.050003
"45","2010-11-18",189.5
"46","2010-11-19",191.925003
"47","2010-11-22",191.449997
"48","2010-11-23",190
"49","2010-11-24",187.5
"50","2010-11-26",191.25
"51","2010-11-29",191.100006
"52","2010-11-30",184.050003
"53","2010-12-01",182.449997
"54","2010-12-02",189.75
"55","2010-12-03",185.425003
"56","2010-12-06",190.5
"57","2010-12-07",195.024994
"58","2010-12-08",188.449997
"59","2010-12-09",179.25
"60","2010-12-10",182.5
"61","2010-12-13",177.225006
"62","2010-12-14",169.5
"63","2010-12-15",171.925003
"64","2010-12-16",172.600006
"65","2010-12-17",181.274994
"66","2010-12-20",181.274994
"67","2010-12-21",181.350006
"68","2010-12-22",186.625
"69","2010-12-23",188.25
"70","2010-12-27",173.125
"71","2010-12-28",167.225006
"72","2010-12-29",167.050003
"73","2010-12-30",171.600006
"74","2010-12-31",178.800003
"75","2011-01-03",181.175003
"76","2011-01-04",181.225006
"77","2011-01-05",180.024994
"78","2011-01-06",179
"79","2011-01-07",176.050003
"80","2011-01-10",174.524994
"81","2011-01-11",179.449997
"82","2011-01-12",196.824997
"83","2011-01-13",199.300003
"84","2011-01-14",201.25
"85","2011-01-18",207.350006
"86","2011-01-19",206.899994
"87","2011-01-20",202.5
"88","2011-01-21",204.524994
"89","2011-01-24",201.574997
"90","2011-01-25",208.25
"91","2011-01-26",195.024994
"92","2011-01-27",195.225006
"93","2011-01-28",190.274994
"94","2011-01-31",193.625
"95","2011-02-01",201.449997
"96","2011-02-02",198.125
"97","2011-02-03",200.725006
"98","2011-02-04",200.850006
"99","2011-02-07",203.774994
"100","2011-02-08",200.149994
"101","2011-02-09",195.350006
"102","2011-02-10",191.25
"103","2011-02-11",191.524994
"104","2011-02-14",203.425003
"105","2011-02-15",201.274994
"106","2011-02-16",204.875
"107","2011-02-17",204.324997
"108","2011-02-18",206.300003
"109","2011-02-22",202.300003
"110","2011-02-23",195.100006
"111","2011-02-24",193.5
"112","2011-02-25",197.100006
"113","2011-02-28",194.699997
"114","2011-03-01",198.300003
"115","2011-03-02",187.199997
"116","2011-03-03",193.699997
