"","date","PKBK"
"1","2007-01-03",8.604547
"2","2007-01-04",8.368939
"3","2007-01-05",8.368939
"4","2007-01-08",8.339489
"5","2007-01-09",8.221685
"6","2007-01-10",7.932086
"7","2007-01-11",8.098974
"8","2007-01-12",8.226594
"9","2007-01-16",8.152966
"10","2007-01-17",8.344398
"11","2007-01-18",8.373848
"12","2007-01-19",8.442567
"13","2007-01-22",8.516193
"14","2007-01-23",8.467109
"15","2007-01-24",8.570187
"16","2007-01-25",8.491652
"17","2007-01-26",8.584912
"18","2007-01-29",8.516193
"19","2007-01-30",8.491652
"20","2007-01-31",8.540736
"21","2007-02-01",8.589821
"22","2007-02-02",8.589821
"23","2007-02-05",8.614363
"24","2007-02-06",8.614363
"25","2007-02-07",8.545645
"26","2007-02-08",8.589821
"27","2007-02-09",8.486743
"28","2007-02-12",8.633997
"29","2007-02-13",8.633997
"30","2007-02-14",8.633997
"31","2007-02-15",8.683082
"32","2007-02-16",8.683082
"33","2007-02-20",8.830336
"34","2007-02-21",8.830336
"35","2007-02-22",8.791068
"36","2007-02-23",8.87942
"37","2007-02-26",8.87942
"38","2007-02-27",8.957956
"39","2007-02-28",8.884329
"40","2007-03-01",8.712532
"41","2007-03-02",8.87942
"42","2007-03-05",8.668356
"43","2007-03-06",8.668356
"44","2007-03-07",8.638906
"45","2007-03-08",8.638906
"46","2007-03-09",8.638906
"47","2007-03-12",8.835244
"48","2007-03-13",8.68799
"49","2007-03-14",8.741983
"50","2007-03-15",8.717441
"51","2007-03-16",8.717441
"52","2007-03-19",8.472017
"53","2007-03-20",8.344398
"54","2007-03-21",8.589821
"55","2007-03-22",8.516193
"56","2007-03-23",8.805794
"57","2007-03-26",8.835244
"58","2007-03-27",8.835244
"59","2007-03-28",8.825427
"60","2007-03-29",8.692899
"61","2007-03-30",9.026674
"62","2007-04-02",9.20338
"63","2007-04-03",8.825427
"64","2007-04-04",9.065942
"65","2007-04-05",9.223013
"66","2007-04-09",9.355542
"67","2007-04-10",9.578386
"68","2007-04-11",9.583786
"69","2007-04-12",9.15724
"70","2007-04-13",9.15724
"71","2007-04-16",9.07085
"72","2007-04-17",9.07085
"73","2007-04-18",9.146441
