"","date","AXNX"
"1","2018-10-31",14.98
"2","2018-11-01",14.5
"3","2018-11-02",15.07
"4","2018-11-05",14.75
"5","2018-11-06",14.9
"6","2018-11-07",15.63
"7","2018-11-08",15
"8","2018-11-09",14.84
"9","2018-11-12",15.01
"10","2018-11-13",15.5
"11","2018-11-14",15.14
"12","2018-11-15",15.15
"13","2018-11-16",15.05
"14","2018-11-19",15.2
"15","2018-11-20",14
"16","2018-11-21",14.73
"17","2018-11-23",14.92
"18","2018-11-26",14.99
"19","2018-11-27",14.82
"20","2018-11-28",14.09
"21","2018-11-29",13.4
"22","2018-11-30",13.2
"23","2018-12-03",14.01
"24","2018-12-04",14.34
"25","2018-12-06",14.8
"26","2018-12-07",15.17
"27","2018-12-10",16.1
"28","2018-12-11",15.48
"29","2018-12-12",16.43
"30","2018-12-13",15.96
"31","2018-12-14",16.299999
"32","2018-12-17",15.46
"33","2018-12-18",15.55
"34","2018-12-19",14.99
"35","2018-12-20",14.15
"36","2018-12-21",13.89
"37","2018-12-24",13.71
"38","2018-12-26",14.27
"39","2018-12-27",15.15
"40","2018-12-28",14.56
"41","2018-12-31",15.11
"42","2019-01-02",14.16
"43","2019-01-03",13.52
"44","2019-01-04",14.73
"45","2019-01-07",14.34
"46","2019-01-08",13.32
"47","2019-01-09",14.49
"48","2019-01-10",14.69
"49","2019-01-11",14.35
"50","2019-01-14",14.95
"51","2019-01-15",14.99
"52","2019-01-16",14.95
"53","2019-01-17",15.06
"54","2019-01-18",15.18
"55","2019-01-22",14.85
"56","2019-01-23",14.72
"57","2019-01-24",14.84
"58","2019-01-25",14.99
"59","2019-01-28",14.35
"60","2019-01-29",14.27
"61","2019-01-30",14.19
"62","2019-01-31",14.6
"63","2019-02-01",14.81
"64","2019-02-04",15.18
"65","2019-02-05",14.65
"66","2019-02-06",14.91
"67","2019-02-07",14.8
"68","2019-02-08",14.9
"69","2019-02-11",14.56
"70","2019-02-12",15.72
"71","2019-02-13",15.7
"72","2019-02-14",15.65
"73","2019-02-15",16.440001
"74","2019-02-19",18
"75","2019-02-20",21.129999
"76","2019-02-21",22.5
"77","2019-02-22",21.5
"78","2019-02-25",21.450001
"79","2019-02-26",21.34
"80","2019-02-27",20.85
"81","2019-02-28",21.26
"82","2019-03-01",21.75
"83","2019-03-04",21.440001
"84","2019-03-05",20.75
"85","2019-03-06",19.91
"86","2019-03-07",20.469999
"87","2019-03-08",20.530001
"88","2019-03-11",21.42
"89","2019-03-12",20.620001
"90","2019-03-13",22
"91","2019-03-14",21.5
"92","2019-03-15",22.6
"93","2019-03-18",21.84
"94","2019-03-19",22.280001
"95","2019-03-20",23.540001
"96","2019-03-21",24.35
"97","2019-03-22",23.24
"98","2019-03-25",22.99
"99","2019-03-26",23.809999
"100","2019-03-27",22.940001
"101","2019-03-28",23.709999
"102","2019-03-29",23.950001
"103","2019-04-01",23.33
"104","2019-04-02",23.629999
"105","2019-04-03",23.16
"106","2019-04-04",21.6
"107","2019-04-05",21.52
"108","2019-04-08",21.040001
"109","2019-04-09",21.67
"110","2019-04-10",21.959999
"111","2019-04-11",20.870001
"112","2019-04-12",20.799999
"113","2019-04-15",20.09
"114","2019-04-16",19.4
"115","2019-04-17",18.540001
"116","2019-04-18",18.99
"117","2019-04-22",19.23
"118","2019-04-23",19.809999
"119","2019-04-24",19.969999
"120","2019-04-25",20.290001
"121","2019-04-26",21.809999
"122","2019-04-29",21.01
"123","2019-04-30",20.200001
"124","2019-05-01",21.43
"125","2019-05-02",21.860001
