"","date","OGS"
"1","2014-01-16",33.099998
"2","2014-01-17",33.290001
"3","2014-01-21",33.369999
"4","2014-01-22",33.599998
"5","2014-01-23",33.560001
"6","2014-01-24",33.34
"7","2014-01-27",33.34
"8","2014-01-28",33.619999
"9","2014-01-29",33.709999
"10","2014-01-30",33.93
"11","2014-01-31",34.119999
"12","2014-02-03",33.630001
"13","2014-02-04",33.220001
"14","2014-02-05",33.23
"15","2014-02-06",33.400002
"16","2014-02-07",32.98
"17","2014-02-10",32.5
"18","2014-02-11",32.84
"19","2014-02-12",32.25
"20","2014-02-13",32.509998
"21","2014-02-14",33.110001
"22","2014-02-18",33.189999
"23","2014-02-19",33.099998
"24","2014-02-20",33.139999
"25","2014-02-21",33.240002
"26","2014-02-24",33.16
"27","2014-02-25",32.939999
"28","2014-02-26",33.18
"29","2014-02-27",33.220001
"30","2014-02-28",33.98
"31","2014-03-03",34.869999
"32","2014-03-04",35.169998
"33","2014-03-05",35.389999
"34","2014-03-06",35.759998
"35","2014-03-07",35.639999
"36","2014-03-10",35.16
"37","2014-03-11",34.790001
"38","2014-03-12",35.689999
"39","2014-03-13",35.52
"40","2014-03-14",36.09
"41","2014-03-17",36.380001
"42","2014-03-18",36.619999
"43","2014-03-19",35.93
"44","2014-03-20",36.18
"45","2014-03-21",36.23
"46","2014-03-24",35.759998
"47","2014-03-25",35.599998
"48","2014-03-26",34.799999
"49","2014-03-27",35.099998
"50","2014-03-28",35.099998
"51","2014-03-31",35.93
"52","2014-04-01",36.119999
"53","2014-04-02",36.490002
"54","2014-04-03",36.23
"55","2014-04-04",36.59
"56","2014-04-07",36.32
"57","2014-04-08",36.299999
"58","2014-04-09",35.790001
"59","2014-04-10",35.279999
"60","2014-04-11",35.029999
"61","2014-04-14",35.400002
"62","2014-04-15",35.560001
"63","2014-04-16",35.91
"64","2014-04-17",35.880001
"65","2014-04-21",35.970001
"66","2014-04-22",35.849998
"67","2014-04-23",35.939999
"68","2014-04-24",36.509998
"69","2014-04-25",36.540001
"70","2014-04-28",36.259998
"71","2014-04-29",36.16
"72","2014-04-30",36.580002
"73","2014-05-01",36.860001
"74","2014-05-02",36.389999
"75","2014-05-05",36.290001
"76","2014-05-06",36.389999
"77","2014-05-07",36.549999
"78","2014-05-08",35.669998
"79","2014-05-09",35.939999
"80","2014-05-12",36.139999
"81","2014-05-13",35.990002
"82","2014-05-14",36.16
"83","2014-05-15",36.07
"84","2014-05-16",36.34
"85","2014-05-19",35.849998
"86","2014-05-20",35.779999
"87","2014-05-21",35.619999
"88","2014-05-22",36.07
"89","2014-05-23",36.209999
"90","2014-05-27",36.669998
"91","2014-05-28",37.150002
"92","2014-05-29",36.610001
"93","2014-05-30",36.630001
"94","2014-06-02",36.650002
"95","2014-06-03",36.009998
"96","2014-06-04",36.759998
"97","2014-06-05",36.939999
"98","2014-06-06",36.790001
"99","2014-06-09",37.310001
"100","2014-06-10",37.259998
"101","2014-06-11",37.080002
"102","2014-06-12",37.16
"103","2014-06-13",37.84
"104","2014-06-16",37.57
"105","2014-06-17",37.59
"106","2014-06-18",37.700001
"107","2014-06-19",37.400002
"108","2014-06-20",38.029999
"109","2014-06-23",37.98
"110","2014-06-24",38.310001
"111","2014-06-25",38.549999
"112","2014-06-26",38.040001
"113","2014-06-27",37.759998
"114","2014-06-30",37.75
"115","2014-07-01",37.380001
"116","2014-07-02",37.25
"117","2014-07-03",37.080002
"118","2014-07-07",36.560001
"119","2014-07-08",36.700001
"120","2014-07-09",36.849998
"121","2014-07-10",37
"122","2014-07-11",36.939999
"123","2014-07-14",37.029999
"124","2014-07-15",37.049999
"125","2014-07-16",36.959999
"126","2014-07-17",37.169998
"127","2014-07-18",37.720001
"128","2014-07-21",37.43
"129","2014-07-22",37.77
