"","date","BIOC"
"1","2014-02-05",8460
"2","2014-02-06",7785
"3","2014-02-07",8010
"4","2014-02-10",8019
"5","2014-02-11",7983
"6","2014-02-12",7821
"7","2014-02-13",7992
"8","2014-02-14",8154
"9","2014-02-18",8640
"10","2014-02-19",8514
"11","2014-02-20",8352
"12","2014-02-21",8199
"13","2014-02-24",8271
"14","2014-02-25",8154
"15","2014-02-26",8460
"16","2014-02-27",8550
"17","2014-02-28",8541
"18","2014-03-03",8235
"19","2014-03-04",8037
"20","2014-03-05",7524
"21","2014-03-06",7452
"22","2014-03-07",7389
"23","2014-03-10",7434
"24","2014-03-11",7020
"25","2014-03-12",6660
"26","2014-03-13",6606
"27","2014-03-14",6300
"28","2014-03-17",6309
"29","2014-03-18",7002
"30","2014-03-19",6750
"31","2014-03-20",6687
"32","2014-03-21",6930
"33","2014-03-24",6750
"34","2014-03-25",7020
"35","2014-03-26",6570
"36","2014-03-27",6471
"37","2014-03-28",6417
"38","2014-03-31",6606
"39","2014-04-01",6534
"40","2014-04-02",6606
"41","2014-04-03",6444
"42","2014-04-04",6489
"43","2014-04-07",6327
"44","2014-04-08",6534
"45","2014-04-09",6363
"46","2014-04-10",5751
"47","2014-04-11",5400
"48","2014-04-14",5094
"49","2014-04-15",4707
"50","2014-04-16",4689
"51","2014-04-17",4455
"52","2014-04-21",4482
"53","2014-04-22",4527
"54","2014-04-23",4491
"55","2014-04-24",4500
"56","2014-04-25",4248
"57","2014-04-28",4014
"58","2014-04-29",4248
"59","2014-04-30",4266
"60","2014-05-01",4860
"61","2014-05-02",4545
"62","2014-05-05",4464
"63","2014-05-06",4230
"64","2014-05-07",4176
"65","2014-05-08",4158
"66","2014-05-09",4059
"67","2014-05-12",4167
"68","2014-05-13",4086
"69","2014-05-14",4149
"70","2014-05-15",3942
"71","2014-05-16",3969
"72","2014-05-19",4059
"73","2014-05-20",4194
"74","2014-05-21",3996
"75","2014-05-22",3978
"76","2014-05-23",3996
"77","2014-05-27",3996
"78","2014-05-28",3987
"79","2014-05-29",3987
"80","2014-05-30",3987
"81","2014-06-02",4239
"82","2014-06-03",5004
"83","2014-06-04",5247
"84","2014-06-05",4842
"85","2014-06-06",4617
"86","2014-06-09",4401
"87","2014-06-10",4158
"88","2014-06-11",4320
"89","2014-06-12",4815
"90","2014-06-13",4824
"91","2014-06-16",4896
"92","2014-06-17",4950
"93","2014-06-18",6030
"94","2014-06-19",6507
"95","2014-06-20",6750
"96","2014-06-23",6156
"97","2014-06-24",6039
"98","2014-06-25",5976
"99","2014-06-26",6057
"100","2014-06-27",5418
"101","2014-06-30",5418
"102","2014-07-01",5193
"103","2014-07-02",4995
"104","2014-07-03",5085
"105","2014-07-07",5355
"106","2014-07-08",5382
"107","2014-07-09",5355
"108","2014-07-10",5778
"109","2014-07-11",5481
"110","2014-07-14",5391
"111","2014-07-15",5139
"112","2014-07-16",4716
"113","2014-07-17",4554
"114","2014-07-18",4977
"115","2014-07-21",4887
"116","2014-07-22",4869
