"","date","CARS"
"1","2017-06-01",25.59
"2","2017-06-02",27.049999
"3","2017-06-05",27.889999
"4","2017-06-06",29.139999
"5","2017-06-07",27.15
"6","2017-06-08",25.809999
"7","2017-06-09",25.809999
"8","2017-06-12",25.940001
"9","2017-06-13",25.870001
"10","2017-06-14",25.59
"11","2017-06-15",25.34
"12","2017-06-16",26.16
"13","2017-06-19",27
"14","2017-06-20",26.9
"15","2017-06-21",27.049999
"16","2017-06-22",27.58
"17","2017-06-23",28.200001
"18","2017-06-26",28.209999
"19","2017-06-27",27.549999
"20","2017-06-28",27.559999
"21","2017-06-29",26.870001
"22","2017-06-30",26.629999
"23","2017-07-03",27.08
"24","2017-07-05",27.040001
"25","2017-07-06",26.379999
"26","2017-07-07",25.83
"27","2017-07-10",25.950001
"28","2017-07-11",25.25
"29","2017-07-12",25.41
"30","2017-07-13",25.049999
"31","2017-07-14",24.129999
"32","2017-07-17",24.33
"33","2017-07-18",23.959999
"34","2017-07-19",23.25
"35","2017-07-20",23.120001
"36","2017-07-21",24.02
"37","2017-07-24",23.76
"38","2017-07-25",24.139999
"39","2017-07-26",24.76
"40","2017-07-27",24.129999
"41","2017-07-28",24.290001
"42","2017-07-31",24.299999
"43","2017-08-01",24.559999
"44","2017-08-02",24.219999
"45","2017-08-03",24.709999
"46","2017-08-04",24.629999
"47","2017-08-07",24.6
"48","2017-08-08",24.200001
"49","2017-08-09",24.65
"50","2017-08-10",24.690001
"51","2017-08-11",24.719999
"52","2017-08-14",24.74
"53","2017-08-15",25.24
"54","2017-08-16",25.25
"55","2017-08-17",24.77
"56","2017-08-18",24.459999
"57","2017-08-21",24.17
"58","2017-08-22",24.190001
"59","2017-08-23",24.190001
"60","2017-08-24",24.200001
"61","2017-08-25",25.34
"62","2017-08-28",26.190001
"63","2017-08-29",26.27
"64","2017-08-30",25.92
"65","2017-08-31",25.860001
"66","2017-09-01",26.309999
"67","2017-09-05",26.59
"68","2017-09-06",27.200001
"69","2017-09-07",27.42
"70","2017-09-08",26.85
"71","2017-09-11",27
"72","2017-09-12",26.799999
"73","2017-09-13",27.02
"74","2017-09-14",26.700001
"75","2017-09-15",26.129999
"76","2017-09-18",25.98
"77","2017-09-19",26.190001
"78","2017-09-20",25.870001
"79","2017-09-21",25.549999
"80","2017-09-22",26.440001
