"","date","RHP"
"1","2007-01-03",51.849998
"2","2007-01-04",51.650002
"3","2007-01-05",50.849998
"4","2007-01-08",51.330002
"5","2007-01-09",52.009998
"6","2007-01-10",52.529999
"7","2007-01-11",53.259998
"8","2007-01-12",53.900002
"9","2007-01-16",53.540001
"10","2007-01-17",53.02
"11","2007-01-18",52.360001
"12","2007-01-19",52.900002
"13","2007-01-22",52.200001
"14","2007-01-23",52.48
"15","2007-01-24",53.650002
"16","2007-01-25",52.639999
"17","2007-01-26",52.75
"18","2007-01-29",52.990002
"19","2007-01-30",53.889999
"20","2007-01-31",55.259998
"21","2007-02-01",55.529999
"22","2007-02-02",56.84
"23","2007-02-05",56.330002
"24","2007-02-06",56.139999
"25","2007-02-07",56.490002
"26","2007-02-08",56.209999
"27","2007-02-09",55.810001
"28","2007-02-12",55.93
"29","2007-02-13",55.119999
"30","2007-02-14",54.689999
"31","2007-02-15",55.119999
"32","2007-02-16",54.419998
"33","2007-02-20",55.27
"34","2007-02-21",55.779999
"35","2007-02-22",55.580002
"36","2007-02-23",54.970001
"37","2007-02-26",55.060001
"38","2007-02-27",52.150002
"39","2007-02-28",53.790001
"40","2007-03-01",54.330002
"41","2007-03-02",53.330002
"42","2007-03-05",51.84
"43","2007-03-06",52.23
"44","2007-03-07",52.830002
"45","2007-03-08",53.09
"46","2007-03-09",53.150002
"47","2007-03-12",52.59
"48","2007-03-13",50.889999
"49","2007-03-14",50.959999
"50","2007-03-15",51.049999
"51","2007-03-16",50.759998
"52","2007-03-19",51.880001
"53","2007-03-20",52.880001
"54","2007-03-21",52.849998
"55","2007-03-22",53
"56","2007-03-23",53.23
"57","2007-03-26",52.810001
"58","2007-03-27",52.209999
"59","2007-03-28",51.709999
"60","2007-03-29",52
"61","2007-03-30",52.869999
"62","2007-04-02",53
"63","2007-04-03",54.52
"64","2007-04-04",54.400002
"65","2007-04-05",54.349998
"66","2007-04-09",54.599998
"67","2007-04-10",54.959999
"68","2007-04-11",54.939999
"69","2007-04-12",55.310001
"70","2007-04-13",55.889999
"71","2007-04-16",56.310001
"72","2007-04-17",56.25
"73","2007-04-18",56.380001
"74","2007-04-19",56.139999
"75","2007-04-20",56.150002
"76","2007-04-23",56.34
"77","2007-04-24",56.25
"78","2007-04-25",56.490002
"79","2007-04-26",56.349998
"80","2007-04-27",56.299999
"81","2007-04-30",54.799999
"82","2007-05-01",54.669998
"83","2007-05-02",55.650002
"84","2007-05-03",55.84
"85","2007-05-04",56.259998
"86","2007-05-07",55.59
"87","2007-05-08",54.860001
"88","2007-05-09",55.07
"89","2007-05-10",53.709999
"90","2007-05-11",54.669998
"91","2007-05-14",54.459999
"92","2007-05-15",54.009998
"93","2007-05-16",54.830002
"94","2007-05-17",54.049999
"95","2007-05-18",55.150002
"96","2007-05-21",55.02
"97","2007-05-22",55.389999
"98","2007-05-23",55.34
"99","2007-05-24",54.619999
"100","2007-05-25",55.119999
"101","2007-05-29",55.150002
"102","2007-05-30",55.25
"103","2007-05-31",56.330002
"104","2007-06-01",56.889999
"105","2007-06-04",57.07
"106","2007-06-05",56.580002
"107","2007-06-06",56.48
"108","2007-06-07",55.34
"109","2007-06-08",55.529999
"110","2007-06-11",55.830002
"111","2007-06-12",55.099998
"112","2007-06-13",55.099998
"113","2007-06-14",54.860001
"114","2007-06-15",55.389999
"115","2007-06-18",55.330002
"116","2007-06-19",55.490002
"117","2007-06-20",54.509998
"118","2007-06-21",54.419998
"119","2007-06-22",53.93
