"","date","INTZ"
"1","2007-01-03",0.53
"2","2007-01-04",0.6
"3","2007-01-05",0.59
"4","2007-01-08",0.62
"5","2007-01-09",0.65
"6","2007-01-10",0.62
"7","2007-01-11",0.65
"8","2007-01-12",0.62
"9","2007-01-16",0.64
"10","2007-01-17",0.64
"11","2007-01-18",0.56
"12","2007-01-19",0.6
"13","2007-01-22",0.57
"14","2007-01-23",0.65
"15","2007-01-24",0.63
"16","2007-01-25",0.62
"17","2007-01-26",0.62
"18","2007-01-29",0.75
"19","2007-01-30",0.67
"20","2007-01-31",0.6
"21","2007-02-01",0.56
"22","2007-02-02",0.58
"23","2007-02-05",0.59
"24","2007-02-06",0.65
"25","2007-02-07",0.63
"26","2007-02-08",0.58
"27","2007-02-09",0.62
"28","2007-02-12",0.58
"29","2007-02-13",0.54
"30","2007-02-14",0.54
"31","2007-02-15",0.52
"32","2007-02-16",0.5
"33","2007-02-20",0.47
"34","2007-02-21",0.54
"35","2007-02-22",0.52
"36","2007-02-23",0.52
"37","2007-02-26",0.5
"38","2007-02-27",0.47
"39","2007-02-28",0.45
"40","2007-03-01",0.45
"41","2007-03-02",0.49
"42","2007-03-05",0.49
"43","2007-03-06",0.43
"44","2007-03-07",0.47
"45","2007-03-08",0.52
"46","2007-03-09",0.52
"47","2007-03-12",0.51
"48","2007-03-13",0.48
"49","2007-03-14",0.48
"50","2007-03-15",0.48
"51","2007-03-16",0.54
"52","2007-03-19",0.47
"53","2007-03-20",0.47
"54","2007-03-21",0.47
"55","2007-03-22",0.48
"56","2007-03-23",0.5
"57","2007-03-26",0.55
"58","2007-03-27",0.52
"59","2007-03-28",0.52
"60","2007-03-29",0.5
"61","2007-03-30",0.52
"62","2007-04-02",0.48
"63","2007-04-03",0.48
"64","2007-04-04",0.5
"65","2007-04-05",0.51
"66","2007-04-09",0.5
"67","2007-04-10",0.47
"68","2007-04-11",0.5
"69","2007-04-12",0.47
"70","2007-04-13",0.48
"71","2007-04-16",0.47
"72","2007-04-17",0.46
"73","2007-04-18",0.47
"74","2007-04-19",0.46
"75","2007-04-20",0.46
"76","2007-04-23",0.49
"77","2007-04-24",0.49
"78","2007-04-25",0.43
"79","2007-04-26",0.44
"80","2007-04-27",0.44
"81","2007-04-30",0.51
"82","2007-05-01",0.48
"83","2007-05-02",0.43
"84","2007-05-03",0.49
"85","2007-05-04",0.44
"86","2007-05-07",0.43
"87","2007-05-08",0.44
"88","2007-05-09",0.49
"89","2007-05-10",0.43
"90","2007-05-11",0.43
"91","2007-05-14",0.43
"92","2007-05-15",0.39
"93","2007-05-16",0.4
"94","2007-05-17",0.45
"95","2007-05-18",0.4
"96","2007-05-21",0.45
"97","2007-05-22",0.4
"98","2007-05-23",0.41
"99","2007-05-24",0.41
"100","2007-05-25",0.4
"101","2007-05-29",0.4
"102","2007-05-30",0.4
"103","2007-05-31",0.41
"104","2007-06-01",0.44
"105","2007-06-04",0.4
"106","2007-06-05",0.4
"107","2007-06-06",0.41
"108","2007-06-07",0.4
"109","2007-06-08",0.39
"110","2007-06-11",0.4
"111","2007-06-12",0.4
"112","2007-06-13",0.4
"113","2007-06-14",0.4
"114","2007-06-15",0.44
"115","2007-06-18",0.4
"116","2007-06-19",0.4
"117","2007-06-20",0.4
"118","2007-06-21",0.4
"119","2007-06-22",0.4
"120","2007-06-25",0.42
"121","2007-06-26",0.42
"122","2007-06-27",0.42
"123","2007-06-28",0.4
"124","2007-06-29",0.37
"125","2007-07-02",0.37
"126","2007-07-03",0.4
"127","2007-07-05",0.4
"128","2007-07-06",0.4
"129","2007-07-09",0.4
"130","2007-07-10",0.42
"131","2007-07-11",0.42
"132","2007-07-12",0.43
"133","2007-07-13",0.43
"134","2007-07-16",0.43
"135","2007-07-17",0.42
"136","2007-07-18",0.42
"137","2007-07-19",0.42
"138","2007-07-20",0.42
"139","2007-07-23",0.42
"140","2007-07-24",0.42
"141","2007-07-25",0.42
"142","2007-07-26",0.42
"143","2007-07-27",0.42
"144","2007-07-30",0.42
"145","2007-07-31",0.42
"146","2007-08-01",0.43
"147","2007-08-02",0.43
"148","2007-08-03",0.42
"149","2007-08-06",0.39
"150","2007-08-07",0.39
"151","2007-08-08",0.39
"152","2007-08-09",0.41
