"","date","UCTT"
"1","2007-01-03",13.25
"2","2007-01-04",13.75
"3","2007-01-05",13.49
"4","2007-01-08",14.71
"5","2007-01-09",15.06
"6","2007-01-10",15.31
"7","2007-01-11",15.37
"8","2007-01-12",15.87
"9","2007-01-16",15.34
"10","2007-01-17",14.74
"11","2007-01-18",13.57
"12","2007-01-19",13.76
"13","2007-01-22",13.66
"14","2007-01-23",13.58
"15","2007-01-24",13.67
"16","2007-01-25",13.71
"17","2007-01-26",13.57
"18","2007-01-29",13.92
"19","2007-01-30",14.19
"20","2007-01-31",13.94
"21","2007-02-01",14.63
"22","2007-02-02",14.89
"23","2007-02-05",14.61
"24","2007-02-06",14.39
"25","2007-02-07",14.4
"26","2007-02-08",14.32
"27","2007-02-09",14.22
"28","2007-02-12",14.94
"29","2007-02-13",13.7
"30","2007-02-14",14.26
"31","2007-02-15",13.97
"32","2007-02-16",13.42
"33","2007-02-20",13.96
"34","2007-02-21",13.82
"35","2007-02-22",14.37
"36","2007-02-23",16.65
"37","2007-02-26",17.1
"38","2007-02-27",15.71
"39","2007-02-28",16.299999
"40","2007-03-01",16.209999
"41","2007-03-02",15.58
"42","2007-03-05",15.71
"43","2007-03-06",16.16
"44","2007-03-07",16.889999
"45","2007-03-08",17.440001
"46","2007-03-09",17.049999
"47","2007-03-12",17.76
"48","2007-03-13",17.200001
"49","2007-03-14",16.950001
"50","2007-03-15",16.85
"51","2007-03-16",16.92
"52","2007-03-19",17.16
"53","2007-03-20",17.84
"54","2007-03-21",18.48
"55","2007-03-22",18.51
"56","2007-03-23",18.52
"57","2007-03-26",18.469999
"58","2007-03-27",18.1
"59","2007-03-28",17.799999
"60","2007-03-29",17.9
"61","2007-03-30",17.299999
"62","2007-04-02",17.49
"63","2007-04-03",17.51
"64","2007-04-04",17.540001
"65","2007-04-05",18.08
"66","2007-04-09",18.709999
"67","2007-04-10",17.889999
"68","2007-04-11",17.959999
"69","2007-04-12",18.299999
"70","2007-04-13",18.25
"71","2007-04-16",18.66
"72","2007-04-17",19.41
"73","2007-04-18",19.34
"74","2007-04-19",18.99
"75","2007-04-20",19.129999
"76","2007-04-23",19.6
"77","2007-04-24",15.85
"78","2007-04-25",15.18
"79","2007-04-26",14.9
"80","2007-04-27",15.1
"81","2007-04-30",14.64
"82","2007-05-01",14.49
"83","2007-05-02",14.98
"84","2007-05-03",14.71
"85","2007-05-04",14.48
"86","2007-05-07",14.94
"87","2007-05-08",14.58
"88","2007-05-09",14.67
"89","2007-05-10",13.75
"90","2007-05-11",13.96
"91","2007-05-14",13.66
"92","2007-05-15",13.54
"93","2007-05-16",12.98
"94","2007-05-17",12.91
"95","2007-05-18",13.15
"96","2007-05-21",13.19
"97","2007-05-22",13.5
"98","2007-05-23",13.73
"99","2007-05-24",13.07
"100","2007-05-25",13.22
"101","2007-05-29",13.2
"102","2007-05-30",13.4
"103","2007-05-31",13.82
"104","2007-06-01",13.97
"105","2007-06-04",14.39
"106","2007-06-05",14.23
"107","2007-06-06",14
"108","2007-06-07",13.83
"109","2007-06-08",13.91
"110","2007-06-11",13.95
"111","2007-06-12",13.87
"112","2007-06-13",13.94
"113","2007-06-14",14.32
"114","2007-06-15",14.72
"115","2007-06-18",14.66
"116","2007-06-19",14.42
"117","2007-06-20",14.16
"118","2007-06-21",14.35
"119","2007-06-22",14.1
"120","2007-06-25",14.01
"121","2007-06-26",13.94
"122","2007-06-27",14.15
"123","2007-06-28",14.05
"124","2007-06-29",13.98
"125","2007-07-02",14.14
"126","2007-07-03",14.05
"127","2007-07-05",13.8
"128","2007-07-06",13.82
"129","2007-07-09",13.21
"130","2007-07-10",12.77
"131","2007-07-11",12.91
"132","2007-07-12",13.3
"133","2007-07-13",13.32
"134","2007-07-16",12.98
"135","2007-07-17",13.88
"136","2007-07-18",13.72
"137","2007-07-19",14.19
"138","2007-07-20",13.9
"139","2007-07-23",13.44
"140","2007-07-24",15.31
"141","2007-07-25",15.18
"142","2007-07-26",14.25
"143","2007-07-27",14.37
"144","2007-07-30",14.7
"145","2007-07-31",14.07
"146","2007-08-01",14.45
"147","2007-08-02",14.28
"148","2007-08-03",13.84
"149","2007-08-06",13.33
"150","2007-08-07",13.42
"151","2007-08-08",13.86
"152","2007-08-09",15.24
"153","2007-08-10",15
"154","2007-08-13",14.92
"155","2007-08-14",14.42
"156","2007-08-15",14.29
"157","2007-08-16",14.35
"158","2007-08-17",14.65
"159","2007-08-20",14.59
"160","2007-08-21",14.58
"161","2007-08-22",15.07
"162","2007-08-23",15.55
"163","2007-08-24",15.45
"164","2007-08-27",14.76
"165","2007-08-28",14.27
"166","2007-08-29",14.84
"167","2007-08-30",14.74
"168","2007-08-31",14.94
"169","2007-09-04",15.01
"170","2007-09-05",14.88
"171","2007-09-06",15.01
"172","2007-09-07",14.67
"173","2007-09-10",14.6
"174","2007-09-11",14.93
"175","2007-09-12",14.7
"176","2007-09-13",14.47
